Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-09,N,Fairfield,L,54,67,15,61,.246,5,26,.192,19,29,.655,11,27,8,11,2,9,24,,22,43,.512,5,14,.357,18,26,.692,8,41,13,3,10,25,24
2,2,2013-11-13,@,Holy Cross,L (2 OT),118,122,38,76,.500,10,26,.385,32,38,.842,11,31,19,7,5,15,37,,33,70,.471,11,23,.478,45,56,.804,17,42,22,8,3,16,28
3,3,2013-11-16,,Brown,L,73,85,25,52,.481,10,22,.455,13,17,.765,5,20,10,6,4,15,16,,33,59,.559,7,13,.538,12,16,.750,9,29,11,8,1,18,20
4,4,2013-11-19,@,Yale,L,65,80,22,48,.458,4,18,.222,17,32,.531,6,26,11,8,1,14,26,,26,54,.481,8,21,.381,20,32,.625,11,39,13,6,4,13,28
5,5,2013-11-23,@,Fordham,W,85,73,28,59,.475,4,15,.267,25,31,.806,14,47,19,4,2,18,20,,27,74,.365,5,28,.179,14,20,.700,16,34,14,9,8,9,20
6,6,2013-11-26,@,Boston College,L (1 OT),67,75,22,55,.400,8,21,.381,15,21,.714,8,27,9,3,1,15,24,,22,48,.458,5,23,.217,26,32,.813,7,32,12,4,2,13,21
7,7,2013-12-01,@,Lehigh,L,64,76,22,53,.415,9,20,.450,11,16,.688,7,27,20,5,1,15,19,,28,51,.549,8,21,.381,12,21,.571,9,31,20,7,3,14,15
8,8,2013-12-04,@,Hofstra,W,73,59,27,54,.500,12,24,.500,7,18,.389,7,27,23,2,1,3,18,,23,49,.469,3,13,.231,10,23,.435,12,35,11,1,2,7,15
9,9,2013-12-07,,Lafayette,L,79,86,27,55,.491,8,18,.444,17,22,.773,7,25,11,4,1,10,14,,33,60,.550,7,17,.412,13,14,.929,8,23,14,6,1,8,15
10,10,2013-12-15,,Hartford,L,72,84,28,61,.459,4,17,.235,12,18,.667,11,29,15,10,0,17,25,,25,45,.556,10,20,.500,24,31,.774,6,30,14,8,5,19,16
11,11,2013-12-18,@,Santa Clara,L,61,70,22,52,.423,4,10,.400,13,21,.619,6,26,11,5,0,10,21,,22,52,.423,6,20,.300,20,25,.800,13,41,13,5,8,13,19
12,12,2013-12-20,@,UNLV,L,50,82,23,64,.359,3,17,.176,1,6,.167,6,32,10,2,2,18,23,,28,63,.444,4,21,.190,22,33,.667,15,52,20,9,12,12,13
13,13,2013-12-22,N,Radford,L,78,94,26,62,.419,6,19,.316,20,27,.741,9,23,11,5,0,7,20,,34,57,.596,10,20,.500,16,21,.762,10,35,17,5,3,13,20
14,14,2013-12-23,N,Florida A&M,L,70,75,23,63,.365,7,23,.304,17,23,.739,12,37,15,3,5,11,16,,26,71,.366,5,22,.227,18,20,.900,18,45,11,7,2,13,20
15,15,2014-01-04,@,New Hampshire,W,66,53,23,49,.469,7,15,.467,13,23,.565,8,31,14,7,0,9,20,,17,48,.354,4,20,.200,15,20,.750,6,27,6,4,4,10,16
16,16,2014-01-09,,Robert Morris,L,70,79,25,55,.455,7,20,.350,13,17,.765,10,26,14,6,2,15,12,,30,56,.536,10,15,.667,9,10,.900,9,26,11,13,0,14,14
17,17,2014-01-11,,Fairleigh Dickinson,W,71,67,21,62,.339,5,14,.357,24,27,.889,21,41,10,5,5,8,17,,22,56,.393,8,19,.421,15,20,.750,10,28,9,5,5,12,18
18,18,2014-01-16,@,Bryant,L,70,85,23,60,.383,7,25,.280,17,27,.630,15,39,11,1,0,16,14,,35,66,.530,8,25,.320,7,11,.636,7,32,21,6,3,7,20
19,19,2014-01-18,@,St. Francis (NY),L,71,74,25,54,.463,5,15,.333,16,25,.640,6,25,17,5,4,5,19,,26,54,.481,8,18,.444,14,23,.609,6,27,21,4,5,8,23
20,20,2014-01-23,@,Robert Morris,L,65,91,24,53,.453,9,24,.375,8,13,.615,7,28,18,3,2,17,25,,30,56,.536,4,13,.308,27,36,.750,9,31,14,10,1,5,13
21,21,2014-01-25,@,Saint Francis (PA),L,66,68,23,62,.371,4,13,.308,16,20,.800,12,30,9,7,2,5,14,,24,47,.511,7,20,.350,13,16,.813,3,22,14,2,7,12,14
22,22,2014-01-29,,St. Francis (NY),L,78,83,30,67,.448,3,14,.214,15,24,.625,10,28,11,4,3,7,21,,25,52,.481,7,20,.350,26,32,.813,7,31,14,2,9,10,18
23,23,2014-02-02,,Bryant,L,67,76,25,63,.397,12,26,.462,5,6,.833,9,29,11,6,4,14,18,,26,55,.473,3,18,.167,21,25,.840,9,34,7,11,1,11,15
24,24,2014-02-06,,Mount St. Mary's,L,60,73,25,68,.368,3,18,.167,7,10,.700,9,36,9,5,3,10,19,,26,60,.433,7,26,.269,14,22,.636,9,41,11,4,4,13,13
25,25,2014-02-08,,Wagner,L,55,62,16,61,.262,4,27,.148,19,23,.826,12,37,4,2,3,13,16,,21,60,.350,7,21,.333,13,18,.722,16,41,9,4,6,12,17
26,26,2014-02-15,@,Central Connecticut,L,69,74,25,61,.410,9,23,.391,10,19,.526,16,33,10,8,2,15,15,,24,55,.436,9,23,.391,17,22,.773,12,34,15,9,6,16,18
27,27,2014-02-20,@,Wagner,L,62,74,21,61,.344,5,17,.294,15,23,.652,14,34,11,7,3,11,17,,25,60,.417,5,18,.278,19,22,.864,14,40,14,5,7,12,18
28,28,2014-02-22,@,Fairleigh Dickinson,L,66,73,22,61,.361,7,22,.318,15,21,.714,12,37,14,6,3,12,20,,22,54,.407,6,23,.261,23,30,.767,7,33,10,7,4,11,16
29,29,2014-02-25,,LIU-Brooklyn,L,75,80,27,71,.380,9,27,.333,12,18,.667,11,31,14,8,2,12,25,,24,51,.471,11,24,.458,21,26,.808,7,35,15,4,5,18,14
30,30,2014-02-27,@,Mount St. Mary's,W,72,65,29,50,.580,1,7,.143,13,20,.650,8,37,12,4,1,20,22,,17,53,.321,7,29,.241,24,32,.750,11,26,11,13,1,13,21
31,31,2014-03-01,,Central Connecticut,L,70,73,26,63,.413,6,20,.300,12,20,.600,11,35,7,7,1,9,21,,21,53,.396,11,24,.458,20,30,.667,8,36,10,5,4,14,16
