,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,N,Quinnipiac,W (1 OT),76,64,23,60,.383,2,11,.182,28,51,.549,7,33,8,15,3,8,28,,21,64,.328,8,27,.296,14,33,.424,16,53,8,4,9,21,33
2,2,2015-11-16,@,Yale,L,77,99,26,49,.531,5,13,.385,20,25,.800,6,27,9,3,2,20,27,,32,66,.485,9,17,.529,26,37,.703,15,34,21,7,3,7,22
3,3,2015-11-18,@,UMass-Lowell,L,84,87,31,53,.585,3,13,.231,19,29,.655,10,37,12,6,4,24,22,,31,67,.463,7,20,.350,18,25,.720,8,23,13,15,1,12,27
4,4,2015-11-21,@,Fairfield,L (1 OT),79,83,29,78,.372,10,32,.313,11,21,.524,10,33,11,8,2,11,17,,31,68,.456,7,23,.304,14,18,.778,13,48,19,5,8,18,19
5,5,2015-11-25,@,Holy Cross,L,60,69,21,53,.396,8,19,.421,10,14,.714,10,32,13,3,3,13,20,,21,54,.389,8,23,.348,19,27,.704,8,27,14,3,5,6,11
6,6,2015-12-02,@,UConn,L,49,82,19,65,.292,4,21,.190,7,15,.467,12,27,8,6,2,17,22,,31,59,.525,4,12,.333,16,21,.762,11,44,17,6,12,15,17
7,7,2015-12-05,@,Towson,L,61,83,21,59,.356,3,13,.231,16,23,.696,8,29,10,6,5,11,18,,34,72,.472,5,15,.333,10,18,.556,17,45,14,7,8,10,18
8,8,2015-12-12,,Lafayette,L,86,90,32,70,.457,6,26,.231,16,27,.593,14,36,15,9,1,11,23,,27,45,.600,16,24,.667,20,28,.714,2,26,15,5,2,19,23
9,9,2015-12-14,@,Hartford,L,71,80,26,59,.441,5,21,.238,14,23,.609,13,38,12,6,2,19,26,,25,56,.446,8,23,.348,22,31,.710,6,29,18,10,2,10,21
10,10,2015-12-21,@,Northwestern,L,67,103,22,55,.400,10,24,.417,13,21,.619,9,23,14,3,0,13,18,,36,59,.610,15,29,.517,16,19,.842,8,32,30,3,1,10,23
11,11,2015-12-28,@,Hofstra,L,73,80,29,60,.483,6,18,.333,9,16,.563,7,37,13,6,2,12,25,,26,62,.419,8,27,.296,20,29,.690,12,33,15,5,2,10,17
12,12,2016-01-02,@,Robert Morris,W,69,65,24,54,.444,4,12,.333,17,23,.739,9,33,12,9,2,17,21,,20,50,.400,6,22,.273,19,29,.655,9,32,11,9,3,20,19
13,13,2016-01-04,@,Saint Francis (PA),L,80,84,30,62,.484,4,13,.308,16,24,.667,13,32,10,9,0,17,30,,27,51,.529,7,17,.412,23,32,.719,8,33,17,7,1,18,22
