Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,@,Fordham,L,67,87,20,56,.357,6,26,.231,21,29,.724,13,34,10,7,2,14,22,,31,65,.477,13,28,.464,12,18,.667,13,39,13,6,7,11,22
2,2,2013-11-11,,Navy,W,60,57,20,46,.435,5,14,.357,15,26,.577,4,22,13,10,0,7,21,,22,50,.440,3,14,.214,10,13,.769,10,34,8,3,4,16,23
3,3,2013-11-13,@,Dayton,L,56,70,18,50,.360,7,19,.368,13,18,.722,8,26,12,6,3,17,22,,23,50,.460,3,8,.375,21,27,.778,12,36,6,9,1,15,18
4,4,2013-11-16,@,Bucknell,L,50,72,19,58,.328,9,30,.300,3,5,.600,6,22,8,6,3,5,7,,32,58,.552,8,17,.471,0,0,,7,36,16,3,2,8,11
5,5,2013-11-19,@,George Mason,L,46,58,15,50,.300,6,24,.250,10,26,.385,11,33,9,7,5,12,25,,17,45,.378,3,11,.273,21,31,.677,8,38,8,3,3,17,21
6,6,2013-11-23,@,Colgate,L,64,81,24,58,.414,11,26,.423,5,7,.714,7,25,15,4,0,13,14,,32,55,.582,12,21,.571,5,8,.625,5,25,20,7,4,8,9
7,7,2013-11-30,,American,L,43,75,15,48,.313,3,19,.158,10,17,.588,6,19,7,6,4,9,15,,28,52,.538,8,17,.471,11,13,.846,10,36,17,5,2,11,21
8,8,2013-12-04,,Lehigh,L,50,57,19,57,.333,5,23,.217,7,14,.500,14,39,11,5,6,10,20,,17,46,.370,4,14,.286,19,28,.679,6,32,7,5,4,8,13
9,9,2013-12-07,@,Cornell,W,72,62,23,52,.442,6,20,.300,20,32,.625,10,43,12,7,6,11,19,,26,64,.406,4,21,.190,6,15,.400,9,33,10,3,3,10,21
10,10,2013-12-17,,Duquesne,L,71,78,24,59,.407,11,31,.355,12,14,.857,6,23,17,4,1,1,15,,26,50,.520,4,13,.308,22,25,.880,6,31,11,0,4,7,16
11,11,2013-12-22,@,Drexel,L,49,59,19,53,.358,8,25,.320,3,7,.429,1,23,12,5,0,5,14,,22,48,.458,2,9,.222,13,20,.650,5,37,10,3,4,5,11
12,12,2013-12-31,@,Denver,L,61,83,21,48,.438,6,19,.316,13,19,.684,5,20,8,4,0,8,13,,31,51,.608,9,18,.500,12,12,1.000,5,30,24,4,7,8,18
13,13,2014-01-04,,NJIT,L,56,64,21,57,.368,6,26,.231,8,17,.471,5,26,12,3,4,5,20,,20,53,.377,5,17,.294,19,25,.760,10,42,11,2,3,11,15
14,14,2014-01-09,@,Bryant,L,67,77,21,45,.467,10,17,.588,15,20,.750,5,26,12,7,1,17,17,,27,55,.491,8,16,.500,15,22,.682,9,27,13,8,5,8,19
15,15,2014-01-11,@,Central Connecticut,W,75,67,24,54,.444,7,22,.318,20,30,.667,8,35,9,6,6,12,13,,27,64,.422,4,13,.308,9,12,.750,8,30,16,5,7,13,20
16,16,2014-01-16,@,Robert Morris,L,68,73,24,41,.585,11,23,.478,9,16,.563,1,18,15,5,2,18,18,,23,52,.442,8,17,.471,19,22,.864,10,27,10,11,0,13,18
17,17,2014-01-18,,Wagner,L,50,56,19,58,.328,5,24,.208,7,9,.778,8,32,6,8,5,8,15,,19,55,.345,4,12,.333,14,18,.778,9,38,7,3,8,11,9
18,18,2014-01-23,,Mount St. Mary's,L,77,83,33,61,.541,3,14,.214,8,12,.667,8,32,12,7,4,12,15,,30,65,.462,8,18,.444,15,18,.833,11,31,12,7,3,11,14
