Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-15,,Hartford,W,85,68,28,53,.528,3,13,.231,26,40,.650,4,32,16,7,4,7,23,,22,50,.440,9,25,.360,15,22,.682,3,28,15,2,2,16,32
2,2,2015-11-18,@,Southern Illinois-Edwardsville,W,70,60,23,54,.426,4,17,.235,20,31,.645,7,40,13,5,8,15,23,,17,60,.283,5,23,.217,21,29,.724,10,38,10,6,3,15,31
3,3,2015-11-21,,St. Francis (NY),W,76,60,26,49,.531,3,7,.429,21,32,.656,6,26,16,4,1,12,20,,21,52,.404,8,27,.296,10,17,.588,12,29,15,6,6,15,26
4,4,2015-11-24,,North Florida,W,70,57,25,61,.410,8,21,.381,12,18,.667,11,42,17,4,0,12,18,,18,50,.360,5,20,.250,16,19,.842,2,27,8,4,5,14,17
5,5,2015-11-28,N,Louisville,L,57,77,20,41,.488,8,16,.500,9,14,.643,2,14,12,4,0,11,20,,26,49,.531,5,17,.294,20,25,.800,10,31,10,7,3,11,21
6,6,2015-12-02,,Morehead State,L,46,60,14,37,.378,1,9,.111,17,23,.739,2,20,8,5,2,19,17,,23,53,.434,7,15,.467,7,13,.538,10,33,14,9,4,15,24
7,7,2015-12-05,,Wichita State,L,53,68,16,36,.444,5,12,.417,16,23,.696,3,22,13,5,3,17,14,,26,54,.481,6,20,.300,10,11,.909,7,23,19,8,3,9,21
8,8,2015-12-12,,Alabama A&M,W,75,58,24,58,.414,9,22,.409,18,22,.818,12,44,19,9,3,17,20,,22,59,.373,7,21,.333,7,17,.412,8,30,14,11,4,15,21
9,9,2015-12-16,,UT-Martin,L,76,82,23,60,.383,8,32,.250,22,25,.880,7,31,18,4,2,12,23,,25,52,.481,8,19,.421,24,32,.750,6,34,12,7,2,14,18
10,10,2015-12-19,,Indiana State,L,68,76,26,50,.520,8,16,.500,8,14,.571,4,30,15,6,0,20,29,,22,53,.415,6,23,.261,26,32,.813,9,28,11,7,6,13,18
