,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,San Francisco State,W,80,56,30,61,.492,13,39,.333,7,10,.700,12,40,22,5,4,8,16,,21,55,.382,7,18,.389,7,16,.438,7,27,12,2,0,8,16
2,2,2015-11-16,,Manhattan,W,89,63,30,52,.577,10,24,.417,19,26,.731,11,37,24,9,5,13,30,,16,42,.381,7,15,.467,24,35,.686,5,18,13,8,0,16,21
3,3,2015-11-22,,Stanford,W,78,61,30,53,.566,9,16,.563,9,16,.563,8,31,13,6,3,9,16,,25,56,.446,4,14,.286,7,9,.778,8,22,14,5,2,10,20
4,4,2015-11-29,,Cal State Bakersfield,W,94,59,35,57,.614,11,22,.500,13,15,.867,6,39,22,7,0,12,18,,23,60,.383,7,18,.389,6,19,.316,9,25,10,7,1,10,18
5,5,2015-12-04,,UC-Davis,W,81,67,27,52,.519,12,29,.414,15,23,.652,6,39,22,5,3,12,16,,26,59,.441,7,18,.389,8,14,.571,4,25,12,3,1,8,23
6,6,2015-12-06,,UC-Irvine,W,70,60,25,50,.500,9,17,.529,11,16,.688,7,29,18,5,2,8,17,,19,48,.396,9,24,.375,13,20,.650,11,32,12,4,5,12,15
7,7,2015-12-12,@,University of California,L,59,63,25,59,.424,8,16,.500,1,4,.250,8,35,14,2,2,10,15,,24,55,.436,8,20,.400,7,13,.538,8,30,11,6,10,10,13
8,8,2015-12-14,,Cal Poly,W,93,63,35,58,.603,19,31,.613,4,5,.800,6,31,28,2,3,8,17,,22,53,.415,4,13,.308,15,21,.714,6,19,5,5,1,6,12
9,9,2015-12-16,,Southern Utah,W,92,36,35,56,.625,14,26,.538,8,14,.571,9,37,28,13,3,8,12,,14,49,.286,3,18,.167,5,6,.833,6,17,7,3,3,17,13
10,10,2015-12-21,,San Francisco,W,74,52,28,56,.500,10,23,.435,8,14,.571,10,40,17,6,8,7,16,,17,60,.283,7,21,.333,11,18,.611,13,36,9,5,2,9,20
11,11,2015-12-23,@,Santa Clara,W,81,59,31,49,.633,10,21,.476,9,10,.900,3,28,22,3,3,9,12,,25,57,.439,5,16,.313,4,5,.800,6,19,13,3,0,6,15
12,12,2015-12-28,,Utah Valley,W,65,50,25,59,.424,2,17,.118,13,17,.765,12,49,11,5,7,12,13,,17,62,.274,7,19,.368,9,13,.692,8,32,8,8,1,9,24
13,13,2015-12-31,,BYU,W,85,74,31,55,.564,8,19,.421,15,18,.833,5,33,19,3,6,7,16,,30,72,.417,8,21,.381,6,10,.600,14,33,12,1,2,7,19
14,14,2016-01-02,,San Diego,W,79,46,32,55,.582,9,13,.692,6,11,.545,7,35,20,8,2,11,12,,19,48,.396,4,16,.250,4,8,.500,3,21,14,7,3,17,18
15,15,2016-01-07,@,Loyola Marymount,W,73,48,25,52,.481,9,23,.391,14,19,.737,7,31,14,2,2,7,11,,18,49,.367,5,16,.313,7,9,.778,6,24,16,2,3,11,18
16,16,2016-01-09,@,Pepperdine,L,64,67,22,54,.407,7,23,.304,13,17,.765,8,29,16,3,2,8,17,,24,55,.436,2,8,.250,17,19,.895,10,34,11,2,1,7,16
