,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,@,SMU,L,50,85,17,61,.279,6,27,.222,10,19,.526,11,25,9,9,2,11,22,,31,49,.633,7,14,.500,16,24,.667,8,38,22,9,9,14,16
2,2,2015-11-17,,St. Thomas (TX),W,114,92,30,57,.526,5,16,.313,49,64,.766,15,45,19,3,3,12,31,,27,60,.450,10,31,.323,28,40,.700,4,22,19,1,1,12,40
3,3,2015-11-21,,Southern Illinois,L (1 OT),81,86,27,52,.519,8,19,.421,19,31,.613,4,28,23,4,1,21,28,,25,54,.463,9,18,.500,27,33,.818,4,26,15,11,1,17,28
4,4,2015-11-23,@,University of California,L,63,89,26,70,.371,7,21,.333,4,8,.500,9,26,12,2,1,7,22,,31,60,.517,5,16,.313,22,31,.710,11,41,18,4,3,6,11
5,5,2015-11-27,N,Bethune-Cookman,W,71,46,27,72,.375,7,22,.318,10,13,.769,16,39,20,7,1,7,17,,15,46,.326,6,26,.231,10,17,.588,7,28,9,3,11,17,17
6,6,2015-11-29,,Wiley,L,66,67,23,50,.460,5,20,.250,15,24,.625,8,31,18,4,1,18,21,,22,49,.449,8,13,.615,15,21,.714,7,31,17,8,0,19,26
7,7,2015-12-02,@,Texas Tech,L,56,71,17,64,.266,7,29,.241,15,21,.714,11,36,7,3,2,12,21,,23,56,.411,7,25,.280,18,23,.783,8,43,14,0,6,11,18
8,8,2015-12-06,,Sul Ross State,W,109,61,41,81,.506,12,34,.353,15,23,.652,19,50,30,12,4,10,18,,19,55,.345,6,27,.222,17,19,.895,5,28,15,2,2,18,23
9,9,2015-12-14,,Le Tourneau,W,96,54,37,76,.487,9,22,.409,13,16,.813,14,49,28,8,2,9,18,,15,55,.273,10,25,.400,14,19,.737,7,32,12,2,2,17,16
10,10,2015-12-18,@,LIU-Brooklyn,W,75,69,21,58,.362,5,20,.250,28,38,.737,12,40,9,5,2,13,27,,23,55,.418,6,20,.300,17,29,.586,8,33,11,7,3,17,26
11,11,2015-12-21,N,UC-Irvine,L,53,63,19,55,.345,4,15,.267,11,20,.550,11,34,11,3,0,13,18,,22,51,.431,5,19,.263,14,17,.824,4,33,14,8,4,9,22
12,12,2015-12-22,@,UTEP,L,68,87,24,60,.400,11,35,.314,9,20,.450,11,33,14,5,2,10,24,,28,56,.500,12,26,.462,19,28,.679,11,41,20,5,4,10,19
13,13,2015-12-29,@,North Texas,L,64,69,25,61,.410,9,24,.375,5,9,.556,9,31,12,3,2,10,29,,21,42,.500,7,15,.467,20,32,.625,7,31,8,7,4,13,16
14,14,2016-01-02,@,Incarnate Word,W,78,72,25,57,.439,9,26,.346,19,29,.655,11,39,16,2,0,8,19,,25,60,.417,6,20,.300,16,19,.842,6,30,14,4,4,7,23
15,15,2016-01-04,@,Northwestern State,W,94,79,35,61,.574,13,26,.500,11,17,.647,8,30,19,10,2,16,24,,27,54,.500,7,19,.368,18,28,.643,6,26,12,7,1,17,21
16,16,2016-01-09,,New Orleans,W,73,70,19,50,.380,6,21,.286,29,37,.784,8,38,17,6,5,12,31,,19,53,.358,5,15,.333,27,35,.771,8,36,15,4,5,14,30
17,17,2016-01-11,,Southeastern Louisiana,W,70,63,24,53,.453,9,27,.333,13,19,.684,7,31,20,7,2,14,20,,25,52,.481,5,19,.263,8,17,.471,4,29,20,6,0,15,20
18,18,2016-01-16,@,McNeese State,L,68,72,24,62,.387,5,27,.185,15,21,.714,8,36,14,4,2,4,15,,25,59,.424,10,22,.455,12,15,.800,6,36,14,3,3,8,19
19,19,2016-01-18,,Nicholls State,W,87,76,28,59,.475,5,17,.294,26,30,.867,10,37,21,5,0,5,28,,21,51,.412,7,25,.280,27,34,.794,5,26,15,2,4,9,25
20,20,2016-01-23,@,Stephen F. Austin,L,64,76,23,53,.434,6,14,.429,12,18,.667,8,26,12,7,2,16,23,,25,49,.510,8,21,.381,18,23,.783,6,32,17,8,1,14,20
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-25,,Abilene Christian,W,72,51,25,52,.481,8,18,.444,14,19,.737,6,37,21,3,0,13,18,,17,52,.327,6,23,.261,11,17,.647,3,27,13,6,1,9,20
22,22,2016-01-30,@,Houston Baptist,L,69,70,26,61,.426,4,19,.211,13,19,.684,9,31,9,4,2,8,23,,22,50,.440,8,23,.348,18,30,.600,11,37,15,2,1,11,18
23,23,2016-02-01,@,Lamar,W,69,66,26,60,.433,4,21,.190,13,17,.765,10,34,13,7,3,18,21,,24,57,.421,4,23,.174,14,21,.667,10,32,13,11,4,15,20
24,24,2016-02-06,@,Texas A&M-Corpus Christi,L,48,51,19,53,.358,8,24,.333,2,8,.250,8,33,11,9,2,19,13,,21,61,.344,5,19,.263,4,6,.667,9,34,10,12,5,15,14
25,25,2016-02-13,,Houston Baptist,W,80,68,31,61,.508,9,21,.429,9,13,.692,8,34,28,5,0,10,24,,22,52,.423,4,16,.250,20,27,.741,8,33,15,3,1,14,19
26,26,2016-02-15,@,Abilene Christian,W,84,71,28,57,.491,6,21,.286,22,22,1.000,7,31,13,3,2,7,19,,22,49,.449,12,28,.429,15,21,.714,6,27,16,3,1,14,19
27,27,2016-02-20,,Central Arkansas,W,105,75,36,65,.554,16,33,.485,17,21,.810,12,30,29,9,2,5,24,,23,53,.434,7,17,.412,22,34,.647,17,33,15,2,2,15,18
28,28,2016-02-27,,Texas A&M-Corpus Christi,L,70,75,26,64,.406,7,21,.333,11,17,.647,11,37,20,5,1,10,22,,24,57,.421,10,28,.357,17,23,.739,8,39,17,6,3,9,20
29,29,2016-02-29,@,Central Arkansas,W,83,73,27,60,.450,10,26,.385,19,29,.655,9,30,12,5,1,11,25,,22,47,.468,8,18,.444,21,29,.724,8,34,9,4,5,18,29
30,30,2016-03-03,,Lamar,W,94,76,31,58,.534,8,21,.381,24,37,.649,10,36,26,6,0,12,16,,27,54,.500,10,22,.455,12,16,.750,3,26,21,10,3,22,30
31,31,2016-03-05,,Stephen F. Austin,L,64,85,19,49,.388,9,19,.474,17,26,.654,10,26,16,7,2,15,23,,30,49,.612,7,19,.368,18,22,.818,4,31,22,5,4,14,22
32,32,2016-03-10,N,Nicholls State,W,60,59,20,51,.392,7,16,.438,13,18,.722,11,31,10,5,3,12,18,,19,45,.422,7,16,.438,14,18,.778,6,26,11,5,3,12,14
33,33,2016-03-11,N,Texas A&M-Corpus Christi,L,76,79,25,55,.455,11,24,.458,15,24,.625,8,34,15,5,2,9,24,,26,55,.473,7,17,.412,20,27,.741,6,30,10,5,0,7,21
