Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Louisville,L,45,86,13,62,.210,3,19,.158,16,22,.727,13,34,5,7,5,17,27,,30,56,.536,7,15,.467,19,29,.655,9,46,19,9,9,14,22
2,2,2015-11-16,,Auburn Montgomery,W,94,79,36,72,.500,3,15,.200,19,25,.760,14,49,26,6,5,15,20,,29,72,.403,10,33,.303,11,16,.688,6,26,23,9,3,12,20
3,3,2015-11-21,,Kennesaw State,W,77,65,28,59,.475,5,17,.294,16,26,.615,11,35,14,13,10,13,22,,24,56,.429,2,13,.154,15,24,.625,8,30,11,4,6,19,24
4,4,2015-11-23,N,Troy,W,83,79,27,61,.443,10,23,.435,19,27,.704,10,30,12,6,2,10,27,,25,48,.521,6,16,.375,23,35,.657,4,24,12,5,4,10,22
5,5,2015-11-24,@,North Texas,W,74,72,23,52,.442,3,10,.300,25,33,.758,9,34,9,6,2,11,24,,21,50,.420,4,16,.250,26,33,.788,8,31,7,4,4,14,27
6,6,2015-11-25,N,Idaho,W,75,58,23,50,.460,5,18,.278,24,34,.706,4,29,6,9,4,12,22,,18,49,.367,6,16,.375,16,29,.552,9,33,9,6,3,19,23
7,7,2015-11-28,@,Austin Peay,L,73,74,28,57,.491,9,21,.429,8,12,.667,9,27,15,5,2,12,20,,27,56,.482,5,14,.357,15,26,.577,15,35,14,6,6,10,14
8,8,2015-12-01,@,Jacksonville State,W,77,71,22,55,.400,5,17,.294,28,32,.875,7,29,11,5,1,7,18,,24,52,.462,9,21,.429,14,20,.700,4,27,20,3,8,11,24
9,9,2015-12-04,@,Texas,L,49,59,17,50,.340,3,16,.188,12,14,.857,8,24,9,3,1,12,20,,20,43,.465,6,21,.286,13,18,.722,8,31,8,2,6,13,20
10,10,2015-12-12,@,Florida A&M,W,86,67,30,52,.577,11,23,.478,15,21,.714,7,30,7,7,3,18,23,,21,46,.457,7,14,.500,18,28,.643,6,21,13,8,0,17,18
11,11,2015-12-18,,South Alabama,L (2 OT),70,72,25,67,.373,6,24,.250,14,27,.519,13,34,15,15,6,18,21,,26,69,.377,5,25,.200,15,26,.577,18,49,17,8,6,22,22
12,12,2015-12-20,@,Nebraska,W,69,58,20,49,.408,8,17,.471,21,26,.808,3,24,11,7,1,8,17,,21,48,.438,6,22,.273,10,20,.500,9,36,10,7,3,16,22
13,13,2015-12-29,,Miles,W,104,76,38,77,.494,11,27,.407,17,23,.739,17,46,28,11,6,15,21,,25,65,.385,6,21,.286,20,32,.625,12,34,13,12,1,20,17
14,14,2016-01-02,@,Mercer,L,50,69,16,49,.327,5,23,.217,13,15,.867,8,23,8,2,2,11,16,,24,55,.436,6,20,.300,15,17,.882,12,36,15,7,2,10,13
15,15,2016-01-05,,Citadel,W,94,74,32,55,.582,5,16,.313,25,34,.735,8,45,23,6,6,22,24,,22,66,.333,11,37,.297,19,24,.792,8,28,13,15,2,19,32
16,16,2016-01-09,@,Wofford,L,64,69,27,56,.482,4,12,.333,6,11,.545,4,19,15,11,1,12,16,,22,42,.524,10,15,.667,15,20,.750,5,28,17,7,2,18,17
17,17,2016-01-11,@,Furman,L,57,77,20,49,.408,1,10,.100,16,28,.571,8,28,10,6,3,13,19,,24,51,.471,10,21,.476,19,27,.704,8,35,17,6,4,14,21
18,18,2016-01-14,,ETSU,L,77,81,31,58,.534,4,12,.333,11,20,.550,8,32,19,11,2,14,20,,29,56,.518,9,23,.391,14,22,.636,9,34,12,7,6,17,18
19,19,2016-01-16,,Western Carolina,W,84,68,31,59,.525,8,19,.421,14,18,.778,13,30,19,9,3,16,16,,26,57,.456,7,20,.350,9,13,.692,13,27,17,8,2,18,16
20,20,2016-01-21,@,Virginia Military Institute,L,76,83,23,52,.442,9,16,.563,21,32,.656,11,32,12,9,2,15,19,,28,59,.475,13,30,.433,14,20,.700,13,36,7,6,8,15,23
21,21,2016-01-24,@,North Carolina-Greensboro,L,78,86,22,51,.431,7,24,.292,27,34,.794,7,33,15,2,7,12,28,,25,55,.455,10,24,.417,26,38,.684,7,29,14,5,2,8,24
22,22,2016-01-30,,Chattanooga,L,56,63,22,49,.449,3,14,.214,9,20,.450,6,30,11,4,4,11,22,,21,59,.356,3,18,.167,18,25,.720,16,41,8,7,2,9,18
23,23,2016-02-01,,Mercer,L,70,85,28,57,.491,4,16,.250,10,17,.588,10,22,19,5,3,12,19,,33,57,.579,8,16,.500,11,15,.733,7,25,21,5,3,11,20
24,24,2016-02-04,,Furman,L,65,67,28,59,.475,4,13,.308,5,11,.455,12,30,12,7,3,12,16,,24,47,.511,8,20,.400,11,15,.733,4,26,18,5,7,14,17
25,25,2016-02-06,,Wofford,L,75,78,27,54,.500,4,15,.267,17,22,.773,5,26,15,3,2,9,19,,24,54,.444,10,18,.556,20,27,.741,7,29,16,6,1,10,20
26,26,2016-02-08,@,Citadel,W,95,86,37,64,.578,7,13,.538,14,17,.824,10,36,20,3,6,12,19,,29,69,.420,13,31,.419,15,18,.833,9,22,15,7,7,6,13
27,27,2016-02-11,@,ETSU,L (1 OT),90,94,28,57,.491,6,13,.462,28,41,.683,10,33,9,6,3,11,20,,32,64,.500,11,20,.550,19,25,.760,9,30,16,5,6,9,24
28,28,2016-02-13,@,Western Carolina,L,71,76,22,49,.449,3,12,.250,24,32,.750,5,23,4,9,3,16,28,,22,54,.407,7,16,.438,25,34,.735,17,38,11,7,3,17,21
29,29,2016-02-18,,North Carolina-Greensboro,L (1 OT),77,82,24,63,.381,5,23,.217,24,32,.750,11,30,12,9,5,17,24,,27,62,.435,7,20,.350,21,25,.840,10,34,17,8,4,20,28
30,30,2016-02-20,,Virginia Military Institute,W,73,67,28,52,.538,4,11,.364,13,18,.722,9,34,14,5,1,21,17,,25,59,.424,7,24,.292,10,14,.714,6,22,8,11,5,17,17
31,31,2016-02-27,@,Chattanooga,L,66,77,25,52,.481,5,12,.417,11,15,.733,7,24,12,4,3,15,22,,24,56,.429,6,19,.316,23,27,.852,11,30,16,7,7,10,18
32,32,2016-03-04,N,Virginia Military Institute,W (1 OT),92,85,27,58,.466,7,13,.538,31,36,.861,6,35,11,8,2,16,26,,27,65,.415,7,23,.304,24,35,.686,10,31,11,8,8,12,25
33,33,2016-03-05,N,Chattanooga,L,54,59,17,51,.333,0,14,.000,20,23,.870,9,28,7,7,4,12,19,,21,51,.412,5,20,.250,12,18,.667,12,33,13,5,9,15,20
