,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Illinois State,W,71,60,23,48,.479,3,15,.200,22,37,.595,9,42,9,3,8,18,23,,20,65,.308,6,16,.375,14,22,.636,11,32,11,4,4,10,29
2,2,2015-11-16,@,Utah,L,76,81,26,61,.426,8,17,.471,16,21,.762,9,34,6,2,7,11,28,,22,55,.400,10,27,.370,27,36,.750,12,34,12,9,6,9,19
3,3,2015-11-18,,San Diego Christian,W,71,61,25,57,.439,5,18,.278,16,21,.762,9,35,11,9,6,11,13,,22,63,.349,9,24,.375,8,12,.667,13,34,10,7,0,12,19
4,4,2015-11-21,,Arkansas-Little Rock,L,43,49,13,46,.283,6,24,.250,11,18,.611,8,35,10,4,1,15,14,,18,51,.353,7,24,.292,6,8,.750,3,28,9,6,3,5,17
5,5,2015-11-23,,East Carolina,W,79,54,26,53,.491,11,27,.407,16,25,.640,9,33,17,4,5,11,16,,18,56,.321,7,21,.333,11,14,.786,9,28,8,4,3,12,23
6,6,2015-11-26,N,University of California,W,72,58,23,59,.390,4,10,.400,22,28,.786,10,38,10,5,4,8,19,,21,56,.375,5,16,.313,11,19,.579,9,33,5,4,2,15,25
7,7,2015-11-27,N,West Virginia,L,50,72,13,38,.342,0,9,.000,24,32,.750,2,27,3,4,10,21,21,,27,62,.435,4,13,.308,14,21,.667,9,36,12,13,2,15,25
8,8,2015-12-01,@,Long Beach State,W,76,72,22,45,.489,10,26,.385,22,27,.815,8,30,12,5,5,16,26,,21,52,.404,9,20,.450,21,28,.750,14,30,11,9,0,15,24
9,9,2015-12-06,N,San Diego,L,48,53,15,48,.313,4,13,.308,14,20,.700,6,30,9,5,6,12,12,,18,54,.333,10,27,.370,7,11,.636,8,32,12,9,6,7,20
10,10,2015-12-07,,Biola,W,73,53,26,49,.531,4,15,.267,17,23,.739,10,35,9,4,4,14,10,,19,47,.404,9,21,.429,6,8,.750,3,18,13,7,2,10,20
11,11,2015-12-10,,Nicholls State,W,84,47,29,60,.483,8,20,.400,18,25,.720,7,42,17,11,10,13,18,,14,57,.246,4,22,.182,15,17,.882,6,30,10,2,5,20,21
