Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,USC,L,45,83,15,61,.246,6,31,.194,9,26,.346,13,34,7,3,5,11,19,,32,67,.478,6,21,.286,13,18,.722,12,52,15,4,11,14,23
2,2,2015-11-17,@,Western Michigan,L,62,74,24,58,.414,9,28,.321,5,10,.500,8,25,15,6,1,11,27,,22,50,.440,5,15,.333,25,38,.658,15,43,13,5,3,10,16
3,3,2015-11-21,@,Cal State Fullerton,L,55,67,18,48,.375,6,24,.250,13,16,.813,10,34,11,2,3,19,17,,23,50,.460,7,14,.500,14,20,.700,6,24,11,7,1,9,18
4,4,2015-11-25,N,Loyola (IL),L,57,67,21,57,.368,6,19,.316,9,11,.818,9,31,16,2,0,13,16,,26,52,.500,6,14,.429,9,10,.900,5,26,14,4,3,10,14
5,5,2015-11-27,N,San Jose State,L,67,76,23,50,.460,6,19,.316,15,26,.577,9,30,12,7,3,14,20,,27,59,.458,6,20,.300,16,24,.667,9,29,21,6,3,7,18
6,6,2015-11-28,N,Drexel,W,62,59,18,41,.439,4,12,.333,22,28,.786,6,32,8,2,5,15,23,,17,59,.288,5,17,.294,20,27,.741,16,35,12,7,4,11,19
7,7,2015-12-02,,Bethesda University (CA),W,71,56,24,65,.369,4,30,.133,19,34,.559,15,37,6,11,4,13,15,,23,51,.451,6,18,.333,4,9,.444,5,34,12,6,4,23,27
8,8,2015-12-06,N,San Diego State,W,53,48,18,54,.333,10,27,.370,7,11,.636,8,32,12,9,6,7,20,,15,48,.313,4,13,.308,14,20,.700,6,30,9,5,6,12,12
9,9,2015-12-09,,Denver,L,47,59,18,57,.316,4,25,.160,7,16,.438,8,36,7,3,5,10,20,,21,47,.447,3,12,.250,14,20,.700,1,30,12,6,4,9,16
10,10,2015-12-15,,UC-Davis,W,61,55,21,52,.404,7,23,.304,12,23,.522,9,35,14,7,11,13,26,,18,46,.391,4,11,.364,15,27,.556,6,32,8,8,1,14,22
11,11,2015-12-23,,Cal State Northridge,W,81,63,27,55,.491,15,35,.429,12,23,.522,10,41,17,3,5,8,20,,21,55,.382,3,14,.214,18,28,.643,6,28,8,3,3,8,23
12,12,2015-12-31,@,Pacific,L,75,77,21,61,.344,8,25,.320,25,33,.758,14,32,10,7,5,11,27,,28,51,.549,4,13,.308,17,26,.654,8,36,11,5,5,17,28
13,13,2016-01-02,@,Saint Mary's (CA),L,46,79,19,48,.396,4,16,.250,4,8,.500,3,21,14,7,3,17,18,,32,55,.582,9,13,.692,6,11,.545,7,35,20,8,2,11,12
14,14,2016-01-07,,San Francisco,L,65,73,20,58,.345,4,26,.154,21,22,.955,11,29,12,5,5,12,19,,26,56,.464,8,14,.571,13,20,.650,8,30,12,6,6,13,20
15,15,2016-01-09,,Santa Clara,L,53,65,21,56,.375,6,25,.240,5,9,.556,10,27,11,3,2,11,21,,23,45,.511,7,21,.333,12,21,.571,8,29,7,8,2,11,15
16,16,2016-01-14,@,Portland,W,82,71,32,53,.604,5,14,.357,13,19,.684,8,35,13,4,5,18,25,,24,64,.375,4,20,.200,19,25,.760,6,19,6,9,2,9,19
17,17,2016-01-16,@,Gonzaga,L,52,88,21,67,.313,5,26,.192,5,7,.714,6,25,8,5,1,5,13,,34,60,.567,11,18,.611,9,10,.900,6,41,16,4,3,7,12
18,18,2016-01-21,@,Pepperdine,L,58,76,22,58,.379,5,19,.263,9,15,.600,13,27,14,5,1,14,24,,23,44,.523,5,11,.455,25,29,.862,6,30,18,9,3,17,20
19,19,2016-01-23,@,Loyola Marymount,L,63,67,21,48,.438,7,14,.500,14,24,.583,14,39,12,1,2,16,21,,22,56,.393,6,19,.316,17,25,.680,8,26,14,11,4,5,20
20,20,2016-01-28,,Pepperdine,L,65,75,26,60,.433,5,25,.200,8,14,.571,12,35,11,3,3,13,22,,27,56,.482,3,10,.300,18,23,.783,4,25,16,6,2,7,17
21,21,2016-01-30,,Loyola Marymount,W,77,69,22,49,.449,10,20,.500,23,28,.821,6,27,16,6,5,14,18,,25,55,.455,7,20,.350,12,17,.706,8,33,15,6,3,13,25
22,22,2016-02-04,,Pacific,W,54,43,22,47,.468,7,22,.318,3,6,.500,3,22,11,6,5,13,17,,15,41,.366,5,15,.333,8,16,.500,5,27,7,6,0,19,13
23,23,2016-02-06,,Saint Mary's (CA),L,43,60,19,54,.352,0,11,.000,5,9,.556,7,29,4,5,7,9,18,,19,55,.345,6,18,.333,16,20,.800,13,39,10,3,5,11,15
24,24,2016-02-11,@,Santa Clara,L,71,74,24,50,.480,6,16,.375,17,25,.680,7,32,9,1,2,15,25,,24,51,.471,9,21,.429,17,24,.708,2,26,16,4,1,9,26
25,25,2016-02-13,@,San Francisco,L,51,68,17,50,.340,4,23,.174,13,16,.813,5,26,5,4,2,16,23,,23,51,.451,6,16,.375,16,22,.727,9,37,12,4,4,16,21
26,26,2016-02-18,,BYU,L,67,69,21,48,.438,8,18,.444,17,22,.773,6,37,13,6,4,17,27,,21,60,.350,5,16,.313,22,31,.710,9,32,12,5,3,8,20
27,27,2016-02-20,@,BYU,L,33,91,14,57,.246,0,20,.000,5,11,.455,3,21,5,3,3,14,16,,36,63,.571,12,27,.444,7,13,.538,8,44,25,8,7,9,15
28,28,2016-02-25,,Gonzaga,L,60,82,19,58,.328,9,29,.310,13,16,.813,5,24,10,2,7,11,24,,28,56,.500,5,16,.313,21,27,.778,9,41,10,5,2,12,21
29,29,2016-02-27,,Portland,W,85,76,23,48,.479,14,26,.538,25,33,.758,5,34,16,3,5,16,35,,19,55,.345,6,20,.300,32,39,.821,6,26,4,3,3,10,27
30,30,2016-03-04,N,Loyola Marymount,L,61,64,19,46,.413,8,25,.320,15,18,.833,4,26,9,8,3,16,24,,20,47,.426,4,13,.308,20,24,.833,5,27,11,8,2,15,16
