Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,UIC,W,78,75,24,63,.381,8,23,.348,22,39,.564,12,42,15,3,2,15,23,,28,76,.368,8,25,.320,11,18,.611,11,36,17,6,9,10,31
2,2,2015-11-16,,Rice,W,80,54,31,62,.500,8,18,.444,10,12,.833,10,40,17,10,6,16,20,,22,65,.338,4,22,.182,6,13,.462,15,30,6,8,8,15,15
3,3,2015-11-19,@,Fresno State,L,71,78,22,53,.415,7,21,.333,20,26,.769,8,32,12,3,0,16,21,,24,60,.400,10,24,.417,20,28,.714,11,34,11,7,4,12,24
4,4,2015-11-21,,UC-Riverside,W,58,57,17,53,.321,6,25,.240,18,21,.857,10,42,10,2,3,11,12,,22,62,.355,11,30,.367,2,5,.400,7,31,9,6,4,7,19
5,5,2015-11-25,,UCSB,L,61,68,21,50,.420,5,20,.250,14,24,.583,11,32,9,3,2,13,16,,25,59,.424,5,20,.250,13,15,.867,11,33,12,3,1,7,19
6,6,2015-11-29,,Delaware State,W,67,47,26,55,.473,9,25,.360,6,11,.545,9,37,18,3,1,10,17,,17,51,.333,8,26,.308,5,13,.385,7,26,10,5,5,9,14
7,7,2015-12-01,,Eastern Washington,L,77,81,29,52,.558,3,15,.200,16,22,.727,9,34,13,5,1,16,16,,29,57,.509,14,30,.467,9,18,.500,4,19,15,5,5,8,23
8,8,2015-12-04,@,Montana,L,50,82,17,55,.309,7,28,.250,9,14,.643,11,30,8,5,3,17,18,,32,59,.542,8,21,.381,10,17,.588,11,33,20,6,4,8,20
9,9,2015-12-07,,Cal State Northridge,W,65,61,21,50,.420,7,18,.389,16,24,.667,9,29,11,9,6,12,19,,22,54,.407,7,13,.538,10,14,.714,12,36,11,5,2,16,23
10,10,2015-12-18,,Coppin State,W (1 OT),96,93,33,60,.550,7,16,.438,23,34,.676,11,37,10,4,6,18,26,,28,63,.444,11,21,.524,26,30,.867,8,28,10,6,5,14,30
11,11,2015-12-21,@,Saint Mary's (CA),L,52,74,17,60,.283,7,21,.333,11,18,.611,13,36,9,5,2,9,20,,28,56,.500,10,23,.435,8,14,.571,10,40,17,6,8,7,16
12,12,2015-12-23,,Pacific,W,89,76,26,55,.473,13,25,.520,24,30,.800,14,40,15,4,2,11,21,,24,53,.453,9,21,.429,19,27,.704,4,19,10,5,1,10,28
13,13,2015-12-31,,Portland,W,107,95,35,60,.583,11,23,.478,26,40,.650,9,36,13,4,2,9,24,,29,67,.433,12,31,.387,25,28,.893,10,31,16,7,6,9,29
14,14,2016-01-02,,Gonzaga,L (1 OT),94,102,34,76,.447,14,31,.452,12,16,.750,9,32,16,5,0,10,28,,37,68,.544,5,19,.263,23,32,.719,13,48,11,7,8,12,20
