,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Idaho,L,54,74,18,62,.290,4,29,.138,14,25,.560,10,31,13,7,2,13,27,,23,50,.460,5,14,.357,23,31,.742,7,41,12,2,6,17,28
2,2,2015-11-16,,Montana,W,64,61,19,50,.380,6,17,.353,20,33,.606,10,43,12,6,5,17,25,,20,54,.370,3,16,.188,18,30,.600,5,28,10,6,0,10,27
3,3,2015-11-20,@,Montana State,L,69,81,27,57,.474,5,19,.263,10,20,.500,3,23,11,6,3,9,25,,25,54,.463,8,19,.421,23,28,.821,8,41,8,5,3,17,23
4,4,2015-11-25,N,Toledo,L,74,89,28,62,.452,8,21,.381,10,18,.556,4,34,21,4,6,9,13,,37,76,.487,10,23,.435,5,12,.417,9,41,25,3,3,6,16
5,5,2015-11-27,N,San Diego,W,76,67,27,59,.458,6,20,.300,16,24,.667,9,29,21,6,3,7,18,,23,50,.460,6,19,.316,15,26,.577,9,30,12,7,3,14,20
6,6,2015-11-28,@,Alaska-Anchorage,W,91,87,34,59,.576,10,21,.476,13,24,.542,10,39,20,4,3,13,25,,29,60,.483,11,30,.367,18,29,.621,6,25,20,8,2,8,23
7,7,2015-12-02,,Antelope Valley,W,90,60,32,65,.492,4,16,.250,22,32,.688,22,55,21,12,5,25,20,,19,62,.306,6,16,.375,16,24,.667,7,25,9,11,1,17,24
8,8,2015-12-05,@,Santa Clara,L,75,78,22,58,.379,9,32,.281,22,28,.786,7,32,13,5,6,10,17,,30,59,.508,4,11,.364,14,18,.778,6,37,16,4,1,12,20
9,9,2015-12-08,@,Marquette,L,62,80,23,62,.371,4,22,.182,12,17,.706,13,41,16,4,2,17,19,,28,69,.406,11,28,.393,13,20,.650,16,42,19,10,6,9,20
10,10,2015-12-13,,Montana State,L,83,91,25,56,.446,6,19,.316,27,38,.711,9,28,18,5,1,15,26,,32,65,.492,12,26,.462,15,28,.536,13,33,17,3,0,16,26
11,11,2015-12-20,@,Seattle,L,64,67,25,52,.481,7,20,.350,7,14,.500,8,34,13,9,2,17,20,,20,53,.377,8,19,.421,19,25,.760,6,25,12,8,0,11,13
12,12,2015-12-22,,Life Pacific,W,128,66,44,76,.579,9,18,.500,31,35,.886,10,46,28,14,6,11,10,,25,70,.357,8,28,.286,8,10,.800,8,29,12,4,1,22,27
13,13,2015-12-30,,Utah State,L,71,80,24,57,.421,9,23,.391,14,23,.609,11,35,18,2,4,11,19,,26,55,.473,11,20,.550,17,25,.680,7,29,20,6,5,8,21
14,14,2016-01-02,@,Air Force,L,57,64,18,49,.367,7,18,.389,14,23,.609,9,30,12,8,8,20,24,,17,49,.347,5,19,.263,25,30,.833,7,33,12,9,1,15,23
15,15,2016-01-06,@,San Diego State,L,62,77,21,57,.368,7,26,.269,13,16,.813,10,29,6,3,2,6,23,,25,52,.481,8,22,.364,19,31,.613,8,31,12,5,5,8,15
16,16,2016-01-09,,Colorado State,L (1 OT),84,85,29,61,.475,8,27,.296,18,23,.783,11,29,18,7,5,14,27,,28,64,.438,5,18,.278,24,27,.889,14,33,13,4,0,17,18
17,17,2016-01-13,,Wyoming,W,62,55,23,50,.460,7,23,.304,9,12,.750,7,36,13,6,4,22,25,,17,48,.354,6,22,.273,15,22,.682,2,21,8,8,3,12,18
18,18,2016-01-16,@,Fresno State,L,74,81,28,66,.424,10,29,.345,8,15,.533,14,32,12,3,2,13,29,,20,42,.476,6,10,.600,35,46,.761,11,39,9,7,2,16,21
19,19,2016-01-20,@,Boise State,L,69,94,28,61,.459,6,20,.300,7,15,.467,4,31,13,4,5,15,24,,32,74,.432,9,26,.346,21,27,.778,13,45,11,8,2,7,17
20,20,2016-01-23,,New Mexico,L,64,83,21,56,.375,7,21,.333,15,28,.536,9,25,14,10,5,17,21,,30,55,.545,7,10,.700,16,22,.727,11,37,16,9,7,19,25
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-27,@,Colorado State,L,66,74,25,54,.463,8,24,.333,8,13,.615,7,27,11,6,3,11,26,,25,53,.472,7,22,.318,17,23,.739,12,35,10,3,4,9,16
22,22,2016-01-30,,Air Force,W,75,54,24,52,.462,12,31,.387,15,19,.789,6,36,17,4,8,9,20,,16,56,.286,5,21,.238,17,20,.850,10,33,7,4,0,10,17
23,23,2016-02-03,,Fresno State,W,65,53,18,49,.367,6,17,.353,23,27,.852,13,37,12,5,3,15,18,,21,61,.344,3,15,.200,8,18,.444,12,29,11,9,5,9,22
24,24,2016-02-10,@,UNLV,L,61,64,21,55,.382,5,16,.313,14,26,.538,6,41,13,3,3,15,28,,20,68,.294,4,20,.200,20,32,.625,14,44,8,10,4,6,21
25,25,2016-02-13,@,New Mexico,L,58,74,17,56,.304,8,30,.267,16,23,.696,9,33,11,2,4,9,25,,22,53,.415,6,20,.300,24,35,.686,9,36,15,4,7,8,22
26,26,2016-02-17,,Nevada,L,55,61,20,53,.377,5,21,.238,10,18,.556,8,38,10,7,4,21,18,,23,57,.404,2,12,.167,13,23,.565,6,29,4,11,2,12,16
27,27,2016-02-21,,San Diego State,L,56,78,20,56,.357,6,23,.261,10,15,.667,7,29,10,5,3,10,16,,27,55,.491,8,16,.500,16,21,.762,7,36,17,4,7,11,20
28,28,2016-02-27,@,Utah State,L,70,88,23,58,.397,7,25,.280,17,28,.607,7,29,15,11,4,14,25,,27,49,.551,10,17,.588,24,39,.615,8,42,20,11,1,17,25
29,29,2016-03-02,@,Wyoming,L,78,81,27,58,.466,9,26,.346,15,23,.652,8,28,16,5,3,11,28,,24,45,.533,7,22,.318,26,38,.684,5,24,12,1,2,10,18
30,30,2016-03-05,,Boise State,W,68,63,22,53,.415,4,15,.267,20,25,.800,6,38,11,7,4,17,23,,22,58,.379,2,19,.105,17,28,.607,8,32,10,8,2,13,22
