,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Lipscomb,L (2 OT),63,65,20,64,.313,9,32,.281,14,19,.737,12,47,16,6,4,21,29,,19,62,.306,8,32,.250,19,29,.655,11,42,15,8,3,19,19
2,2,2015-11-14,,Denver,L,33,55,11,48,.229,4,24,.167,7,10,.700,5,27,9,4,2,10,14,,20,44,.455,13,31,.419,2,3,.667,3,33,14,6,1,11,11
3,3,2015-11-15,,Milwaukee,L,65,71,24,47,.511,6,15,.400,11,22,.500,5,25,10,6,1,17,27,,21,44,.477,7,23,.304,22,30,.733,5,25,13,10,0,16,21
4,4,2015-11-19,@,UC-Riverside,L,63,77,23,54,.426,4,15,.267,13,18,.722,6,31,14,1,1,8,15,,28,62,.452,13,29,.448,8,11,.727,10,34,19,4,3,6,17
5,5,2015-11-23,@,UC-Irvine,L,61,79,17,67,.254,4,21,.190,23,27,.852,13,31,7,6,2,9,25,,24,56,.429,9,16,.563,22,33,.667,14,47,16,5,7,16,21
6,6,2015-11-26,N,Arizona,L (1 OT),73,75,23,53,.434,10,26,.385,17,22,.773,5,32,16,6,3,19,23,,29,69,.420,3,22,.136,14,20,.700,15,42,19,3,1,17,22
7,7,2015-11-27,N,Evansville,L,57,69,22,54,.407,3,15,.200,10,16,.625,7,28,17,3,2,11,23,,24,51,.471,5,14,.357,16,22,.727,7,36,21,6,2,14,20
8,8,2015-11-29,N,Boston College,W,62,45,22,50,.440,8,24,.333,10,14,.714,8,37,17,9,4,16,15,,17,60,.283,4,26,.154,7,11,.636,8,29,9,2,0,12,14
9,9,2015-12-05,,San Jose State,W,78,75,30,59,.508,4,11,.364,14,18,.778,6,37,16,4,1,12,20,,22,58,.379,9,32,.281,22,28,.786,7,32,13,5,6,10,17
