,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,@,Pitt,L,55,88,20,64,.313,5,20,.250,10,14,.714,14,26,9,6,3,17,27,,26,52,.500,7,15,.467,29,38,.763,15,45,16,7,5,16,21
2,2,2013-11-09,@,Robert Morris,L,66,86,19,51,.373,5,16,.313,23,38,.605,10,33,8,2,4,10,32,,23,55,.418,11,21,.524,29,45,.644,16,41,15,4,2,9,27
3,3,2013-11-12,,Tennessee Temple,W,73,63,26,61,.426,4,15,.267,17,31,.548,13,30,15,13,2,15,24,,18,43,.419,5,15,.333,22,31,.710,7,31,14,4,3,25,25
4,4,2013-11-14,,Florida National University,W,87,60,29,60,.483,10,23,.435,19,25,.760,9,36,20,9,11,19,18,,20,52,.385,7,15,.467,13,20,.650,1,23,14,10,3,24,23
5,5,2013-11-18,@,North Florida,L,63,66,24,54,.444,3,14,.214,12,20,.600,10,25,8,10,4,11,27,,16,39,.410,2,11,.182,32,39,.821,6,30,9,5,2,16,18
6,6,2013-11-21,N,Lamar,L,66,75,27,62,.435,5,14,.357,7,15,.467,11,36,13,6,8,19,21,,27,59,.458,5,10,.500,16,20,.800,6,28,19,6,5,16,16
7,7,2013-11-22,N,Grand Canyon,L,71,72,27,57,.474,6,15,.400,11,15,.733,6,25,6,4,12,10,27,,22,53,.415,7,15,.467,21,29,.724,13,37,10,3,2,13,14
8,8,2013-11-23,@,Utah,L,57,71,22,51,.431,4,14,.286,9,12,.750,7,26,11,2,4,12,25,,22,54,.407,2,11,.182,25,27,.926,12,30,11,8,7,5,11
9,9,2013-11-26,,North Florida,L,61,65,23,53,.434,5,20,.250,10,18,.556,11,26,15,7,7,15,17,,23,47,.489,4,13,.308,15,18,.833,8,25,12,8,4,15,12
10,10,2013-12-10,@,Northern Iowa,L,50,55,19,42,.452,6,16,.375,6,9,.667,4,29,10,7,1,21,22,,20,47,.426,3,20,.150,12,23,.522,6,27,8,12,3,9,7
11,11,2013-12-12,@,Arkansas,L,43,72,16,51,.314,4,13,.308,7,14,.500,3,26,7,7,0,18,17,,27,62,.435,5,19,.263,13,26,.500,16,46,15,8,10,12,17
12,12,2013-12-19,,Miami (FL),L,51,68,20,51,.392,5,20,.250,6,12,.500,6,19,10,5,2,11,20,,24,42,.571,7,14,.500,13,19,.684,8,31,16,9,5,16,11
13,13,2013-12-29,@,Florida,L,34,76,12,49,.245,2,8,.250,8,10,.800,8,27,6,9,3,20,23,,25,51,.490,7,17,.412,19,32,.594,13,40,11,8,7,13,11
14,14,2014-01-03,@,Baylor,L,50,80,21,63,.333,6,23,.261,2,4,.500,14,27,11,4,2,11,21,,27,51,.529,7,18,.389,19,28,.679,12,39,19,4,4,9,10
15,15,2014-01-06,,Maryland-Eastern Shore,W,66,42,20,43,.465,3,11,.273,23,32,.719,8,30,13,8,7,12,14,,12,54,.222,2,15,.133,16,17,.941,15,32,3,5,1,15,26
16,16,2014-01-11,@,Coppin State,W,75,53,28,48,.583,11,21,.524,8,11,.727,8,32,10,6,5,20,20,,23,55,.418,6,19,.316,1,11,.091,11,21,10,4,1,18,13
17,17,2014-01-13,@,Howard,W,56,54,15,38,.395,4,14,.286,22,30,.733,6,20,8,8,2,16,16,,18,41,.439,7,15,.467,11,22,.500,9,26,6,5,4,18,24
18,18,2014-01-18,,Bethune-Cookman,W (1 OT),70,60,22,47,.468,5,13,.385,21,32,.656,13,35,9,5,5,14,20,,18,51,.353,4,19,.211,20,27,.741,6,21,5,9,5,12,24
19,19,2014-01-20,,Florida A&M,W,79,68,27,61,.443,5,17,.294,20,25,.800,12,37,15,11,6,21,21,,25,59,.424,2,13,.154,16,21,.762,7,31,9,11,4,24,21
20,20,2014-01-25,,Hampton,L,71,80,27,66,.409,6,22,.273,11,20,.550,11,34,13,11,5,19,29,,24,60,.400,4,13,.308,28,44,.636,15,39,12,12,3,16,19
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2014-01-27,,Norfolk State,L,49,56,16,48,.333,3,19,.158,14,19,.737,8,25,10,11,7,16,24,,20,47,.426,2,7,.286,14,23,.609,11,33,8,9,6,18,16
22,22,2014-02-01,@,Bethune-Cookman,W,50,40,18,37,.486,5,14,.357,9,12,.750,6,25,8,6,4,14,11,,14,40,.350,6,15,.400,6,7,.857,6,19,7,7,3,14,16
23,23,2014-02-03,@,Florida A&M,L,51,54,14,46,.304,1,9,.111,22,39,.564,8,34,7,18,13,22,20,,19,65,.292,6,15,.400,10,16,.625,16,45,11,7,8,23,24
24,24,2014-02-10,@,Delaware State,L,59,79,22,50,.440,3,14,.214,12,20,.600,10,24,11,5,3,13,21,,26,41,.634,4,9,.444,23,26,.885,1,21,19,8,2,10,19
25,25,2014-02-15,,North Carolina A&T,W,73,48,24,47,.511,7,16,.438,18,26,.692,8,33,15,7,5,16,13,,15,50,.300,4,14,.286,14,20,.700,7,23,5,7,2,14,19
26,26,2014-02-17,,North Carolina Central,L,62,76,19,44,.432,3,10,.300,21,27,.778,7,23,4,7,5,12,27,,19,47,.404,3,15,.200,35,41,.854,13,30,13,4,5,11,24
27,27,2014-02-22,@,South Carolina State,W,75,65,28,53,.528,5,14,.357,14,24,.583,9,27,11,8,3,8,19,,23,60,.383,5,20,.250,14,22,.636,15,33,12,6,3,12,16
28,28,2014-03-01,@,North Carolina A&T,W (1 OT),71,67,25,59,.424,8,23,.348,13,20,.650,14,35,14,5,5,24,25,,22,53,.415,3,15,.200,20,26,.769,10,25,6,8,4,21,20
29,29,2014-03-03,@,North Carolina Central,L (1 OT),57,64,20,50,.400,7,15,.467,10,17,.588,8,33,6,4,6,19,21,,21,55,.382,3,18,.167,19,28,.679,10,29,12,9,7,9,16
30,30,2014-03-06,,South Carolina State,W,69,50,25,52,.481,3,13,.231,16,21,.762,9,34,14,7,4,14,13,,19,56,.339,0,13,.000,12,18,.667,9,26,10,6,3,12,14
31,31,2014-03-10,N,South Carolina State,W,61,47,19,46,.413,4,14,.286,19,30,.633,9,37,7,4,5,15,18,,14,53,.264,4,16,.250,15,25,.600,10,34,3,7,2,12,25
32,32,2014-03-13,N,Norfolk State,L,47,57,19,49,.388,4,12,.333,5,10,.500,8,27,10,1,4,12,16,,21,47,.447,2,7,.286,13,19,.684,9,32,9,8,4,8,15
