,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Arkansas-Pine Bluff,L,56,58,17,49,.347,6,16,.375,16,28,.571,7,38,12,5,0,15,17,,20,55,.364,7,30,.233,11,16,.688,8,35,12,8,6,11,23
2,2,2015-11-15,,Sacramento State,L,65,77,24,68,.353,4,27,.148,13,23,.565,19,47,12,5,2,16,21,,27,64,.422,9,29,.310,14,27,.519,12,36,18,8,2,10,24
3,3,2015-11-18,@,Eastern Washington,L,70,76,26,51,.510,9,15,.600,9,13,.692,5,28,18,3,1,10,19,,25,56,.446,15,34,.441,11,16,.688,8,28,16,3,4,7,15
4,4,2015-11-23,,Eastern Washington,W,58,52,21,47,.447,1,5,.200,15,30,.500,8,35,11,8,0,13,11,,20,52,.385,9,29,.310,3,5,.600,6,30,13,4,5,18,27
5,5,2015-11-25,,Great Falls,W,58,48,22,49,.449,3,8,.375,11,17,.647,11,36,15,8,3,20,9,,19,57,.333,4,16,.250,6,8,.750,6,23,10,15,2,12,16
6,6,2015-12-01,@,University of California,L,52,66,23,66,.348,4,11,.364,2,4,.500,10,31,13,4,3,7,24,,23,57,.404,6,21,.286,14,25,.560,17,45,12,2,10,14,13
7,7,2015-12-04,,Cal State Fullerton,L,61,70,19,52,.365,7,19,.368,16,20,.800,9,37,10,4,1,19,19,,24,65,.369,9,32,.281,13,18,.722,11,34,10,10,1,10,17
8,8,2015-12-06,,Mississippi Valley State,W,84,72,32,67,.478,9,24,.375,11,16,.688,7,41,25,6,4,18,12,,26,66,.394,9,25,.360,11,18,.611,5,29,12,11,3,13,22
9,9,2015-12-13,@,Alabama-Birmingham,L,73,79,27,51,.529,9,17,.529,10,11,.909,9,27,15,5,0,17,17,,30,60,.500,10,25,.400,9,12,.750,12,25,22,9,7,10,14
