,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Duke,L,74,92,27,64,.422,7,16,.438,13,21,.619,11,39,11,7,2,17,29,,30,66,.455,6,25,.240,26,36,.722,14,43,9,8,5,9,17
2,2,2015-11-15,@,Wisconsin,L,65,92,22,56,.393,3,16,.188,18,27,.667,10,24,9,5,4,10,23,,31,53,.585,5,12,.417,25,30,.833,8,33,12,2,2,10,23
3,3,2015-11-20,N,Radford,W,76,62,26,58,.448,2,16,.125,22,25,.880,16,40,10,7,5,17,24,,22,58,.379,2,16,.125,16,25,.640,14,26,11,8,3,16,21
4,4,2015-11-21,@,Bryant,W,78,59,31,50,.620,9,19,.474,7,9,.778,2,29,15,4,5,16,20,,22,59,.373,5,22,.227,10,18,.556,11,26,8,10,4,12,14
5,5,2015-11-24,@,Bucknell,W (1 OT),83,81,34,72,.472,4,16,.250,11,23,.478,16,45,16,5,4,18,27,,27,58,.466,3,13,.231,24,33,.727,4,25,12,7,2,13,22
6,6,2015-11-28,,Loyola (MD),W (1 OT),90,82,29,58,.500,10,18,.556,22,27,.815,12,32,14,6,6,15,18,,30,64,.469,10,24,.417,12,16,.750,12,30,13,7,3,15,24
7,7,2015-12-01,@,Cornell,L,80,81,29,60,.483,8,16,.500,14,17,.824,7,34,17,6,6,15,24,,26,61,.426,10,22,.455,19,28,.679,5,27,12,9,4,11,19
8,8,2015-12-04,,Manhattan,W,89,54,27,55,.491,4,12,.333,31,44,.705,17,40,13,10,3,20,19,,21,50,.420,3,14,.214,9,13,.692,7,23,6,9,1,23,34
9,9,2015-12-06,@,St. Peter's,L,68,72,22,55,.400,3,13,.231,21,32,.656,8,31,9,8,6,14,29,,21,54,.389,6,22,.273,24,33,.727,9,33,10,3,0,15,25
10,10,2015-12-09,,Hofstra,W,81,68,30,57,.526,5,15,.333,16,19,.842,6,38,14,4,2,17,22,,22,66,.333,6,26,.231,18,30,.600,13,31,10,9,0,8,22
11,11,2015-12-12,,Albany (NY),W,78,70,30,57,.526,5,12,.417,13,20,.650,9,33,16,3,13,10,21,,23,62,.371,7,23,.304,17,24,.708,13,30,7,4,1,13,17
12,12,2015-12-22,,St. Bonaventure,W,73,70,26,55,.473,6,17,.353,15,24,.625,14,34,15,9,5,24,17,,28,60,.467,6,15,.400,8,12,.667,8,23,11,7,4,20,23
13,13,2015-12-29,@,Vermont,L,64,73,23,66,.348,5,16,.313,13,23,.565,20,43,11,7,6,10,25,,21,49,.429,7,12,.583,24,31,.774,3,27,12,4,9,10,18
14,14,2016-01-02,,Niagara,W,75,63,22,52,.423,6,19,.316,25,31,.806,13,32,16,2,2,13,18,,20,45,.444,6,19,.316,17,23,.739,3,17,8,3,4,15,28
15,15,2016-01-04,@,Manhattan,L (3 OT),87,92,30,70,.429,3,10,.300,24,31,.774,13,42,17,11,8,22,25,,29,72,.403,9,26,.346,25,30,.833,13,38,20,9,5,19,24
16,16,2016-01-07,,Fairfield,W,91,76,37,67,.552,3,11,.273,14,22,.636,11,46,14,4,4,13,21,,21,62,.339,9,25,.360,25,31,.806,7,25,12,8,2,7,19
17,17,2016-01-15,@,Quinnipiac,W,64,52,22,65,.338,4,16,.250,16,25,.640,17,42,11,8,13,14,20,,17,65,.262,6,17,.353,12,20,.600,14,35,9,3,6,15,25
18,18,2016-01-18,@,Monmouth,L,69,85,25,62,.403,6,16,.375,13,18,.722,11,39,11,5,3,20,21,,30,64,.469,11,26,.423,14,18,.778,7,28,12,7,6,8,19
19,19,2016-01-21,,Rider,W,63,52,20,52,.385,7,18,.389,16,23,.696,10,33,13,10,6,12,17,,20,54,.370,2,20,.100,10,16,.625,10,35,7,8,3,13,21
20,20,2016-01-24,@,Canisius,W,99,78,33,50,.660,10,19,.526,23,28,.821,4,31,27,5,6,12,19,,29,64,.453,13,21,.619,7,13,.538,7,20,16,8,2,10,19
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-26,@,Niagara,W,82,70,27,55,.491,9,19,.474,19,26,.731,7,31,17,7,2,13,20,,20,52,.385,3,16,.188,27,33,.818,10,29,7,10,2,18,22
22,22,2016-01-30,,Marist,W,77,66,29,60,.483,7,22,.318,12,18,.667,10,39,17,8,3,13,18,,25,62,.403,4,29,.138,12,19,.632,11,30,9,7,2,8,19
23,23,2016-02-01,,Monmouth,L,87,93,25,56,.446,6,18,.333,31,38,.816,13,35,13,5,5,14,20,,28,68,.412,10,23,.435,27,31,.871,13,33,11,12,3,7,23
24,24,2016-02-05,,St. Peter's,W,69,52,25,50,.500,7,15,.467,12,16,.750,5,35,12,6,4,15,14,,22,62,.355,4,23,.174,4,10,.400,7,31,9,10,5,11,14
25,25,2016-02-07,@,Marist,L,73,79,26,53,.491,9,19,.474,12,17,.706,11,31,12,5,3,14,22,,24,51,.471,8,22,.364,23,28,.821,6,21,14,7,4,7,17
26,26,2016-02-11,,Canisius,W,90,67,31,59,.525,9,19,.474,19,22,.864,11,36,20,9,3,17,21,,22,59,.373,7,22,.318,16,21,.762,8,26,9,8,2,14,22
27,27,2016-02-13,@,Iona,W,81,78,26,48,.542,11,20,.550,18,26,.692,9,37,16,2,4,23,20,,28,71,.394,8,30,.267,14,20,.700,13,26,20,15,4,9,18
28,28,2016-02-19,@,Rider,W,84,64,31,64,.484,11,21,.524,11,11,1.000,16,42,17,5,2,8,16,,24,58,.414,5,23,.217,11,16,.688,11,24,13,2,6,7,13
29,29,2016-02-22,,Iona,L,81,87,29,65,.446,4,21,.190,19,24,.792,14,37,18,6,5,17,18,,31,65,.477,13,27,.481,12,19,.632,11,31,18,7,5,13,20
30,30,2016-02-24,@,Fairfield,L,69,76,25,71,.352,6,25,.240,13,21,.619,18,42,13,4,3,13,25,,26,60,.433,7,22,.318,17,28,.607,9,32,15,3,9,10,18
31,31,2016-02-28,,Quinnipiac,W,80,65,31,63,.492,4,17,.235,14,18,.778,11,43,13,7,2,15,22,,23,67,.343,4,18,.222,15,25,.600,13,33,5,6,5,13,14
32,32,2016-03-05,N,Manhattan,W,89,76,24,50,.480,6,16,.375,35,45,.778,16,43,17,5,5,20,22,,27,61,.443,8,19,.421,14,20,.700,7,19,16,9,2,11,28
