Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Auburn Montgomery,W,88,68,31,72,.431,8,22,.364,18,27,.667,19,49,14,6,3,11,15,,26,68,.382,8,30,.267,8,15,.533,12,35,13,5,1,13,21
2,2,2015-11-15,@,North Carolina State,L,70,88,23,73,.315,9,26,.346,15,25,.600,15,38,9,5,2,10,24,,29,57,.509,6,16,.375,24,34,.706,9,45,14,4,5,14,23
3,3,2015-11-19,@,LSU,L,66,78,26,65,.400,7,24,.292,7,15,.467,12,34,10,5,3,13,19,,29,57,.509,6,18,.333,14,19,.737,6,34,15,8,3,11,15
4,4,2015-11-23,N,Belmont,L,85,98,32,73,.438,6,25,.240,15,22,.682,13,33,8,7,1,12,24,,36,57,.632,8,20,.400,18,27,.667,5,31,15,2,0,13,20
5,5,2015-11-24,N,IUPUI,W,78,68,26,51,.510,4,13,.308,22,32,.688,7,39,13,7,9,18,18,,23,66,.348,5,22,.227,17,25,.680,9,32,6,6,1,12,23
6,6,2015-11-28,@,Denver,L,56,69,18,46,.391,4,17,.235,16,22,.727,7,24,7,11,5,14,21,,25,44,.568,5,16,.313,14,16,.875,3,28,19,3,4,17,20
7,7,2015-11-30,,Spring Hill,W,79,50,25,47,.532,5,12,.417,24,32,.750,9,28,13,8,4,15,18,,19,47,.404,2,7,.286,10,13,.769,7,18,8,2,2,21,26
8,8,2015-12-05,@,Middle Tennessee,L,55,68,20,59,.339,3,13,.231,12,21,.571,10,23,6,12,2,14,21,,22,48,.458,11,19,.579,13,22,.591,8,41,15,5,8,18,22
9,9,2015-12-14,,Southern Miss,L,54,57,18,54,.333,11,26,.423,7,9,.778,9,35,8,4,0,12,17,,18,53,.340,10,27,.370,11,13,.846,8,32,10,3,1,12,16
10,10,2015-12-18,@,Samford,W (2 OT),72,70,26,69,.377,5,25,.200,15,26,.577,18,49,17,8,6,22,22,,25,67,.373,6,24,.250,14,27,.519,13,34,15,15,6,18,21
11,11,2015-12-22,,Rice,W,74,67,28,52,.538,7,15,.467,11,18,.611,7,38,16,6,5,19,16,,25,63,.397,7,23,.304,10,16,.625,8,28,12,10,6,10,15
12,12,2015-12-30,,Arkansas-Little Rock,L,60,69,20,57,.351,10,27,.370,10,18,.556,13,36,13,6,3,13,22,,23,55,.418,6,18,.333,17,23,.739,9,31,13,5,3,8,18
