,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,College of Charleston,L,54,74,18,56,.321,3,18,.167,15,20,.750,7,26,5,3,3,10,24,,21,50,.420,8,23,.348,24,35,.686,9,38,13,6,3,13,20
2,2,2015-11-16,,Voorhees,W,113,69,35,66,.530,11,24,.458,32,44,.727,14,31,19,6,1,9,23,,23,47,.489,3,13,.231,20,25,.800,5,25,9,3,1,17,36
3,3,2015-11-20,N,Longwood,W,83,77,29,59,.492,7,17,.412,18,25,.720,7,26,15,3,4,7,23,,26,55,.473,6,16,.375,19,25,.760,12,33,14,1,1,14,18
4,4,2015-11-21,@,Eastern Kentucky,L,82,92,30,63,.476,6,16,.375,16,26,.615,9,27,17,7,1,9,26,,28,54,.519,11,20,.550,25,33,.758,10,38,18,3,3,13,24
5,5,2015-11-22,N,Ball State,L,60,72,22,59,.373,5,15,.333,11,16,.688,8,28,13,5,2,7,22,,23,55,.418,6,19,.316,20,27,.741,13,39,16,2,5,11,18
6,6,2015-11-25,,Allen,W,86,74,27,52,.519,5,14,.357,27,33,.818,5,32,8,3,3,20,14,,27,63,.429,11,26,.423,9,15,.600,8,29,15,9,1,16,25
7,7,2015-11-29,@,Kansas State,L,66,68,23,57,.404,9,23,.391,11,17,.647,9,26,14,10,2,13,17,,26,55,.473,3,15,.200,13,17,.765,12,36,19,6,2,17,17
8,8,2015-12-05,@,Florida A&M,W,79,67,28,52,.538,5,9,.556,18,25,.720,3,26,11,9,3,8,18,,21,53,.396,7,17,.412,18,25,.720,7,28,13,3,1,12,22
9,9,2015-12-07,@,Bethune-Cookman,L,54,69,22,65,.338,5,19,.263,5,6,.833,15,35,13,3,2,7,13,,26,61,.426,4,20,.200,13,17,.765,15,39,13,5,9,7,8
10,10,2015-12-12,,Jacksonville,W,81,74,27,65,.415,8,24,.333,19,24,.792,10,42,13,1,2,9,14,,29,64,.453,4,18,.222,12,17,.706,7,33,8,6,3,6,16
11,11,2015-12-16,@,Duquesne,L,68,83,26,57,.456,8,14,.571,8,12,.667,9,29,16,6,2,16,15,,29,57,.509,11,24,.458,14,18,.778,6,27,19,7,4,13,14
12,12,2015-12-19,@,St. Bonaventure,L,45,64,17,60,.283,3,20,.150,8,10,.800,11,39,13,6,2,16,17,,23,66,.348,7,25,.280,11,17,.647,17,45,13,8,2,13,13
13,13,2015-12-22,@,East Carolina,L,71,98,29,66,.439,7,23,.304,6,8,.750,4,18,22,11,1,10,19,,30,52,.577,16,30,.533,22,26,.846,8,36,24,6,3,16,14
14,14,2015-12-27,@,Ohio State,L,57,73,23,70,.329,4,14,.286,7,10,.700,9,27,9,4,0,4,18,,26,56,.464,8,22,.364,13,17,.765,11,48,19,2,9,14,16
15,15,2015-12-30,@,Akron,L,68,78,29,60,.483,1,13,.077,9,16,.563,6,26,12,5,1,9,22,,22,52,.423,8,23,.348,26,32,.813,9,36,15,4,1,11,18
16,16,2016-01-02,@,Miami (OH),W,71,67,20,47,.426,3,11,.273,28,36,.778,12,32,9,7,2,17,25,,23,55,.418,4,18,.222,17,23,.739,12,27,10,7,5,13,26
17,17,2016-01-09,,North Carolina Central,W,91,75,31,49,.633,12,22,.545,17,27,.630,8,23,19,6,1,16,18,,25,46,.543,10,21,.476,15,20,.750,3,16,15,5,0,16,25
18,18,2016-01-11,,North Carolina A&T,W,92,85,26,45,.578,7,18,.389,33,45,.733,6,24,15,4,1,9,22,,31,53,.585,9,24,.375,14,20,.700,5,23,9,0,1,13,34
19,19,2016-01-16,,Delaware State,W,90,79,31,65,.477,10,26,.385,18,23,.783,7,32,15,3,2,7,20,,27,61,.443,11,32,.344,14,23,.609,7,30,12,2,2,10,21
20,20,2016-01-18,,Maryland-Eastern Shore,W,68,63,25,52,.481,6,15,.400,12,16,.750,6,24,13,3,4,9,14,,22,54,.407,6,16,.375,13,16,.813,12,30,7,2,0,14,18
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-23,@,Norfolk State,L,74,87,26,58,.448,7,17,.412,15,21,.714,10,32,13,3,4,17,13,,32,64,.500,14,32,.438,9,10,.900,7,25,19,10,7,13,15
22,22,2016-01-25,@,Hampton,W,67,62,26,61,.426,4,16,.250,11,16,.688,12,42,8,5,4,15,17,,24,71,.338,5,25,.200,9,19,.474,15,37,9,6,1,10,16
23,23,2016-01-30,@,Delaware State,W,56,41,21,59,.356,5,24,.208,9,18,.500,14,36,17,4,6,10,12,,16,54,.296,2,20,.100,7,10,.700,10,32,9,4,5,15,14
24,24,2016-02-06,,Coppin State,W,88,83,30,51,.588,8,18,.444,20,31,.645,7,34,11,3,1,17,21,,29,59,.492,11,24,.458,14,24,.583,8,26,8,6,0,14,24
25,25,2016-02-08,,Morgan State,W,82,78,33,59,.559,6,11,.545,10,14,.714,8,30,17,3,3,18,21,,27,60,.450,8,17,.471,16,23,.696,9,28,9,3,1,12,15
26,26,2016-02-13,,Savannah State,L,57,60,19,49,.388,2,15,.133,17,21,.810,8,28,8,5,3,8,15,,22,58,.379,9,20,.450,7,9,.778,11,29,10,3,3,6,15
27,27,2016-02-20,@,Maryland-Eastern Shore,W,62,58,24,54,.444,4,17,.235,10,15,.667,3,25,11,5,6,10,17,,23,48,.479,3,13,.231,9,12,.750,3,28,12,4,3,17,16
28,28,2016-02-22,@,Howard,W,71,63,27,57,.474,7,17,.412,10,13,.769,6,31,14,8,4,11,20,,21,55,.382,2,10,.200,19,28,.679,10,32,4,4,1,13,14
29,29,2016-02-27,@,Savannah State,L,64,76,21,43,.488,8,16,.500,14,18,.778,5,23,6,3,1,19,24,,23,49,.469,6,21,.286,24,28,.857,4,19,9,10,3,7,18
30,30,2016-03-03,,Bethune-Cookman,W,85,72,28,62,.452,4,14,.286,25,30,.833,10,43,11,1,6,5,23,,26,66,.394,8,28,.286,12,20,.600,8,30,8,1,2,6,25
31,31,2016-03-10,N,Coppin State,W,90,80,32,65,.492,5,13,.385,21,28,.750,13,41,14,0,4,8,22,,28,67,.418,8,25,.320,16,23,.696,8,33,13,2,5,7,22
32,32,2016-03-11,N,Norfolk State,W,67,65,23,49,.469,7,17,.412,14,18,.778,7,28,8,2,4,9,20,,20,51,.392,7,16,.438,18,21,.857,7,23,11,1,3,7,21
33,33,2016-03-12,N,Hampton,L,69,81,28,62,.452,4,21,.190,9,14,.643,6,27,13,3,6,8,23,,25,54,.463,4,18,.222,27,33,.818,10,32,13,3,1,8,15
