Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Texas A&M,L,64,104,22,67,.328,7,23,.304,13,23,.565,10,26,12,7,2,13,22,,38,57,.667,13,24,.542,15,27,.556,8,42,32,5,5,18,20
2,2,2015-11-16,@,Presbyterian,L,73,74,27,54,.500,7,21,.333,12,25,.480,3,32,16,3,4,11,25,,23,53,.434,5,16,.313,23,32,.719,5,31,10,5,3,15,23
3,3,2015-11-19,,Navy,L,55,67,19,54,.352,6,21,.286,11,17,.647,7,24,11,4,3,12,13,,27,58,.466,6,11,.545,7,9,.778,13,36,17,7,8,13,13
4,4,2015-11-21,,Bob Jones University,L,79,83,31,75,.413,6,25,.240,11,22,.500,19,46,18,8,5,12,14,,34,72,.472,11,25,.440,4,7,.571,11,38,20,9,6,12,18
5,5,2015-11-24,,Winthrop,L,78,79,25,62,.403,9,17,.529,19,27,.704,10,32,15,4,2,12,24,,24,58,.414,6,24,.250,25,31,.806,12,41,11,7,5,12,22
6,6,2015-11-27,,Georgia Southern,L,80,84,25,51,.490,11,21,.524,19,23,.826,13,37,17,3,2,19,19,,27,59,.458,14,30,.467,16,18,.889,6,18,17,8,0,8,19
7,7,2015-11-28,,Citadel,L,81,88,28,63,.444,8,22,.364,17,25,.680,15,45,21,4,3,18,15,,31,70,.443,16,43,.372,10,13,.769,9,32,24,9,6,10,19
8,8,2015-11-30,,Toccoa Falls,W,101,54,42,72,.583,7,27,.259,10,18,.556,14,43,28,26,11,23,13,,24,68,.353,2,21,.095,4,6,.667,9,26,17,15,2,32,14
9,9,2015-12-02,@,Clemson,L,56,76,23,54,.426,5,16,.313,5,8,.625,4,22,10,4,1,9,17,,28,57,.491,13,29,.448,7,13,.538,8,33,18,7,2,8,6
10,10,2015-12-04,@,East Carolina,L,71,82,24,55,.436,13,27,.481,10,18,.556,11,28,19,7,2,16,25,,27,50,.540,3,13,.231,25,32,.781,10,30,15,5,2,11,19
11,11,2015-12-11,,North Greenville,W,70,58,29,61,.475,5,22,.227,7,13,.538,10,34,13,10,5,12,16,,21,64,.328,8,30,.267,8,12,.667,15,33,12,3,1,17,14
12,12,2015-12-14,@,Navy,W,66,57,26,51,.510,9,17,.529,5,11,.455,8,26,21,7,3,12,18,,22,55,.400,5,18,.278,8,16,.500,13,33,17,2,3,14,13
13,13,2015-12-16,@,Alabama-Birmingham,L,54,96,22,60,.367,4,17,.235,6,8,.750,11,23,12,7,5,11,11,,38,70,.543,12,24,.500,8,12,.667,15,42,30,5,7,8,11
14,14,2015-12-21,@,Colorado State,L,61,89,20,52,.385,8,20,.400,13,18,.722,10,31,10,1,3,14,25,,29,53,.547,11,21,.524,20,28,.714,7,31,20,7,1,4,17
15,15,2015-12-30,,Lees-McRae,W,88,60,30,58,.517,6,22,.273,22,28,.786,11,50,20,6,2,13,16,,23,72,.319,10,36,.278,4,10,.400,11,27,13,7,1,10,20
16,16,2016-01-02,,UMKC,W,70,68,27,57,.474,7,22,.318,9,12,.750,11,25,15,6,5,15,15,,23,46,.500,7,17,.412,15,17,.882,3,20,13,11,1,16,14
17,17,2016-01-05,,North Carolina A&T,W,78,68,28,55,.509,12,23,.522,10,17,.588,11,36,18,3,2,13,15,,26,61,.426,7,24,.292,9,11,.818,8,25,13,5,1,6,19
18,18,2016-01-09,@,NJIT,W,80,78,31,60,.517,8,18,.444,10,13,.769,14,33,19,3,2,13,20,,25,56,.446,13,33,.394,15,16,.938,11,25,19,4,5,10,16
19,19,2016-01-14,@,Stetson,L (1 OT),86,89,33,66,.500,9,21,.429,11,18,.611,10,37,21,6,5,11,21,,32,65,.492,11,29,.379,14,20,.700,5,30,26,8,1,10,16
20,20,2016-01-16,@,Florida Gulf Coast,L,56,85,22,47,.468,5,16,.313,7,18,.389,7,31,13,3,2,17,22,,30,56,.536,13,21,.619,12,19,.632,4,24,22,6,0,4,15
21,21,2016-01-21,,North Florida,L,62,78,26,63,.413,3,10,.300,7,11,.636,10,35,12,2,2,10,20,,28,64,.438,9,28,.321,13,20,.650,10,36,14,8,8,4,14
22,22,2016-01-23,,Jacksonville,L,68,77,26,57,.456,4,17,.235,12,16,.750,9,39,12,1,3,16,19,,27,61,.443,13,27,.481,10,21,.476,6,28,13,4,3,6,14
23,23,2016-01-27,,Kennesaw State,L,75,78,28,66,.424,5,21,.238,14,22,.636,12,32,12,6,1,11,27,,25,52,.481,8,17,.471,20,31,.645,8,35,16,6,3,14,17
24,24,2016-01-30,@,Lipscomb,W (1 OT),92,91,31,70,.443,8,19,.421,22,30,.733,17,48,17,3,3,23,31,,25,64,.391,4,17,.235,37,44,.841,12,34,12,14,3,15,21
25,25,2016-02-01,@,Kennesaw State,L,62,75,24,49,.490,5,18,.278,9,12,.750,6,25,12,5,0,14,17,,30,64,.469,4,20,.200,11,13,.846,13,30,16,8,1,9,12
26,26,2016-02-06,,Lipscomb,L,65,78,22,56,.393,5,22,.227,16,25,.640,9,35,8,4,3,19,21,,29,59,.492,7,19,.368,13,28,.464,10,40,18,10,1,13,24
27,27,2016-02-11,,Florida Gulf Coast,L,64,71,22,65,.338,4,20,.200,16,20,.800,9,32,9,12,2,10,21,,27,47,.574,3,8,.375,14,25,.560,3,33,12,4,2,17,18
28,28,2016-02-13,,Stetson,W,85,83,32,72,.444,7,15,.467,14,25,.560,16,49,16,1,3,8,22,,28,68,.412,6,22,.273,21,30,.700,10,38,6,5,1,4,20
29,29,2016-02-18,@,Jacksonville,L,76,81,27,61,.443,8,26,.308,14,24,.583,10,27,9,6,8,15,21,,27,66,.409,8,18,.444,19,26,.731,16,42,9,11,3,13,19
30,30,2016-02-20,@,North Florida,L,78,81,34,66,.515,5,13,.385,5,12,.417,11,39,13,5,5,11,17,,29,65,.446,8,31,.258,15,20,.750,9,28,15,4,5,6,8
31,31,2016-02-25,,NJIT,W,72,71,27,58,.466,8,22,.364,10,16,.625,9,37,21,6,3,14,19,,27,63,.429,6,25,.240,11,13,.846,6,30,14,5,1,12,17
32,32,2016-03-01,@,North Florida,L,69,92,27,57,.474,4,19,.211,11,15,.733,5,27,14,2,4,14,22,,35,62,.565,8,18,.444,14,23,.609,7,34,17,6,1,6,14
