Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Norfolk State,W,84,69,23,59,.390,9,22,.409,29,42,.690,15,39,15,9,4,13,19,,19,56,.339,11,28,.393,20,23,.870,9,32,12,7,3,17,35
2,2,2015-11-16,,Oral Roberts,W,84,66,29,73,.397,7,21,.333,19,27,.704,19,44,14,5,4,5,21,,22,51,.431,4,14,.286,18,23,.783,3,25,7,3,5,12,22
3,3,2015-11-20,N,DePaul,W,76,61,24,60,.400,5,13,.385,23,34,.676,14,40,11,5,4,12,27,,19,52,.365,3,14,.214,20,31,.645,10,30,9,4,2,15,27
4,4,2015-11-22,N,Hofstra,W,94,84,37,68,.544,5,9,.556,15,23,.652,16,37,16,4,5,8,18,,28,55,.509,17,34,.500,11,17,.647,3,19,16,2,2,14,21
5,5,2015-11-23,N,Tulsa,W,83,75,27,54,.500,7,14,.500,22,28,.786,5,33,12,7,2,12,25,,24,54,.444,5,16,.313,22,31,.710,7,30,9,4,0,15,25
6,6,2015-11-27,,Lipscomb,W,92,76,34,66,.515,5,19,.263,19,27,.704,10,39,24,12,7,17,19,,27,68,.397,13,35,.371,9,14,.643,7,25,18,8,3,18,24
7,7,2015-11-30,,Western Carolina,W,76,53,26,63,.413,8,18,.444,16,25,.640,15,47,14,10,7,19,12,,19,67,.284,11,32,.344,4,4,1.000,10,33,13,10,3,20,17
8,8,2015-12-05,,South Florida,W,81,63,29,61,.475,7,21,.333,16,25,.640,6,30,14,12,6,12,15,,24,68,.353,2,15,.133,13,22,.591,20,45,9,8,6,18,20
9,9,2015-12-15,,Drexel,W,79,54,25,46,.543,6,12,.500,23,39,.590,7,36,14,6,9,15,19,,19,55,.345,7,17,.412,9,19,.474,5,20,11,3,2,13,28
10,10,2015-12-18,@,Clemson,W,65,59,23,53,.434,8,19,.421,11,14,.786,11,37,12,3,3,14,16,,23,63,.365,8,26,.308,5,9,.556,15,32,11,2,8,10,20
