Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,N,Wright State,L,69,77,23,56,.411,8,24,.333,15,23,.652,8,39,14,2,4,15,23,,24,57,.421,10,24,.417,19,25,.760,4,31,15,7,3,9,20
2,2,2015-11-14,@,Northern Illinois,L,65,72,24,53,.453,10,19,.526,7,13,.538,4,21,14,8,2,15,23,,27,59,.458,8,18,.444,10,19,.526,17,41,14,7,5,14,17
3,3,2015-11-15,N,Cal State Northridge,W,76,72,27,57,.474,7,21,.333,15,20,.750,3,26,18,5,3,7,24,,23,53,.434,7,18,.389,19,26,.731,5,33,17,1,2,13,20
4,4,2015-11-20,@,Kansas State,L,72,93,28,65,.431,7,27,.259,9,14,.643,10,32,20,3,4,14,29,,26,59,.441,5,16,.313,36,45,.800,14,40,17,4,5,9,21
5,5,2015-11-24,,South Dakota School of Mines,W,83,63,31,61,.508,7,18,.389,14,23,.609,9,42,19,7,4,14,23,,19,61,.311,6,25,.240,19,27,.704,7,31,10,4,1,15,22
6,6,2015-11-28,@,Sacramento State,W,96,90,35,65,.538,12,19,.632,14,22,.636,13,33,24,7,5,7,12,,36,68,.529,11,28,.393,7,9,.778,11,32,24,4,6,10,18
7,7,2015-11-29,N,Eastern Washington,W,77,71,28,48,.583,3,7,.429,18,21,.857,5,29,13,5,3,10,18,,26,59,.441,12,31,.387,7,11,.636,6,20,15,5,4,8,18
8,8,2015-12-05,@,Minnesota,W (2 OT),85,81,33,71,.465,6,19,.316,13,19,.684,7,38,22,6,3,13,28,,24,68,.353,6,24,.250,27,35,.771,14,46,14,7,7,16,21
9,9,2015-12-08,,UMKC,W,79,70,30,58,.517,5,15,.333,14,23,.609,9,32,16,8,5,16,16,,28,65,.431,6,26,.231,8,13,.615,13,36,14,5,3,18,20
10,10,2015-12-12,,Cal State Bakersfield,L,67,77,24,50,.480,7,14,.500,12,19,.632,2,17,16,6,2,16,26,,26,49,.531,2,10,.200,23,30,.767,10,36,11,5,5,18,21
11,11,2015-12-17,@,Milwaukee,W (2 OT),92,91,38,80,.475,5,18,.278,11,18,.611,9,43,14,5,4,8,23,,28,72,.389,14,43,.326,21,25,.840,7,43,18,2,4,11,18
12,12,2015-12-19,@,Illinois,L,79,91,31,65,.477,11,27,.407,6,13,.462,4,30,19,6,0,10,20,,30,62,.484,14,30,.467,17,20,.850,6,33,23,4,4,8,16
