Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Troy,L,77,82,26,71,.366,10,31,.323,15,17,.882,12,42,14,5,10,17,23,,32,78,.410,4,20,.200,14,27,.519,13,41,14,13,3,9,15
2,2,2015-11-16,,NJIT,L,57,60,18,46,.391,6,22,.273,15,24,.625,9,37,13,4,9,21,20,,19,60,.317,8,25,.320,14,19,.737,10,28,12,11,1,14,22
3,3,2015-11-19,,George Washington,L,67,73,23,65,.354,6,22,.273,15,25,.600,20,46,9,5,3,16,29,,23,55,.418,6,20,.300,21,30,.700,8,31,11,8,2,10,18
4,4,2015-11-21,,Boston University,L,66,78,23,53,.434,0,10,.000,20,30,.667,12,40,8,3,3,12,17,,28,59,.475,10,22,.455,12,16,.750,4,26,17,8,1,6,21
5,5,2015-11-24,,Albany (NY),W,63,61,26,59,.441,1,11,.091,10,17,.588,12,36,8,3,4,11,20,,19,52,.365,3,20,.150,20,30,.667,13,35,13,3,2,10,19
6,6,2015-11-27,N,Kentucky,L,63,84,26,56,.464,2,10,.200,9,15,.600,9,25,5,2,4,14,17,,31,62,.500,6,13,.462,16,19,.842,8,28,16,9,5,8,17
7,7,2015-11-29,,Savannah State,W,67,57,25,52,.481,3,7,.429,14,20,.700,5,30,14,7,8,9,10,,22,62,.355,7,23,.304,6,8,.750,9,34,7,6,5,11,18
8,8,2015-12-03,@,Delaware,L,58,67,23,62,.371,5,23,.217,7,13,.538,8,33,6,11,11,11,27,,17,55,.309,4,17,.235,29,37,.784,14,46,8,7,1,11,12
9,9,2015-12-05,@,South Carolina,L,63,81,24,68,.353,2,15,.133,13,22,.591,20,45,9,8,6,18,20,,29,61,.475,7,21,.333,16,25,.640,6,30,14,12,6,12,15
10,10,2015-12-13,,North Carolina State,L,46,65,18,61,.295,2,12,.167,8,11,.727,14,37,6,5,6,13,19,,25,68,.368,3,21,.143,12,21,.571,19,47,13,6,6,9,14
11,11,2015-12-16,,Jacksonville,W,88,75,31,49,.633,9,16,.563,17,26,.654,6,43,17,3,4,21,17,,27,66,.409,10,26,.385,11,17,.647,5,16,15,10,0,9,20
12,12,2015-12-19,,Alabama-Birmingham,L,68,79,28,57,.491,6,17,.353,6,7,.857,11,33,11,3,7,19,17,,29,56,.518,9,21,.429,12,23,.522,9,24,21,8,4,8,13
13,13,2015-12-22,@,Seton Hall,L,49,66,18,53,.340,2,10,.200,11,21,.524,13,35,9,4,5,14,16,,26,62,.419,7,23,.304,7,14,.500,14,37,21,6,3,8,20
14,14,2015-12-30,,Houston,L,67,73,22,51,.431,6,15,.400,17,22,.773,13,42,13,2,7,20,24,,22,52,.423,6,14,.429,23,35,.657,4,19,16,13,2,6,21
15,15,2016-01-02,@,SMU,L,58,72,23,54,.426,4,14,.286,8,11,.727,7,27,10,6,5,10,21,,23,56,.411,6,23,.261,20,26,.769,15,33,17,6,3,8,12
