,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,@,Saint Louis,L,64,87,21,56,.375,5,21,.238,17,23,.739,9,31,9,12,5,19,17,,33,64,.516,3,19,.158,18,23,.783,9,34,19,10,2,14,19
2,2,2013-11-11,,Central Baptist,W,118,55,45,81,.556,17,35,.486,11,15,.733,10,36,27,15,5,9,19,,18,52,.346,4,12,.333,15,19,.789,8,31,6,5,3,25,14
3,3,2013-11-16,@,IUPUI,W,76,68,30,63,.476,8,22,.364,8,11,.727,7,30,20,12,6,14,16,,26,54,.481,5,15,.333,11,16,.688,2,26,16,7,4,18,15
4,4,2013-11-18,@,Ball State,L,83,87,27,62,.435,5,18,.278,24,32,.750,7,30,20,7,3,11,24,,27,61,.443,9,23,.391,24,34,.706,12,42,17,4,2,13,23
5,5,2013-11-22,,Mid-Continent,W,109,64,42,80,.525,6,24,.250,19,31,.613,21,51,26,8,5,9,18,,24,62,.387,4,15,.267,12,21,.571,7,30,12,7,2,20,26
6,6,2013-11-29,N,Northern Kentucky,W,79,65,28,49,.571,9,21,.429,14,20,.700,6,31,8,4,3,14,17,,21,51,.412,8,23,.348,15,19,.789,7,25,5,6,0,12,21
7,7,2013-11-30,N,Tulane,W,102,72,35,59,.593,16,32,.500,16,20,.800,11,34,23,5,0,10,22,,20,49,.408,6,17,.353,26,34,.765,6,20,6,8,0,7,17
8,8,2013-12-01,N,Texas State,W,82,74,29,47,.617,8,13,.615,16,24,.667,6,31,14,4,5,10,12,,31,63,.492,7,18,.389,5,12,.417,11,27,22,5,1,6,18
9,9,2013-12-07,@,Southeastern Louisiana,W,74,73,27,57,.474,3,11,.273,17,24,.708,12,37,9,3,6,10,12,,29,66,.439,8,24,.333,7,11,.636,10,29,13,0,3,7,19
10,10,2013-12-14,,UIC,L,69,75,24,60,.400,5,21,.238,16,19,.842,7,30,15,4,4,10,16,,29,65,.446,4,17,.235,13,16,.813,9,35,12,5,2,9,18
11,11,2013-12-21,@,Memphis,L,65,77,27,60,.450,5,15,.333,6,10,.600,15,38,15,5,2,18,17,,31,62,.500,2,17,.118,13,19,.684,10,27,17,13,5,8,11
12,12,2013-12-23,,IUPUI,W,83,79,28,75,.373,7,27,.259,20,28,.714,15,42,12,6,4,7,24,,26,64,.406,2,9,.222,25,26,.962,8,40,6,3,1,12,25
13,13,2013-12-29,@,Missouri State,L,78,81,25,59,.424,10,21,.476,18,26,.692,13,33,13,10,4,14,24,,27,59,.458,8,20,.400,19,28,.679,14,38,13,6,4,16,22
14,14,2014-01-02,@,Murray State,L,75,82,27,62,.435,7,17,.412,14,20,.700,6,29,13,9,4,13,22,,25,57,.439,9,26,.346,23,35,.657,10,36,14,8,5,13,17
15,15,2014-01-04,@,Austin Peay,L,74,80,29,58,.500,7,22,.318,9,15,.600,11,35,12,4,3,18,24,,27,52,.519,5,14,.357,21,31,.677,6,28,13,7,5,9,15
16,16,2014-01-09,,Belmont,L,94,107,34,59,.576,10,23,.435,16,20,.800,8,27,17,3,2,12,19,,38,60,.633,17,26,.654,14,19,.737,4,21,21,4,1,6,19
17,17,2014-01-11,,Tennessee State,W,102,94,32,49,.653,9,16,.563,29,43,.674,7,35,21,10,5,17,25,,30,62,.484,9,20,.450,25,34,.735,9,26,12,9,1,13,26
18,18,2014-01-16,@,Morehead State,L,67,80,25,56,.446,6,18,.333,11,21,.524,4,28,18,5,3,13,19,,23,55,.418,8,24,.333,26,29,.897,7,36,19,8,1,12,19
19,19,2014-01-18,@,Tennessee Tech,W,83,74,28,57,.491,6,14,.429,21,24,.875,11,43,14,8,4,21,23,,21,67,.313,7,30,.233,25,31,.806,12,30,13,12,5,10,21
20,20,2014-01-23,,Southern Illinois-Edwardsville,W,82,78,29,61,.475,6,17,.353,18,28,.643,16,40,18,10,4,13,20,,23,56,.411,11,28,.393,21,26,.808,11,29,14,7,2,13,22
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2014-01-25,,Eastern Illinois,L,74,77,26,61,.426,4,21,.190,18,29,.621,10,33,13,8,4,11,22,,28,56,.500,7,13,.538,14,24,.583,5,35,13,2,1,13,22
22,22,2014-01-29,,UMKC,W,91,81,36,62,.581,4,16,.250,15,21,.714,10,34,20,8,7,11,21,,24,63,.381,11,28,.393,22,29,.759,11,30,12,7,2,11,20
23,23,2014-02-01,@,Eastern Kentucky,L,78,79,28,50,.560,4,9,.444,18,25,.720,5,24,15,6,7,16,26,,21,48,.438,8,17,.471,29,36,.806,4,21,14,9,0,14,22
24,24,2014-02-06,@,Southern Illinois-Edwardsville,L (1 OT),88,93,36,65,.554,7,24,.292,9,14,.643,7,33,19,5,3,12,19,,32,65,.492,13,25,.520,16,21,.762,8,28,20,5,2,9,16
25,25,2014-02-08,@,Eastern Illinois,W,74,68,24,54,.444,5,14,.357,21,27,.778,13,32,11,7,7,13,17,,22,54,.407,7,20,.350,17,24,.708,9,26,12,7,1,13,20
26,26,2014-02-12,,UT-Martin,L,70,79,27,62,.435,5,22,.227,11,19,.579,7,33,15,8,5,14,21,,26,62,.419,8,19,.421,19,24,.792,11,39,8,9,4,11,13
27,27,2014-02-20,,Jacksonville State,W,87,70,35,62,.565,2,8,.250,15,22,.682,12,37,18,3,2,10,20,,22,59,.373,9,30,.300,17,26,.654,11,28,10,4,2,9,22
28,28,2014-02-22,@,UT-Martin,W,77,74,25,52,.481,3,16,.188,24,35,.686,11,38,15,9,3,12,20,,27,55,.491,9,23,.391,11,16,.688,3,21,12,7,1,9,22
29,29,2014-02-27,,Austin Peay,W,83,80,33,55,.600,3,12,.250,14,23,.609,7,32,22,10,6,16,18,,27,61,.443,7,15,.467,19,26,.731,9,32,16,9,2,18,18
30,30,2014-03-01,,Murray State,W (2 OT),118,115,44,78,.564,8,21,.381,22,29,.759,12,44,23,7,2,12,24,,35,73,.479,14,30,.467,31,39,.795,10,33,16,7,1,10,22
31,31,2014-03-05,N,Eastern Illinois,W,79,61,31,62,.500,8,14,.571,9,18,.500,12,37,22,5,6,13,20,,22,59,.373,5,17,.294,12,19,.632,11,28,15,7,6,11,21
32,32,2014-03-06,N,Eastern Kentucky,L,76,84,24,51,.471,10,22,.455,18,27,.667,10,28,16,8,7,13,23,,24,46,.522,10,20,.500,26,34,.765,6,26,11,9,2,11,21
