Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Dayton,L,53,84,20,64,.313,5,25,.200,8,23,.348,14,32,11,6,2,14,28,,27,52,.519,8,22,.364,22,37,.595,12,49,23,7,8,16,26
2,2,2015-11-15,@,Evansville,L,65,80,25,59,.424,5,14,.357,10,22,.455,3,23,14,7,2,9,27,,24,54,.444,4,15,.267,28,34,.824,8,42,17,2,9,14,23
3,3,2015-11-19,@,Alabama A&M,L,56,74,22,56,.393,2,12,.167,10,21,.476,14,40,11,9,2,19,19,,27,58,.466,8,27,.296,12,20,.600,6,28,20,6,2,12,19
4,4,2015-11-24,@,Texas-Rio Grande Valley,L,74,83,28,69,.406,7,22,.318,11,18,.611,13,35,16,10,0,12,16,,32,57,.561,7,21,.333,12,17,.706,6,30,28,3,7,13,15
5,5,2015-11-28,,Loyola Marymount,L,60,73,20,56,.357,4,19,.211,16,25,.640,12,39,13,8,3,18,16,,23,63,.365,10,31,.323,17,19,.895,11,36,14,13,5,13,21
6,6,2015-12-02,@,Southern Illinois,L,50,74,19,55,.345,3,15,.200,9,15,.600,5,27,10,10,1,21,17,,30,67,.448,5,27,.185,9,11,.818,10,41,17,7,1,16,17
7,7,2015-12-05,@,Memphis,L,65,80,24,60,.400,3,12,.250,14,21,.667,13,33,10,7,0,13,21,,31,64,.484,3,16,.188,15,22,.682,7,33,22,5,5,11,18
8,8,2015-12-08,,Bowling Green State,L,52,79,22,69,.319,3,17,.176,5,10,.500,16,34,6,5,0,10,11,,32,58,.552,10,18,.556,5,9,.556,9,36,23,5,5,10,13
9,9,2015-12-12,,Ole Miss,L,64,75,21,51,.412,5,15,.333,17,29,.586,4,34,14,7,2,16,17,,26,75,.347,7,29,.241,16,21,.762,18,51,10,7,2,10,19
10,10,2015-12-19,@,Northern Kentucky,L,69,79,28,58,.483,4,10,.400,9,16,.563,5,28,7,5,1,14,17,,28,57,.491,8,24,.333,15,20,.750,6,33,20,4,2,14,14
11,11,2015-12-22,@,Missouri State,W,78,74,29,60,.483,6,16,.375,14,29,.483,9,32,13,11,2,11,16,,26,63,.413,6,28,.214,16,23,.696,14,40,15,7,6,16,23
12,12,2015-12-27,,Harris-Stowe,W,94,84,35,67,.522,8,24,.333,16,21,.762,8,26,19,16,2,10,12,,35,62,.565,6,13,.462,8,12,.667,9,30,20,7,4,22,18
13,13,2015-12-31,,Belmont,L,82,92,27,64,.422,10,19,.526,18,24,.750,13,38,13,7,1,13,23,,27,59,.458,17,39,.436,21,26,.808,9,38,23,6,5,14,17
14,14,2016-01-02,,Tennessee State,L,66,72,24,59,.407,3,14,.214,15,25,.600,10,33,13,4,0,13,16,,25,55,.455,5,18,.278,17,23,.739,10,36,12,7,3,15,19
