,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Texas Christian,L,77,90,27,65,.415,10,28,.357,13,20,.650,7,23,16,11,3,17,37,,24,49,.490,6,12,.500,36,47,.766,9,38,11,6,10,19,21
2,2,2015-11-16,@,Texas A&M,L,58,100,18,51,.353,4,17,.235,18,31,.581,6,23,10,9,0,22,28,,33,61,.541,14,25,.560,20,33,.606,17,45,27,12,5,20,25
3,3,2015-11-18,,Mississippi College,W,76,69,26,49,.531,6,18,.333,18,26,.692,5,31,14,13,3,17,26,,23,52,.442,9,21,.429,14,26,.538,7,28,14,3,3,22,22
4,4,2015-11-22,@,Nebraska,L,65,92,24,59,.407,0,14,.000,17,25,.680,5,28,8,7,6,16,25,,32,69,.464,6,13,.462,22,32,.688,17,50,14,4,3,14,22
5,5,2015-11-24,@,Cincinnati,L,49,64,19,51,.373,7,18,.389,4,5,.800,10,27,6,5,4,15,18,,22,54,.407,8,23,.348,12,17,.706,14,36,16,8,3,11,14
6,6,2015-11-27,N,Gardner-Webb,L,68,77,28,62,.452,4,16,.250,8,13,.615,12,32,11,6,5,11,17,,25,52,.481,11,21,.524,16,22,.727,8,28,17,8,5,13,14
7,7,2015-11-28,N,Arkansas-Pine Bluff,L,60,62,20,42,.476,5,14,.357,15,25,.600,9,30,13,7,0,23,13,,27,53,.509,4,16,.250,4,10,.400,5,20,12,16,3,16,22
8,8,2015-12-01,,Loyola (LA),W,101,65,36,63,.571,14,25,.560,15,30,.500,13,47,27,7,3,16,27,,20,54,.370,6,22,.273,19,30,.633,5,24,12,5,1,19,26
9,9,2015-12-04,,Southern,L,69,73,20,48,.417,6,26,.231,23,35,.657,10,37,13,5,0,18,21,,26,53,.491,10,17,.588,11,24,.458,6,22,10,7,3,11,26
10,10,2015-12-13,@,Florida State,L,58,75,22,53,.415,8,20,.400,6,11,.545,6,28,9,4,3,16,21,,23,55,.418,5,19,.263,24,31,.774,13,37,17,5,3,9,13
11,11,2015-12-15,@,Florida A&M,L,64,67,21,57,.368,6,21,.286,16,27,.593,10,31,6,10,0,16,24,,21,49,.429,8,15,.533,17,31,.548,6,32,8,8,2,15,22
12,12,2015-12-21,@,Georgia Tech,L,62,75,25,55,.455,4,16,.250,8,13,.615,3,25,12,2,3,10,16,,27,62,.435,9,22,.409,12,20,.600,15,42,19,4,2,6,12
13,13,2015-12-30,@,Jackson State,L,66,89,23,44,.523,8,17,.471,12,25,.480,4,26,12,4,3,14,19,,31,64,.484,10,24,.417,17,22,.773,12,34,20,9,3,7,19
