Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,@,Arkansas,L,65,99,25,64,.391,9,25,.360,6,9,.667,11,27,10,6,1,21,24,,33,64,.516,8,16,.500,25,35,.714,15,37,14,8,8,13,14
2,2,2013-11-13,,Saint Louis,L,58,82,22,55,.400,3,14,.214,11,21,.524,6,25,8,5,5,14,22,,29,53,.547,5,12,.417,19,26,.731,4,35,17,5,3,12,17
3,3,2013-11-16,,Central Arkansas,W,100,93,33,59,.559,4,13,.308,30,37,.811,5,26,24,8,3,17,25,,31,66,.470,11,26,.423,20,28,.714,11,31,15,8,3,19,30
4,4,2013-11-22,N,UC-Davis,L,75,80,28,57,.491,9,25,.360,10,13,.769,8,31,16,5,4,16,18,,30,53,.566,9,14,.643,11,20,.550,3,22,14,6,2,9,16
5,5,2013-11-23,@,Portland State,L,74,77,28,53,.528,6,19,.316,12,13,.923,6,25,19,3,3,13,23,,26,54,.481,7,17,.412,18,22,.818,10,26,16,5,1,8,17
6,6,2013-11-24,N,Loyola (IL),L,72,73,27,53,.509,8,19,.421,10,14,.714,7,21,16,6,4,9,18,,28,49,.571,6,14,.429,11,18,.611,10,26,22,5,1,13,16
7,7,2013-11-26,@,Oregon State,L,81,101,31,72,.431,9,27,.333,10,14,.714,14,28,23,4,3,11,24,,32,50,.640,4,8,.500,33,38,.868,4,29,23,8,5,12,15
8,8,2013-12-02,,Texas-Rio Grande Valley,W,55,49,16,49,.327,6,22,.273,17,28,.607,11,36,11,5,6,15,19,,19,54,.352,3,9,.333,8,15,.533,9,36,8,10,3,15,23
9,9,2013-12-07,,Central Michigan,L,64,65,24,53,.453,7,23,.304,9,14,.643,10,29,13,6,3,15,16,,26,61,.426,7,30,.233,6,10,.600,14,34,9,8,1,16,17
10,10,2013-12-14,@,IPFW,L,75,95,27,61,.443,9,23,.391,12,14,.857,4,22,11,8,1,14,22,,31,54,.574,12,25,.480,21,31,.677,7,35,15,7,1,15,14
