Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Air Force,W,77,75,28,67,.418,6,24,.250,15,28,.536,14,33,14,8,1,5,26,,22,51,.431,4,20,.200,27,33,.818,8,32,10,2,1,12,21
2,2,2015-11-15,,Florida A&M,W,81,51,29,61,.475,7,20,.350,16,26,.615,13,42,18,13,3,18,22,,16,53,.302,5,20,.250,14,19,.737,5,28,6,8,1,24,24
3,3,2015-11-18,,Kent State,W,72,69,22,45,.489,5,15,.333,23,30,.767,5,29,11,3,0,13,29,,23,59,.390,7,24,.292,16,36,.444,18,39,10,4,3,14,25
4,4,2015-11-21,@,Sam Houston State,W (1 OT),86,81,25,54,.463,9,18,.500,27,33,.818,4,26,15,11,1,17,28,,27,52,.519,8,19,.421,19,31,.613,4,28,23,4,1,21,28
5,5,2015-11-24,,Oakland,W,97,88,34,63,.540,12,25,.480,17,28,.607,12,32,20,6,0,11,22,,29,58,.500,9,24,.375,21,27,.778,8,29,12,5,3,12,24
6,6,2015-11-27,N,UTEP,L,66,71,26,64,.406,5,22,.227,9,9,1.000,6,32,8,3,4,12,28,,22,51,.431,3,12,.250,24,38,.632,8,35,12,4,2,13,19
7,7,2015-11-28,N,Portland,W,80,79,29,58,.500,6,17,.353,16,22,.727,7,26,10,3,2,11,23,,27,52,.519,10,19,.526,15,25,.600,8,31,17,7,1,17,23
8,8,2015-12-02,,Southeast Missouri State,W,74,50,30,67,.448,5,27,.185,9,11,.818,10,41,17,7,1,16,17,,19,55,.345,3,15,.200,9,15,.600,5,27,10,10,1,21,17
9,9,2015-12-05,@,North Texas,W,95,63,36,53,.679,10,15,.667,13,19,.684,6,26,13,10,0,11,19,,24,52,.462,2,18,.111,13,22,.591,6,19,6,6,1,16,19
10,10,2015-12-09,,Southern Illinois-Edwardsville,L,74,76,25,51,.490,3,15,.200,21,36,.583,11,30,6,12,1,17,22,,25,46,.543,10,16,.625,16,26,.615,5,24,9,9,5,20,29
11,11,2015-12-12,,North Texas,W,74,66,23,51,.451,9,18,.500,19,31,.613,10,28,9,8,6,13,18,,27,59,.458,5,20,.250,7,19,.368,13,34,10,9,4,19,26
12,12,2015-12-18,@,Murray State,W,88,73,28,52,.538,7,19,.368,25,33,.758,8,36,11,7,1,15,27,,24,54,.444,4,20,.200,21,34,.618,7,26,11,6,0,12,28
13,13,2015-12-21,@,Saint Louis,W,65,52,24,69,.348,8,22,.364,9,13,.692,13,40,13,3,3,4,17,,17,47,.362,3,18,.167,15,22,.682,5,36,7,3,7,11,17
14,14,2015-12-30,@,Loyola (IL),W,72,62,25,50,.500,7,14,.500,15,22,.682,9,36,11,2,6,16,22,,21,54,.389,5,16,.313,15,17,.882,4,21,10,6,1,9,25
15,15,2016-01-02,,Northern Iowa,W,75,73,28,52,.538,13,22,.591,6,15,.400,5,31,10,6,3,10,20,,27,56,.482,8,24,.333,11,18,.611,6,30,10,5,3,6,15
16,16,2016-01-06,@,Bradley,W,65,44,25,52,.481,4,12,.333,11,16,.688,1,27,12,14,3,18,24,,14,43,.326,2,13,.154,14,22,.636,5,31,6,10,2,28,22
17,17,2016-01-09,,Wichita State,L,58,83,17,46,.370,1,11,.091,23,32,.719,9,23,2,9,1,16,20,,27,58,.466,12,24,.500,17,21,.810,11,35,14,11,1,14,24
18,18,2016-01-12,,Illinois State,W,81,78,26,59,.441,12,26,.462,17,22,.773,9,30,14,7,0,11,15,,27,58,.466,13,28,.464,11,15,.733,8,25,16,8,6,11,17
19,19,2016-01-17,@,Drake,W,81,76,30,58,.517,5,18,.278,16,20,.800,9,29,14,7,2,7,16,,28,53,.528,9,22,.409,11,16,.688,6,26,17,4,0,12,20
20,20,2016-01-20,,Indiana State,W,79,66,25,53,.472,4,14,.286,25,34,.735,6,28,13,10,0,9,27,,17,46,.370,2,18,.111,30,42,.714,11,37,5,1,1,19,29
21,21,2016-01-24,@,Missouri State,W,80,65,28,59,.475,7,18,.389,17,24,.708,12,35,16,9,3,13,22,,27,61,.443,5,19,.263,6,14,.429,11,31,14,6,3,15,20
22,22,2016-01-28,,Evansville,L (1 OT),78,85,30,67,.448,8,22,.364,10,14,.714,10,33,9,5,2,13,17,,31,56,.554,8,11,.727,15,19,.789,2,22,17,5,6,12,16
23,23,2016-01-31,@,Northern Iowa,L,58,67,24,62,.387,4,18,.222,6,13,.462,10,36,11,4,3,9,24,,22,52,.423,3,19,.158,20,30,.667,5,35,6,3,6,7,16
24,24,2016-02-03,@,Wichita State,L,55,76,19,62,.306,6,23,.261,11,19,.579,18,39,7,6,3,21,22,,25,52,.481,9,20,.450,17,24,.708,4,27,18,9,7,13,19
