Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Sam Houston State,W,85,50,31,49,.633,7,14,.500,16,24,.667,8,38,22,9,9,14,16,,17,61,.279,6,27,.222,10,19,.526,11,25,9,9,2,11,22
2,2,2015-11-19,@,Stanford,W,85,70,34,61,.557,6,14,.429,11,15,.733,9,27,19,6,1,7,20,,22,48,.458,5,15,.333,21,28,.750,9,23,14,6,4,12,14
3,3,2015-11-22,,Yale,W,71,69,28,56,.500,1,9,.111,14,22,.636,12,31,15,10,3,12,19,,23,52,.442,9,20,.450,14,24,.583,11,29,14,9,6,16,21
4,4,2015-11-29,,Brown,W,77,69,29,62,.468,6,15,.400,13,19,.684,14,38,26,6,3,9,8,,25,57,.439,15,32,.469,4,4,1.000,6,27,19,6,6,10,21
5,5,2015-12-02,@,Texas Christian,W,75,70,28,64,.438,7,16,.438,12,21,.571,15,43,12,7,4,10,18,,26,59,.441,9,27,.333,9,13,.692,6,28,16,5,8,11,23
6,6,2015-12-05,,New Hampshire,W,98,44,33,57,.579,14,25,.560,18,24,.750,14,48,23,6,8,10,16,,16,60,.267,4,24,.167,8,11,.727,10,22,9,5,0,11,21
7,7,2015-12-08,,Michigan,W,82,58,31,54,.574,8,15,.533,12,16,.750,13,42,21,3,5,17,10,,21,60,.350,10,36,.278,6,12,.500,8,20,12,10,2,8,13
8,8,2015-12-16,,Nicholls State,W,86,42,33,65,.508,7,19,.368,13,21,.619,20,59,24,5,6,16,11,,16,63,.254,3,22,.136,7,12,.583,8,21,7,9,2,11,15
9,9,2015-12-17,,Hampton,W,105,72,39,70,.557,10,24,.417,17,19,.895,18,47,26,4,4,8,12,,28,64,.438,12,31,.387,4,13,.308,8,21,17,8,2,9,18
10,10,2015-12-22,N,Kent State,W,90,74,29,58,.500,7,14,.500,25,31,.806,10,39,17,9,3,14,24,,24,53,.453,9,19,.474,17,28,.607,8,27,16,6,2,17,26
11,11,2015-12-23,N,Colorado,W,70,66,29,60,.483,0,5,.000,12,14,.857,8,33,10,2,1,10,11,,23,58,.397,12,27,.444,8,17,.471,9,32,13,4,1,16,17
12,12,2015-12-29,@,Tulsa,W,81,69,31,55,.564,10,15,.667,9,13,.692,10,29,15,4,5,11,19,,26,59,.441,6,20,.300,11,22,.500,14,27,13,6,1,7,14
13,13,2016-01-02,,South Florida,W,72,58,23,56,.411,6,23,.261,20,26,.769,15,33,17,6,3,8,12,,23,54,.426,4,14,.286,8,11,.727,7,27,10,6,5,10,21
14,14,2016-01-07,,Cincinnati,W,59,57,22,43,.512,5,15,.333,10,19,.526,9,29,15,2,11,16,9,,23,61,.377,8,23,.348,3,4,.750,10,27,11,12,4,10,20
15,15,2016-01-10,,UCF,W,88,73,34,62,.548,9,16,.563,11,14,.786,10,35,19,8,3,12,16,,26,55,.473,7,18,.389,14,24,.583,8,25,12,7,3,11,12
16,16,2016-01-13,@,East Carolina,W,79,55,31,59,.525,11,22,.500,6,10,.600,12,39,23,8,5,13,11,,22,54,.407,7,23,.304,4,6,.667,5,21,15,8,3,11,13
17,17,2016-01-17,@,Tulane,W,60,45,21,52,.404,1,10,.100,17,21,.810,11,34,8,11,5,15,14,,14,48,.292,5,20,.250,12,18,.667,10,31,7,9,4,20,19
18,18,2016-01-19,,Houston,W,77,73,25,51,.490,3,13,.231,24,32,.750,16,30,14,6,6,9,17,,29,62,.468,7,20,.350,8,16,.500,23,36,9,4,3,10,21
19,19,2016-01-24,@,Temple,L,80,89,31,66,.470,3,14,.214,15,23,.652,14,37,14,6,2,14,21,,27,58,.466,14,29,.483,21,30,.700,5,27,13,10,3,11,18
20,20,2016-01-30,,Memphis,W,80,68,23,57,.404,6,13,.462,28,37,.757,11,48,15,3,10,11,22,,22,67,.328,5,20,.250,19,27,.704,11,34,13,8,5,6,24
21,21,2016-02-01,@,Houston,L,68,71,21,52,.404,6,15,.400,20,23,.870,7,23,10,3,4,12,21,,26,56,.464,7,16,.438,12,21,.571,11,35,11,6,6,14,19
22,22,2016-02-07,@,South Florida,W,92,58,35,58,.603,14,24,.583,8,11,.727,7,32,27,8,3,8,20,,21,48,.438,4,14,.286,12,22,.545,8,22,10,6,7,12,12
23,23,2016-02-10,,Tulsa,L,77,82,28,63,.444,11,23,.478,10,18,.556,17,33,20,5,5,13,16,,31,53,.585,6,15,.400,14,17,.824,6,24,19,8,3,11,17
24,24,2016-02-13,,Gonzaga,W,69,60,26,56,.464,4,10,.400,13,18,.722,8,32,17,6,5,9,13,,23,61,.377,10,32,.313,4,7,.571,14,35,16,5,3,11,15
25,25,2016-02-18,@,UConn,L,62,68,25,58,.431,7,13,.538,5,10,.500,10,31,15,2,5,10,16,,25,57,.439,5,19,.263,13,15,.867,10,31,10,4,6,7,13
26,26,2016-02-21,,East Carolina,W,74,63,30,56,.536,8,19,.421,6,11,.545,14,40,17,5,0,15,13,,23,48,.479,12,24,.500,5,13,.385,3,17,19,8,1,12,15
27,27,2016-02-25,@,Memphis,W,69,62,27,55,.491,4,10,.400,11,22,.500,9,34,17,12,5,16,18,,21,54,.389,7,23,.304,13,22,.591,3,23,15,13,8,15,20
28,28,2016-02-28,,Tulane,W,74,53,27,54,.500,5,11,.455,15,23,.652,14,40,18,8,6,18,13,,19,52,.365,6,22,.273,9,10,.900,6,20,10,11,4,13,22
29,29,2016-03-03,,UConn,W,80,54,32,62,.516,6,14,.429,10,15,.667,9,34,22,10,5,7,15,,16,47,.340,9,25,.360,13,17,.765,7,27,10,3,7,16,17
