,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,@,Memphis,L,49,67,18,67,.269,9,31,.290,4,7,.571,18,44,13,5,1,17,18,,23,58,.397,3,18,.167,18,25,.720,7,35,17,14,7,7,12
2,2,2015-11-17,,Jackson State,L,60,78,20,49,.408,4,16,.250,16,25,.640,10,25,8,4,1,16,14,,30,57,.526,11,25,.440,7,10,.700,10,32,16,9,2,15,22
3,3,2015-11-23,,William Carey,L,78,84,25,61,.410,9,33,.273,19,23,.826,7,35,15,4,1,11,18,,28,63,.444,12,29,.414,16,23,.696,7,36,17,5,1,9,18
4,4,2015-11-28,@,Morehead State,L,46,61,12,35,.343,8,15,.533,14,19,.737,1,18,9,4,2,15,22,,21,56,.375,7,24,.292,12,19,.632,17,40,16,8,4,11,18
5,5,2015-12-01,@,Troy,L,59,69,21,58,.362,7,25,.280,10,13,.769,8,34,10,6,3,11,14,,23,59,.390,13,38,.342,10,18,.556,13,42,16,9,1,13,19
6,6,2015-12-04,,Alabama,L,55,58,21,58,.362,11,29,.379,2,4,.500,6,27,12,6,0,13,19,,17,40,.425,11,29,.379,13,18,.722,1,26,12,5,6,17,9
7,7,2015-12-06,,North Dakota State,W,74,62,24,47,.511,8,15,.533,18,23,.783,7,32,16,3,0,14,15,,21,56,.375,8,27,.296,12,16,.750,12,28,10,5,2,10,18
8,8,2015-12-14,@,South Alabama,W,57,54,18,53,.340,10,27,.370,11,13,.846,8,32,10,3,1,12,16,,18,54,.333,11,26,.423,7,9,.778,9,35,8,4,0,12,17
9,9,2015-12-19,,Georgia State,L,46,66,16,51,.314,5,26,.192,9,13,.692,11,33,7,4,0,14,20,,21,47,.447,3,14,.214,21,23,.913,4,28,14,11,2,9,16
10,10,2015-12-22,@,Tulane,L,40,59,15,48,.313,5,24,.208,5,10,.500,5,22,9,2,7,9,16,,21,59,.356,9,27,.333,8,14,.571,13,41,11,3,0,13,13
11,11,2015-12-29,,Southeastern Oklahoma State,W,66,52,23,49,.469,7,16,.438,13,17,.765,9,33,16,9,3,16,16,,19,48,.396,7,23,.304,7,13,.538,6,25,9,4,2,19,19
12,12,2016-01-02,@,Louisiana Tech,L,57,87,20,46,.435,3,14,.214,14,26,.538,11,29,10,3,1,19,25,,25,58,.431,10,28,.357,27,38,.711,14,33,19,15,7,8,20
13,13,2016-01-07,,Charlotte,L,76,82,28,56,.500,12,27,.444,8,11,.727,8,28,16,3,1,11,23,,28,52,.538,11,25,.440,15,30,.500,6,22,19,3,1,9,16
14,14,2016-01-09,,Old Dominion,W,73,71,22,45,.489,11,26,.423,18,21,.857,3,24,11,1,6,7,19,,25,58,.431,7,16,.438,14,18,.778,10,31,15,2,3,7,23
15,15,2016-01-14,@,Florida Atlantic,L,51,58,17,45,.378,2,15,.133,15,23,.652,4,27,2,5,0,10,21,,20,47,.426,4,17,.235,14,22,.636,5,31,8,4,2,9,19
16,16,2016-01-16,@,Florida International,W,66,60,22,49,.449,6,18,.333,16,22,.727,6,30,12,4,4,8,21,,18,49,.367,3,17,.176,21,28,.750,7,29,7,7,4,7,18
17,17,2016-01-23,,Louisiana Tech,L,59,70,21,55,.382,5,23,.217,12,18,.667,4,31,12,6,4,10,21,,20,53,.377,7,24,.292,23,31,.742,8,41,8,4,8,9,17
18,18,2016-01-28,,UTEP,W,71,58,18,54,.333,12,33,.364,23,29,.793,9,32,13,6,3,13,16,,20,50,.400,8,22,.364,10,15,.667,5,33,13,9,5,16,24
19,19,2016-01-30,,UTSA,W,86,70,22,42,.524,14,28,.500,28,33,.848,1,32,17,2,4,14,26,,22,60,.367,4,21,.190,22,32,.688,11,31,8,4,0,8,26
20,20,2016-02-04,@,North Texas,L,54,70,18,49,.367,7,24,.292,11,23,.478,7,28,10,8,0,16,22,,21,47,.447,8,17,.471,20,25,.800,6,33,13,10,6,14,20
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-06,@,Rice,L,65,72,24,53,.453,7,24,.292,10,18,.556,7,28,13,6,1,14,17,,22,50,.440,8,28,.286,20,22,.909,7,33,13,5,3,11,15
22,22,2016-02-11,,Alabama-Birmingham,L (2 OT),77,80,28,66,.424,16,38,.421,5,6,.833,6,27,19,12,3,12,15,,31,64,.484,10,27,.370,8,14,.571,13,40,20,9,6,15,14
23,23,2016-02-13,,Middle Tennessee,L,54,76,17,44,.386,11,22,.500,9,12,.750,3,19,10,3,1,13,16,,26,53,.491,16,27,.593,8,15,.533,9,33,17,10,1,10,18
24,24,2016-02-18,@,UTEP,L,73,78,28,59,.475,9,28,.321,8,9,.889,4,23,14,9,1,12,15,,28,54,.519,10,29,.345,12,18,.667,10,32,18,4,4,13,15
25,25,2016-02-20,@,UTSA,L,53,74,18,55,.327,10,29,.345,7,12,.583,4,20,13,7,5,6,10,,25,49,.510,14,22,.636,10,12,.833,4,34,17,2,2,16,13
26,26,2016-02-25,,Rice,L (1 OT),74,76,22,51,.431,13,33,.394,17,22,.773,4,28,15,10,1,12,22,,29,54,.537,6,20,.300,12,23,.522,6,31,11,5,3,15,18
27,27,2016-02-27,,North Texas,W,81,70,22,46,.478,11,27,.407,26,37,.703,7,31,15,12,4,10,23,,21,54,.389,9,24,.375,19,28,.679,11,32,8,6,1,15,28
28,28,2016-03-03,@,Western Kentucky,L,60,75,22,48,.458,10,25,.400,6,10,.600,4,19,9,5,2,7,13,,27,52,.519,11,24,.458,10,13,.769,10,31,17,4,0,10,13
29,29,2016-03-05,@,Marshall,L (1 OT),106,108,30,57,.526,15,30,.500,31,41,.756,6,37,17,4,3,20,30,,37,74,.500,8,31,.258,26,33,.788,5,29,18,9,4,6,27
