Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,,Arizona Christian,W,85,78,29,64,.453,5,15,.333,22,26,.846,12,33,12,12,3,13,23,,27,55,.491,5,17,.294,19,28,.679,9,32,14,5,2,19,22
2,2,2013-11-12,@,Utah State,L,57,90,16,53,.302,3,15,.200,22,26,.846,6,21,8,2,6,7,24,,28,48,.583,5,8,.625,29,38,.763,11,44,16,3,6,9,19
3,3,2013-11-18,@,University of California,L,47,75,17,58,.293,7,17,.412,6,12,.500,13,30,12,5,2,15,23,,23,54,.426,7,18,.389,22,28,.786,14,36,14,8,5,12,16
4,4,2013-11-23,,UC-Riverside,L,59,74,17,44,.386,3,13,.231,22,28,.786,5,27,8,3,4,17,21,,26,58,.448,3,8,.375,19,27,.704,13,34,9,8,4,11,19
5,5,2013-12-01,@,Portland,L,57,86,20,55,.364,7,17,.412,10,15,.667,4,23,13,6,7,14,21,,31,67,.463,6,14,.429,18,22,.818,14,46,23,9,4,10,13
6,6,2013-12-03,@,Cal State Northridge,L,57,84,20,55,.364,4,17,.235,13,21,.619,8,25,9,6,2,13,23,,30,60,.500,4,12,.333,20,25,.800,15,48,20,5,3,12,19
7,7,2013-12-14,,UNLV,L,51,73,18,57,.316,2,15,.133,13,18,.722,7,24,8,4,4,15,28,,22,49,.449,5,15,.333,24,37,.649,12,40,12,11,10,12,18
8,8,2013-12-18,@,San Diego State,L,39,76,12,42,.286,4,11,.364,11,18,.611,5,28,4,5,3,15,23,,29,58,.500,7,17,.412,11,28,.393,12,39,17,6,4,6,16
9,9,2013-12-21,@,San Diego,L,52,67,20,52,.385,9,19,.474,3,4,.750,9,20,12,5,4,17,22,,21,41,.512,3,7,.429,22,30,.733,10,29,10,11,1,13,15
10,10,2014-01-02,@,North Dakota,L,61,65,22,47,.468,4,12,.333,13,17,.765,5,30,9,5,3,17,25,,22,49,.449,2,12,.167,19,31,.613,9,30,8,11,2,9,17
11,11,2014-01-04,@,Northern Colorado,L,55,91,18,43,.419,6,13,.462,13,17,.765,3,18,10,2,0,14,23,,31,50,.620,7,15,.467,22,32,.688,10,32,15,9,2,8,16
12,12,2014-01-11,,Sacramento State,L,49,77,16,50,.320,1,12,.083,16,17,.941,11,21,8,3,1,12,13,,29,48,.604,9,16,.563,10,13,.769,6,28,18,4,2,9,19
13,13,2014-01-13,,Northern Arizona,L,36,70,12,50,.240,3,16,.188,9,12,.750,7,22,10,6,1,14,19,,27,46,.587,5,12,.417,11,15,.733,6,33,9,8,7,11,16
14,14,2014-01-16,@,Idaho State,L,45,60,16,45,.356,4,16,.250,9,16,.563,5,23,8,3,8,12,27,,18,50,.360,2,11,.182,22,34,.647,17,42,10,7,2,10,14
15,15,2014-01-18,@,Weber State,L,59,65,23,52,.442,6,12,.500,7,12,.583,3,20,13,3,2,5,27,,14,35,.400,6,14,.429,31,43,.721,7,35,9,2,2,13,18
16,16,2014-01-23,@,Eastern Washington,L,83,90,32,59,.542,8,17,.471,11,19,.579,5,29,14,8,2,13,33,,24,49,.490,4,15,.267,38,49,.776,9,33,9,6,3,14,16
17,17,2014-01-25,@,Portland State,L,64,67,22,47,.468,7,13,.538,13,20,.650,5,25,15,5,2,12,24,,20,49,.408,4,13,.308,23,28,.821,9,32,7,4,2,13,19
18,18,2014-01-30,,Montana,L,61,69,21,46,.457,2,8,.250,17,21,.810,7,29,12,5,3,14,24,,20,42,.476,7,16,.438,22,33,.667,5,20,10,7,4,9,19
19,19,2014-02-01,,Montana State,L,52,54,20,44,.455,2,12,.167,10,15,.667,7,28,14,3,6,20,19,,19,53,.358,3,11,.273,13,18,.722,8,25,6,9,1,13,15
20,20,2014-02-08,@,Northern Arizona,L,57,64,24,48,.500,3,12,.250,6,14,.429,4,22,13,5,3,13,21,,19,49,.388,4,10,.400,22,24,.917,10,34,6,6,1,13,19
21,21,2014-02-10,@,Sacramento State,L,56,68,22,51,.431,2,8,.250,10,18,.556,8,23,16,4,3,13,18,,26,53,.491,5,13,.385,11,17,.647,12,37,14,7,0,13,16
22,22,2014-02-13,,Weber State,L,55,75,18,47,.383,5,12,.417,14,22,.636,3,17,11,6,2,10,19,,26,43,.605,10,17,.588,13,19,.684,1,25,12,3,3,15,21
23,23,2014-02-15,,Idaho State,L,65,75,21,50,.420,9,29,.310,14,19,.737,7,32,12,2,5,13,30,,20,48,.417,8,18,.444,27,38,.711,7,29,7,7,2,6,17
24,24,2014-02-20,,Portland State,L,79,86,25,48,.521,2,8,.250,27,36,.750,10,34,11,2,3,13,21,,26,55,.473,7,20,.350,27,30,.900,3,23,4,9,1,6,26
25,25,2014-02-22,,Eastern Washington,L,74,85,23,51,.451,8,16,.500,20,33,.606,8,29,12,3,3,13,34,,24,48,.500,4,12,.333,33,46,.717,6,33,10,4,1,10,26
26,26,2014-02-27,@,Montana State,L (1 OT),72,77,27,57,.474,7,20,.350,11,23,.478,5,31,13,2,2,14,27,,21,51,.412,5,16,.313,30,41,.732,5,32,7,8,1,10,18
27,27,2014-03-01,@,Montana,L,54,82,18,54,.333,4,10,.400,14,21,.667,13,29,3,4,3,13,19,,30,54,.556,11,23,.478,11,18,.611,10,31,16,4,3,9,21
28,28,2014-03-06,,North Dakota,W,77,71,25,49,.510,1,4,.250,26,34,.765,5,34,15,5,1,14,29,,20,56,.357,2,19,.105,29,40,.725,10,31,5,8,6,12,27
29,29,2014-03-08,,Northern Colorado,L,52,77,17,44,.386,3,12,.250,15,22,.682,6,20,8,5,6,17,14,,29,52,.558,8,17,.471,11,12,.917,5,26,14,10,2,12,22
