,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Utah,L,71,82,28,56,.500,10,19,.526,5,7,.714,3,27,10,3,3,13,23,,30,64,.469,8,29,.276,14,25,.560,12,36,15,2,6,10,11
2,2,2015-11-18,@,UNLV,L,64,84,21,55,.382,8,21,.381,14,20,.700,8,28,11,3,2,16,23,,30,64,.469,5,20,.250,19,26,.731,16,41,18,10,8,8,21
3,3,2015-11-21,,UTSA,L,79,82,25,52,.481,7,21,.333,22,31,.710,8,32,14,6,4,6,26,,26,55,.473,10,25,.400,20,31,.645,9,32,11,3,2,8,26
4,4,2015-11-24,,Cal State Fullerton,L,66,80,23,66,.348,8,23,.348,12,17,.706,10,38,14,2,5,12,23,,23,56,.411,10,22,.455,24,36,.667,8,41,9,7,4,11,20
5,5,2015-11-28,@,Eastern Kentucky,L,85,98,29,54,.537,7,15,.467,20,28,.714,8,27,18,9,4,19,21,,35,60,.583,11,22,.500,17,23,.739,7,25,16,7,2,13,21
6,6,2015-12-03,,La Verne,W,105,85,34,57,.596,4,11,.364,33,44,.750,3,32,12,9,4,13,15,,31,75,.413,15,37,.405,8,12,.667,10,34,18,7,2,17,31
7,7,2015-12-05,@,Utah Valley,W,68,54,20,55,.364,5,17,.294,23,25,.920,7,33,14,8,0,14,10,,23,63,.365,5,20,.250,3,6,.500,9,36,8,5,8,18,24
8,8,2015-12-12,,Bristol University,W,79,41,32,61,.525,10,27,.370,5,9,.556,6,47,18,7,7,13,19,,14,65,.215,5,22,.227,8,14,.571,8,33,7,5,0,13,17
9,9,2015-12-16,@,Saint Mary's (CA),L,36,92,14,49,.286,3,18,.167,5,6,.833,6,17,7,3,3,17,13,,35,56,.625,14,26,.538,8,14,.571,9,37,28,13,3,8,12
10,10,2015-12-19,@,IUPUI,L,68,82,27,54,.500,6,18,.333,8,11,.727,2,22,11,5,1,10,17,,30,54,.556,6,11,.545,16,20,.800,7,30,15,4,2,9,17
11,11,2015-12-22,@,Butler,L,52,88,19,53,.358,4,13,.308,10,14,.714,7,21,9,6,1,14,13,,37,58,.638,8,18,.444,6,15,.400,7,33,21,8,3,10,18
12,12,2015-12-31,,Montana State,W,93,82,33,61,.541,12,26,.462,15,23,.652,8,30,21,5,4,8,19,,30,65,.462,9,26,.346,13,16,.813,11,34,13,3,1,10,21
13,13,2016-01-02,,Montana,L,66,83,18,44,.409,6,19,.316,24,29,.828,2,18,7,8,2,12,18,,31,58,.534,10,26,.385,11,14,.786,10,35,11,4,3,14,26
14,14,2016-01-09,,Northern Arizona,L,63,73,23,60,.383,6,23,.261,11,16,.688,6,27,11,6,5,13,16,,26,59,.441,6,16,.375,15,17,.882,12,42,11,5,4,16,18
15,15,2016-01-14,@,Eastern Washington,L,80,106,28,59,.475,3,15,.200,21,31,.677,6,29,14,3,2,12,25,,38,62,.613,11,18,.611,19,28,.679,5,33,15,6,2,9,28
16,16,2016-01-16,@,Idaho,W (1 OT),85,83,28,54,.519,8,16,.500,21,29,.724,8,28,9,8,3,13,29,,23,50,.460,4,13,.308,33,45,.733,10,32,9,2,5,17,30
17,17,2016-01-21,,Northern Colorado,L,80,90,28,63,.444,14,32,.438,10,20,.500,3,23,21,4,4,8,28,,27,52,.519,5,10,.500,31,41,.756,7,43,5,4,3,12,18
18,18,2016-01-23,,North Dakota,L,72,88,24,57,.421,8,24,.333,16,25,.640,6,22,11,10,5,18,23,,29,54,.537,3,10,.300,27,30,.900,6,35,10,8,2,18,21
19,19,2016-01-28,@,Idaho State,L,68,87,23,55,.418,6,16,.375,16,23,.696,9,27,10,4,1,14,18,,28,47,.596,10,18,.556,21,24,.875,3,28,19,6,3,15,18
20,20,2016-01-30,@,Weber State,L,50,77,19,61,.311,3,9,.333,9,15,.600,10,30,5,3,0,9,22,,25,54,.463,9,19,.474,18,26,.692,12,46,13,4,5,9,17
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-04,,Idaho,L,44,68,15,42,.357,6,20,.300,8,17,.471,5,21,10,4,0,10,19,,27,50,.540,4,12,.333,10,18,.556,10,35,13,5,4,10,21
22,22,2016-02-06,,Eastern Washington,L,67,81,24,56,.429,11,23,.478,8,13,.615,6,24,13,6,5,12,20,,26,50,.520,9,19,.474,20,24,.833,4,27,10,5,4,10,14
23,23,2016-02-11,@,Montana,L,53,86,19,51,.373,4,20,.200,11,15,.733,10,23,5,3,0,14,21,,29,47,.617,12,17,.706,16,20,.800,5,27,19,4,5,11,19
24,24,2016-02-13,@,Montana State,L,73,80,24,52,.462,8,18,.444,17,23,.739,8,28,11,8,3,14,20,,28,56,.500,10,24,.417,14,22,.636,12,33,15,9,0,14,18
25,25,2016-02-18,,Weber State,L,83,87,28,57,.491,8,20,.400,19,26,.731,7,25,12,6,0,12,35,,23,43,.535,7,13,.538,34,54,.630,9,25,10,5,3,11,22
26,26,2016-02-20,,Idaho State,L,71,89,26,66,.394,8,21,.381,11,16,.688,7,28,13,10,6,13,21,,31,55,.564,8,13,.615,19,29,.655,6,39,16,9,9,15,11
27,27,2016-02-27,@,Northern Arizona,W,69,59,23,53,.434,6,14,.429,17,22,.773,8,36,6,2,5,9,21,,19,59,.322,4,22,.182,17,22,.773,9,33,12,7,4,9,19
28,28,2016-03-03,@,Sacramento State,L (1 OT),63,69,25,65,.385,5,21,.238,8,9,.889,7,29,11,10,4,14,14,,26,58,.448,5,14,.357,12,14,.857,8,35,12,7,9,20,12
29,29,2016-03-05,@,Portland State,L,86,88,31,61,.508,9,21,.429,15,21,.714,5,31,13,3,1,10,22,,31,57,.544,4,8,.500,22,28,.786,3,29,13,7,6,6,21
