Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Arkansas,L,68,86,22,53,.415,4,12,.333,20,28,.714,4,22,9,8,5,17,22,,32,66,.485,8,15,.533,14,26,.538,13,38,21,10,6,14,24
2,2,2015-11-16,@,Mississippi State,W,76,72,29,62,.468,6,14,.429,12,20,.600,7,30,10,10,7,8,20,,23,60,.383,11,31,.355,15,23,.652,14,39,12,4,2,18,19
3,3,2015-11-19,,Tulane,W,90,82,30,61,.492,6,16,.375,24,30,.800,9,24,9,10,1,10,21,,26,50,.520,9,26,.346,21,31,.677,11,32,17,5,1,15,25
4,4,2015-11-24,,Dillard,W,79,65,26,61,.426,10,30,.333,17,24,.708,10,33,16,5,4,10,20,,22,65,.338,6,24,.250,15,22,.682,17,40,12,5,0,15,20
5,5,2015-11-30,,Paul Quinn,W,96,63,42,72,.583,5,12,.417,7,12,.583,16,41,16,12,2,10,11,,26,61,.426,7,25,.280,4,7,.571,4,20,12,6,0,18,11
6,6,2015-12-04,@,Southeastern Louisiana,W,73,69,26,53,.491,10,17,.588,11,24,.458,6,22,10,7,3,11,26,,20,48,.417,6,26,.231,23,35,.657,10,37,13,5,0,18,21
7,7,2015-12-08,@,Grand Canyon,L,56,70,22,59,.373,7,24,.292,5,9,.556,9,23,7,4,3,13,16,,26,52,.500,5,16,.313,13,19,.684,12,38,17,9,2,16,16
8,8,2015-12-10,@,Wyoming,W,68,58,27,62,.435,5,11,.455,9,12,.750,13,42,10,10,4,9,18,,17,48,.354,10,29,.345,14,18,.778,3,24,10,5,3,12,17
9,9,2015-12-13,,Ecclesia,W,96,69,39,68,.574,11,20,.550,7,15,.467,10,40,20,10,11,11,17,,25,70,.357,11,32,.344,8,15,.533,13,35,11,5,3,15,12
10,10,2015-12-15,@,Memphis,L,67,72,25,68,.368,5,18,.278,12,16,.750,14,36,9,11,5,17,31,,21,54,.389,2,8,.250,28,42,.667,13,42,13,9,9,19,17
11,11,2015-12-18,@,Louisiana Tech,L,76,83,28,62,.452,7,20,.350,13,24,.542,13,34,13,5,2,12,26,,24,53,.453,8,20,.400,27,38,.711,10,36,12,8,4,14,21
12,12,2015-12-21,N,North Carolina Central,W,68,65,21,51,.412,6,15,.400,20,27,.741,7,37,11,3,2,16,21,,25,59,.424,8,23,.348,7,14,.500,6,29,12,7,3,15,26
13,13,2015-12-22,N,Nebraska-Omaha,L,53,74,19,51,.373,3,12,.250,12,26,.462,4,25,5,5,1,17,14,,29,63,.460,4,14,.286,12,16,.750,11,35,14,9,3,16,23
14,14,2016-01-02,@,Texas Southern,L,66,88,24,66,.364,3,14,.214,15,16,.938,11,27,8,5,5,5,14,,33,66,.500,13,27,.481,9,13,.692,17,44,23,4,6,12,15
15,15,2016-01-04,@,Prairie View,L,65,71,22,56,.393,2,16,.125,19,25,.760,13,32,7,4,5,15,21,,24,54,.444,4,14,.286,19,25,.760,7,31,9,4,4,12,24
16,16,2016-01-09,,Grambling,W,66,61,26,58,.448,6,21,.286,8,12,.667,8,31,12,7,4,7,17,,21,48,.438,4,16,.250,15,21,.714,5,30,8,2,3,12,16
17,17,2016-01-11,,Jackson State,W,74,66,26,60,.433,5,16,.313,17,22,.773,9,33,10,10,3,10,18,,22,55,.400,8,20,.400,14,21,.667,11,33,10,6,5,16,21
18,18,2016-01-16,@,Arkansas-Pine Bluff,W,69,55,22,49,.449,5,16,.313,20,25,.800,10,38,9,4,1,9,22,,18,52,.346,4,28,.143,15,26,.577,8,24,9,7,0,7,22
19,19,2016-01-18,@,Mississippi Valley State,W,67,54,28,64,.438,7,21,.333,4,8,.500,9,34,10,11,4,5,13,,20,54,.370,6,20,.300,8,14,.571,5,34,11,4,1,14,13
20,20,2016-01-23,,Alabama State,W,73,69,25,52,.481,7,20,.350,16,29,.552,5,29,12,10,3,14,18,,26,63,.413,7,16,.438,10,16,.625,6,36,9,6,3,12,25
21,21,2016-01-25,,Alabama A&M,W,73,52,23,52,.442,5,13,.385,22,32,.688,8,35,10,6,3,11,20,,17,51,.333,4,22,.182,14,24,.583,8,33,10,4,1,14,25
22,22,2016-01-30,,Alcorn State,W,75,64,26,57,.456,8,20,.400,15,23,.652,9,36,14,8,1,6,16,,27,61,.443,7,18,.389,3,11,.273,11,33,5,3,4,12,21
23,23,2016-02-06,@,Grambling,W,79,66,26,51,.510,10,21,.476,17,23,.739,6,28,12,13,3,15,14,,25,56,.446,7,21,.333,9,16,.563,11,27,10,8,2,18,17
24,24,2016-02-08,@,Jackson State,L,80,81,26,59,.441,7,18,.389,21,33,.636,5,36,12,4,5,7,25,,28,73,.384,6,21,.286,19,28,.679,17,44,11,3,4,5,25
