,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Binghamton,W,63,53,20,54,.370,4,19,.211,19,25,.760,7,40,12,9,4,13,21,,17,57,.298,5,24,.208,14,17,.824,5,35,8,4,2,19,23
2,2,2015-11-17,@,Syracuse,L,66,79,24,66,.364,11,32,.344,7,9,.778,16,32,16,8,1,17,24,,24,52,.462,9,24,.375,22,32,.688,12,27,14,14,2,12,15
3,3,2015-11-21,,Loyola (MD),W,94,82,30,54,.556,8,18,.444,26,30,.867,8,30,16,5,4,11,18,,32,61,.525,11,21,.524,7,14,.500,10,24,17,6,4,10,23
4,4,2015-11-24,@,Canisius,W,77,73,24,54,.444,5,18,.278,24,28,.857,6,34,15,4,3,9,22,,24,63,.381,8,30,.267,17,23,.739,11,30,16,3,4,7,22
5,5,2015-11-28,,Hofstra,L,83,89,29,68,.426,6,26,.231,19,21,.905,11,32,12,2,4,11,25,,27,60,.450,7,19,.368,28,33,.848,11,34,13,7,0,11,16
6,6,2015-12-02,@,Buffalo,W,60,58,25,62,.403,2,21,.095,8,9,.889,14,28,12,8,3,15,22,,19,44,.432,1,13,.077,19,32,.594,10,30,6,7,1,21,15
7,7,2015-12-05,,Ohio,W,81,68,27,65,.415,10,22,.455,17,20,.850,11,33,17,6,2,6,11,,25,54,.463,9,26,.346,9,10,.900,6,32,18,3,6,13,20
8,8,2015-12-08,,Vermont,W,80,68,29,56,.518,11,20,.550,11,20,.550,6,31,19,9,5,10,23,,24,51,.471,7,13,.538,13,26,.500,8,30,12,5,6,15,19
9,9,2015-12-19,,South Carolina State,W,64,45,23,66,.348,7,25,.280,11,17,.647,17,45,13,8,2,13,13,,17,60,.283,3,20,.150,8,10,.800,11,39,13,6,2,16,17
10,10,2015-12-22,@,Siena,L,70,73,28,60,.467,6,15,.400,8,12,.667,8,23,11,7,4,20,23,,26,55,.473,6,17,.353,15,24,.625,14,34,15,9,5,24,17
11,11,2015-12-30,,Niagara,W,82,68,29,57,.509,12,25,.480,12,19,.632,8,26,24,8,5,11,15,,25,57,.439,5,22,.227,13,16,.813,12,32,7,4,2,18,21
12,12,2016-01-02,,Davidson,W,97,85,31,60,.517,9,26,.346,26,34,.765,9,34,16,6,6,8,21,,29,65,.446,11,26,.423,16,21,.762,7,27,22,5,1,10,25
13,13,2016-01-06,@,George Mason,W,77,58,24,58,.414,7,21,.333,22,30,.733,11,37,8,7,3,8,22,,21,55,.382,2,17,.118,14,28,.500,15,39,9,5,4,13,20
14,14,2016-01-09,@,UMass,W,88,77,28,47,.596,10,18,.556,22,25,.880,2,26,17,5,3,13,19,,29,66,.439,4,22,.182,15,23,.652,14,31,15,7,4,11,16
15,15,2016-01-13,,Rhode Island,W,69,64,18,43,.419,7,18,.389,26,31,.839,7,29,7,3,8,10,16,,24,59,.407,6,19,.316,10,15,.667,10,30,14,3,3,10,24
16,16,2016-01-16,@,Duquesne,L,88,95,30,72,.417,12,28,.429,16,24,.667,11,32,20,7,3,9,24,,32,61,.525,7,22,.318,24,31,.774,11,44,23,2,4,16,21
17,17,2016-01-19,,Dayton,L,79,85,26,63,.413,11,28,.393,16,18,.889,9,27,9,10,1,14,23,,28,49,.571,9,15,.600,20,30,.667,4,33,18,6,4,16,19
18,18,2016-01-24,@,VCU,L,76,84,28,67,.418,6,20,.300,14,20,.700,15,40,9,3,7,12,23,,30,67,.448,6,19,.316,18,30,.600,14,41,16,7,3,8,22
19,19,2016-01-31,,Richmond,W,84,68,27,54,.500,6,15,.400,24,30,.800,8,33,15,7,9,9,15,,25,65,.385,9,29,.310,9,12,.750,10,28,16,5,2,11,21
20,20,2016-02-03,@,St. Joseph's,W,83,73,28,69,.406,13,34,.382,14,15,.933,8,29,14,5,2,2,17,,24,57,.421,8,25,.320,17,23,.739,9,38,14,1,3,7,14
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-07,,Saint Louis,W,65,62,20,51,.392,7,22,.318,18,24,.750,11,35,12,4,4,16,20,,21,52,.404,4,19,.211,16,22,.727,7,28,11,8,1,12,21
22,22,2016-02-10,@,Fordham,W (1 OT),76,72,27,54,.500,9,22,.409,13,16,.813,4,28,18,7,5,17,12,,27,58,.466,9,26,.346,9,14,.643,10,28,20,10,3,13,17
23,23,2016-02-13,,George Washington,W,64,57,23,56,.411,6,17,.353,12,15,.800,14,32,7,5,8,13,17,,21,59,.356,5,21,.238,10,15,.667,14,35,10,6,2,16,19
24,24,2016-02-17,@,La Salle,L,64,71,20,54,.370,7,19,.368,17,24,.708,5,23,11,7,4,10,23,,22,47,.468,11,22,.500,16,25,.640,10,38,16,3,5,17,18
25,25,2016-02-20,@,Dayton,W,79,72,25,57,.439,10,20,.500,19,26,.731,9,34,13,4,3,11,25,,23,56,.411,5,22,.227,21,27,.778,10,35,11,3,3,11,22
26,26,2016-02-24,,Duquesne,W,80,76,25,63,.397,8,24,.333,22,30,.733,14,33,10,7,6,7,14,,26,67,.388,10,30,.333,14,18,.778,20,43,15,3,4,15,22
27,27,2016-02-27,,UMass,W,85,83,26,54,.481,11,25,.440,22,26,.846,10,32,13,5,3,15,21,,28,49,.571,11,24,.458,16,23,.696,3,23,12,8,2,14,24
28,28,2016-03-02,,St. Joseph's,W,98,90,33,52,.635,10,16,.625,22,29,.759,2,23,15,5,3,12,19,,30,63,.476,8,27,.296,22,23,.957,8,25,14,3,3,13,23
29,29,2016-03-05,@,Saint Louis,W,76,67,24,53,.453,9,18,.500,19,24,.792,8,37,12,3,5,8,17,,27,63,.429,4,17,.235,9,18,.500,8,32,14,4,3,8,19
30,30,2016-03-11,N,Davidson,L (1 OT),86,90,35,75,.467,7,24,.292,9,16,.563,10,42,15,3,8,7,22,,31,74,.419,11,32,.344,17,25,.680,11,38,15,2,3,5,17
