,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,@,Miami (FL),W (1 OT),66,62,22,60,.367,7,24,.292,15,23,.652,12,39,11,6,4,15,27,,19,61,.311,0,15,.000,24,31,.774,14,39,5,7,3,13,20
2,2,2013-11-11,@,Florida Atlantic,W,59,57,21,53,.396,5,19,.263,12,20,.600,8,35,8,6,3,17,24,,18,52,.346,1,8,.125,20,30,.667,8,34,9,5,1,15,18
3,3,2013-11-16,@,Dayton,L,58,78,19,45,.422,4,12,.333,16,26,.615,7,28,10,3,6,20,23,,25,49,.510,4,8,.500,24,30,.800,6,27,11,7,3,16,24
4,4,2013-11-18,@,Syracuse,L,50,56,18,43,.419,5,13,.385,9,15,.600,8,26,10,5,5,11,20,,18,51,.353,2,6,.333,18,27,.667,17,33,8,9,6,8,16
5,5,2013-11-23,@,Coastal Carolina,L,59,70,22,66,.333,4,27,.148,11,14,.786,13,36,6,7,5,12,24,,20,49,.408,1,8,.125,29,38,.763,8,38,7,6,2,16,17
6,6,2013-11-24,N,Oakland,W,68,62,21,45,.467,5,15,.333,21,30,.700,8,36,14,1,2,10,17,,21,55,.382,7,21,.333,13,20,.650,8,29,13,7,3,6,21
7,7,2013-11-27,,Mount Saint Vincent,W,83,54,28,57,.491,9,28,.321,18,25,.720,13,41,23,6,3,14,21,,18,60,.300,3,16,.188,15,18,.833,10,22,10,6,3,14,17
8,8,2013-12-01,@,Stony Brook,W,70,68,27,54,.500,7,18,.389,9,14,.643,4,25,15,8,3,12,21,,25,47,.532,3,6,.500,15,23,.652,4,26,10,6,2,13,14
9,9,2013-12-07,@,Army,L,54,67,16,61,.262,4,15,.267,18,25,.720,13,31,1,9,8,12,16,,27,56,.482,7,19,.368,6,11,.545,9,42,13,3,11,18,19
10,10,2013-12-10,,Monmouth,L,58,73,23,58,.397,3,21,.143,9,14,.643,6,24,7,8,4,13,17,,23,50,.460,8,16,.500,19,20,.950,7,34,14,6,2,18,15
11,11,2013-12-14,,Canisius,W,67,51,27,60,.450,3,17,.176,10,12,.833,12,37,17,8,6,9,18,,17,49,.347,2,13,.154,15,18,.833,3,24,7,8,4,12,16
12,12,2013-12-19,,Lafayette,W,65,62,20,56,.357,7,20,.350,18,30,.600,14,32,11,10,3,13,20,,19,42,.452,6,15,.400,18,23,.783,6,26,11,6,2,18,22
13,13,2013-12-23,,NJIT,W,77,65,24,55,.436,5,21,.238,24,31,.774,12,40,13,9,12,16,22,,20,63,.317,7,16,.438,18,25,.720,13,31,10,5,5,16,26
14,14,2013-12-30,@,Delaware State,W,60,57,19,50,.380,8,30,.267,14,19,.737,5,32,14,5,5,11,19,,21,50,.420,1,7,.143,14,22,.636,3,27,7,4,2,12,18
15,15,2014-01-04,@,Columbia,L,61,81,21,67,.313,3,16,.188,16,19,.842,14,32,4,8,8,7,22,,24,52,.462,10,22,.455,23,28,.821,8,35,15,6,2,12,17
16,16,2014-01-09,,LIU-Brooklyn,W,78,64,30,72,.417,11,29,.379,7,11,.636,25,48,17,5,4,13,19,,22,52,.423,5,16,.313,15,23,.652,8,25,14,3,1,10,16
17,17,2014-01-11,@,Mount St. Mary's,L,82,88,36,71,.507,4,12,.333,6,7,.857,14,41,16,4,3,16,20,,30,61,.492,8,19,.421,20,23,.870,5,24,9,8,3,12,13
18,18,2014-01-16,@,Central Connecticut,W,76,66,29,62,.468,7,19,.368,11,15,.733,6,27,14,4,5,8,18,,25,56,.446,5,12,.417,11,18,.611,10,34,12,2,4,17,16
19,19,2014-01-18,,Sacred Heart,W,74,71,26,54,.481,8,18,.444,14,23,.609,6,27,21,4,5,8,23,,25,54,.463,5,15,.333,16,25,.640,6,25,17,5,4,5,19
20,20,2014-01-23,@,Fairleigh Dickinson,L,85,86,26,52,.500,7,14,.500,26,32,.813,15,41,17,3,4,16,16,,29,62,.468,9,16,.563,19,23,.826,7,19,15,12,4,7,21
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
