Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,@,Boston College,L,49,75,17,61,.279,6,24,.250,9,19,.474,9,32,7,5,6,13,23,,28,60,.467,5,15,.333,14,23,.609,13,47,9,5,5,13,18
2,2,2015-11-17,,Mount Saint Vincent,W,93,67,30,60,.500,15,34,.441,18,28,.643,16,43,17,11,8,18,24,,25,64,.391,5,19,.263,12,21,.571,17,34,10,9,1,17,24
3,3,2015-11-21,@,Saint Louis,L,60,76,21,52,.404,8,27,.296,10,17,.588,12,29,15,6,6,15,26,,26,49,.531,3,7,.429,21,32,.656,6,26,16,4,1,12,20
4,4,2015-11-24,@,Louisville,L,41,85,14,47,.298,6,22,.273,7,15,.467,7,22,5,3,2,15,20,,35,65,.538,5,14,.357,10,21,.476,20,51,17,6,5,9,13
5,5,2015-11-28,N,North Florida,L,65,78,25,67,.373,5,20,.250,10,16,.625,15,31,14,5,4,8,16,,28,55,.509,12,23,.522,10,12,.833,6,30,15,3,6,10,14
6,6,2015-11-29,@,Hartford,W,74,67,24,61,.393,8,26,.308,18,26,.692,13,30,12,11,2,12,26,,20,44,.455,2,8,.250,25,33,.758,7,33,10,9,0,21,21
7,7,2015-12-02,@,Lafayette,W,69,62,25,54,.463,8,19,.421,11,20,.550,8,31,9,8,4,13,18,,24,53,.453,2,13,.154,12,18,.667,7,26,15,6,1,13,17
8,8,2015-12-06,@,St. John's (NY),L,56,63,21,62,.339,6,21,.286,8,13,.615,8,28,8,10,4,10,16,,23,55,.418,3,12,.250,14,16,.875,7,36,11,2,10,17,16
9,9,2015-12-10,,NJIT,L (1 OT),86,92,31,83,.373,16,49,.327,8,15,.533,22,42,21,4,5,11,25,,32,61,.525,5,15,.333,23,31,.742,9,35,13,7,5,10,16
10,10,2015-12-14,@,Manhattan,L,60,71,21,48,.438,5,19,.263,13,22,.591,5,25,12,7,2,19,17,,25,45,.556,8,13,.615,13,17,.765,2,26,13,11,1,19,17
11,11,2015-12-20,,Liberty,W,64,55,18,52,.346,12,30,.400,16,23,.696,11,35,14,6,2,6,17,,21,48,.438,5,16,.313,8,12,.667,4,27,9,3,1,10,23
12,12,2015-12-23,@,St. Peter's,L,45,56,16,45,.356,4,22,.182,9,18,.500,5,27,5,4,5,20,26,,19,48,.396,2,10,.200,16,28,.571,9,32,9,6,2,16,15
13,13,2015-12-29,,Albany (NY),L,66,71,26,60,.433,6,24,.250,8,11,.727,12,31,12,9,4,11,21,,24,45,.533,6,10,.600,17,21,.810,4,28,14,4,0,14,17
14,14,2016-01-02,@,Fairleigh Dickinson,L,77,86,27,60,.450,4,16,.250,19,24,.792,14,36,17,2,10,16,17,,32,68,.471,10,20,.500,12,13,.923,9,25,15,8,5,7,22
15,15,2016-01-04,@,Mount St. Mary's,L (1 OT),40,44,15,52,.288,5,22,.227,5,9,.556,12,42,5,6,6,20,16,,16,55,.291,2,15,.133,10,15,.667,5,28,3,9,7,10,15
16,16,2016-01-07,,Saint Francis (PA),W,73,56,22,50,.440,12,24,.500,17,20,.850,6,28,17,5,6,11,19,,18,55,.327,4,12,.333,16,20,.800,13,31,4,5,3,13,17
17,17,2016-01-09,,Robert Morris,W,56,49,15,51,.294,4,22,.182,22,30,.733,17,49,11,5,7,18,17,,18,52,.346,6,14,.429,7,14,.500,4,23,9,9,3,13,22
18,18,2016-01-14,@,Bryant,L,59,61,21,57,.368,8,29,.276,9,11,.818,10,35,10,4,1,9,16,,25,58,.431,6,13,.462,5,8,.625,10,35,15,5,2,10,13
19,19,2016-01-16,,Sacred Heart,W,85,67,27,49,.551,10,21,.476,21,33,.636,9,33,19,5,8,14,25,,20,57,.351,4,16,.250,23,29,.793,13,34,11,8,1,14,24
20,20,2016-01-21,,Wagner,L,59,83,22,54,.407,5,19,.263,10,16,.625,7,24,10,5,6,12,14,,32,58,.552,5,8,.625,14,18,.778,10,39,17,8,2,10,20
21,21,2016-01-23,@,LIU-Brooklyn,W,64,49,21,51,.412,2,20,.100,20,26,.769,8,43,10,4,5,18,16,,15,69,.217,6,31,.194,13,17,.765,17,38,7,10,0,14,20
22,22,2016-01-28,@,Wagner,L,61,64,20,53,.377,6,21,.286,15,25,.600,13,38,5,6,6,11,18,,24,58,.414,7,16,.438,9,15,.600,9,32,11,4,5,8,23
23,23,2016-01-30,@,Central Connecticut,W,60,49,21,60,.350,10,29,.345,8,15,.533,12,34,10,4,5,7,14,,19,49,.388,1,7,.143,10,14,.714,7,35,5,3,3,16,14
24,24,2016-02-04,@,Sacred Heart,L,70,74,22,59,.373,10,32,.313,16,23,.696,6,22,11,10,2,9,21,,23,50,.460,6,19,.316,22,30,.733,14,42,13,0,0,20,21
25,25,2016-02-06,,Fairleigh Dickinson,W,85,71,25,52,.481,12,25,.480,23,30,.767,10,34,13,7,5,17,23,,25,57,.439,3,10,.300,18,27,.667,6,24,14,8,3,15,24
26,26,2016-02-11,,Central Connecticut,W,74,67,23,58,.397,12,33,.364,16,24,.667,11,30,13,10,5,9,15,,27,60,.450,2,10,.200,11,12,.917,9,37,11,5,1,14,19
27,27,2016-02-15,,LIU-Brooklyn,L,67,82,21,52,.404,6,25,.240,19,29,.655,11,34,13,3,4,14,20,,28,58,.483,4,13,.308,22,25,.880,7,28,19,10,1,7,21
28,28,2016-02-18,@,Saint Francis (PA),W,70,58,28,64,.438,6,20,.300,8,10,.800,11,35,6,6,7,6,15,,18,55,.327,5,18,.278,17,22,.773,12,34,7,4,7,13,14
29,29,2016-02-20,@,Robert Morris,W,82,72,25,51,.490,10,24,.417,22,26,.846,6,34,14,3,3,17,18,,26,53,.491,4,11,.364,16,26,.615,4,20,14,13,6,12,20
30,30,2016-02-25,,Bryant,W,79,72,26,57,.456,5,26,.192,22,27,.815,8,37,16,5,8,13,15,,26,65,.400,7,22,.318,13,18,.722,7,30,20,8,0,6,19
31,31,2016-02-27,,Mount St. Mary's,W,55,49,21,57,.368,2,14,.143,11,17,.647,13,46,8,11,7,15,9,,21,73,.288,4,17,.235,3,3,1.000,15,38,5,7,1,12,15
32,32,2016-03-02,,Mount St. Mary's,L,51,60,19,48,.396,6,17,.353,7,14,.500,7,33,11,1,6,13,17,,22,67,.328,3,16,.188,13,19,.684,13,39,7,5,2,3,18
