,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Wagner,W,66,57,21,47,.447,9,20,.450,15,25,.600,5,31,12,3,5,14,22,,19,60,.317,8,22,.364,11,20,.550,10,35,8,7,2,12,26
2,2,2015-11-16,,UMBC,W,75,53,27,52,.519,7,19,.368,14,17,.824,3,38,15,7,11,18,16,,18,67,.269,8,29,.276,9,17,.529,15,34,10,9,2,12,19
3,3,2015-11-19,,Rutgers,W,61,59,20,62,.323,8,24,.333,13,24,.542,17,45,12,5,7,15,15,,25,60,.417,4,10,.400,5,14,.357,5,33,9,9,5,11,22
4,4,2015-11-23,N,Vanderbilt,L,55,92,18,60,.300,2,16,.125,17,22,.773,7,21,6,8,3,7,17,,33,62,.532,12,25,.480,14,21,.667,12,48,21,3,6,9,20
5,5,2015-11-24,N,Indiana,L,73,83,24,55,.436,7,18,.389,18,27,.667,9,27,7,7,3,11,18,,30,52,.577,8,19,.421,15,24,.625,8,32,19,7,3,16,19
6,6,2015-11-25,N,Chaminade,W,100,93,35,59,.593,10,19,.526,20,27,.741,8,33,21,7,5,17,19,,34,67,.507,13,29,.448,12,20,.600,7,24,19,8,0,12,17
7,7,2015-12-02,@,Fordham,L,57,73,17,43,.395,2,11,.182,21,29,.724,6,25,10,4,7,18,19,,26,58,.448,7,22,.318,14,22,.636,15,34,15,12,5,12,24
8,8,2015-12-06,,St. Francis (NY),W,63,56,23,55,.418,3,12,.250,14,16,.875,7,36,11,2,10,17,16,,21,62,.339,6,21,.286,8,13,.615,8,28,8,10,4,10,16
9,9,2015-12-09,,Niagara,W,48,44,19,57,.333,3,17,.176,7,14,.500,12,44,12,4,12,18,19,,14,56,.250,3,18,.167,13,24,.542,13,42,7,10,8,15,18
10,10,2015-12-13,N,Syracuse,W,84,72,30,60,.500,12,25,.480,12,20,.600,8,42,17,3,3,15,22,,24,66,.364,5,26,.192,19,31,.613,8,32,5,13,1,6,15
11,11,2015-12-18,,Incarnate Word,L,51,73,19,46,.413,6,16,.375,7,13,.538,7,28,13,3,6,15,17,,24,57,.421,11,24,.458,14,15,.933,8,30,14,7,0,8,15
12,12,2015-12-20,,NJIT,L,74,83,24,70,.343,8,32,.250,18,34,.529,19,41,14,10,3,10,24,,25,48,.521,11,20,.550,22,29,.759,3,34,17,7,5,19,25
13,13,2015-12-22,N,South Carolina,L,61,75,22,49,.449,5,20,.250,12,27,.444,5,24,11,6,5,14,19,,27,57,.474,7,13,.538,14,19,.737,12,37,14,9,1,17,23
14,14,2015-12-31,,Creighton,L,70,80,27,64,.422,4,13,.308,12,19,.632,10,35,13,4,7,12,21,,26,56,.464,7,22,.318,21,29,.724,10,38,13,8,5,12,20
15,15,2016-01-02,@,Providence,L,65,83,23,63,.365,2,13,.154,17,25,.680,10,29,6,6,3,12,25,,26,53,.491,9,23,.391,22,32,.688,8,40,16,5,5,16,24
16,16,2016-01-06,,Xavier,L,66,74,23,68,.338,7,29,.241,13,18,.722,10,32,12,4,4,13,24,,24,50,.480,4,14,.286,22,29,.759,6,36,12,10,2,17,18
17,17,2016-01-09,@,Marquette,L,75,81,28,62,.452,11,24,.458,8,12,.667,6,28,20,6,8,18,19,,28,60,.467,7,18,.389,18,21,.857,9,34,23,8,4,20,17
