,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Green Bay,W (1 OT),93,89,31,60,.517,6,18,.333,25,42,.595,10,41,10,4,12,21,21,,30,77,.390,10,21,.476,19,28,.679,13,36,11,12,2,16,35
2,2,2015-11-15,,Charleston Southern,W,93,59,32,55,.582,5,12,.417,24,40,.600,14,44,20,6,4,7,23,,17,49,.347,9,28,.321,16,26,.615,6,20,11,2,1,14,30
3,3,2015-11-19,,SMU,L,70,85,22,48,.458,5,15,.333,21,28,.750,9,23,14,6,4,12,14,,34,61,.557,6,14,.429,11,15,.733,9,27,19,6,1,7,20
4,4,2015-11-22,@,Saint Mary's (CA),L,61,78,25,56,.446,4,14,.286,7,9,.778,8,22,14,5,2,10,20,,30,53,.566,9,16,.563,9,16,.563,8,31,13,6,3,9,16
5,5,2015-11-26,N,Villanova,L,45,59,13,50,.260,2,9,.222,17,28,.607,17,49,4,5,2,23,22,,19,62,.306,7,34,.206,14,20,.700,11,32,10,12,7,6,22
6,6,2015-11-27,N,Arkansas,W,69,66,23,49,.469,4,12,.333,19,32,.594,8,26,10,4,3,15,19,,23,66,.348,6,17,.353,14,16,.875,15,36,15,7,3,12,25
7,7,2015-12-12,,Dartmouth,W,64,50,20,50,.400,6,15,.400,18,28,.643,17,35,10,4,7,9,16,,19,50,.380,8,21,.381,4,6,.667,7,23,11,4,1,12,23
8,8,2015-12-15,,DePaul,W,79,60,25,51,.490,10,19,.526,19,24,.792,7,28,17,13,3,11,16,,24,54,.444,8,20,.400,4,8,.500,7,26,12,4,0,19,21
9,9,2015-12-19,,Texas,L,73,75,22,53,.415,10,19,.526,19,22,.864,4,25,12,9,3,12,16,,32,59,.542,7,20,.350,4,10,.400,7,30,13,7,5,12,20
10,10,2015-12-21,,Sacramento State,W,70,60,25,65,.385,6,26,.231,14,25,.560,15,39,16,7,4,6,13,,23,57,.404,4,19,.211,10,12,.833,8,31,13,4,3,9,23
11,11,2015-12-27,,Carroll,W,83,38,30,61,.492,8,22,.364,15,22,.682,12,47,16,9,8,11,12,,14,57,.246,2,14,.143,8,11,.727,5,23,6,6,0,15,19
12,12,2016-01-01,,Utah,W (1 OT),70,68,26,66,.394,4,17,.235,14,25,.560,11,35,7,6,2,7,25,,26,57,.456,5,19,.263,11,24,.458,10,37,14,3,4,17,25
13,13,2016-01-03,,Colorado,L,55,56,17,54,.315,3,15,.200,18,24,.750,7,28,7,9,2,6,15,,21,51,.412,6,23,.261,8,13,.615,8,37,14,3,4,17,20
14,14,2016-01-06,@,Oregon State,W,78,72,26,60,.433,6,19,.316,20,30,.667,18,43,14,7,1,10,22,,26,52,.500,5,16,.313,15,28,.536,8,27,15,4,4,11,27
15,15,2016-01-10,@,Oregon,L,58,71,19,50,.380,5,15,.333,15,18,.833,6,19,12,6,0,12,23,,25,53,.472,5,20,.250,16,22,.727,14,37,18,5,7,15,20
16,16,2016-01-14,,University of California,W,77,71,21,47,.447,5,11,.455,30,38,.789,9,36,9,7,5,14,19,,25,60,.417,12,30,.400,9,17,.529,8,28,15,8,2,15,27
17,17,2016-01-21,,Arizona,L,57,71,19,62,.306,4,21,.190,15,20,.750,8,25,11,7,0,8,20,,22,46,.478,8,18,.444,19,27,.704,5,41,15,1,7,14,21
18,18,2016-01-23,,Arizona State,W,75,73,25,53,.472,7,20,.350,18,21,.857,3,26,14,5,3,8,18,,27,63,.429,9,26,.346,10,17,.588,9,33,14,5,2,9,20
19,19,2016-01-27,@,Colorado,L,75,91,26,71,.366,7,23,.304,16,23,.696,15,33,7,11,5,7,24,,27,55,.491,13,19,.684,24,31,.774,12,45,21,2,5,14,19
20,20,2016-01-30,@,Utah,L,74,96,26,65,.400,3,25,.120,19,23,.826,14,29,7,10,1,12,32,,28,47,.596,8,17,.471,32,42,.762,7,32,13,7,2,15,19
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
