,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-15,@,Richmond,L,85,108,33,70,.471,11,23,.478,8,10,.800,8,32,19,6,1,14,14,,42,77,.545,15,31,.484,9,14,.643,15,45,29,9,10,11,12
2,2,2015-11-17,@,Citadel,L,93,94,39,71,.549,6,20,.300,9,13,.692,10,31,13,5,1,13,20,,36,62,.581,6,18,.333,16,18,.889,4,30,16,4,5,11,20
3,3,2015-11-20,@,West Virginia,L,62,103,19,62,.306,6,25,.240,18,21,.857,11,25,14,10,0,19,25,,38,67,.567,5,21,.238,22,30,.733,18,50,26,10,7,18,19
4,4,2015-11-23,,Fort Valley State,W,101,72,36,74,.486,7,25,.280,22,28,.786,13,50,26,14,4,14,18,,25,71,.352,6,29,.207,16,21,.762,8,33,10,7,1,17,22
5,5,2015-11-26,N,Bethune-Cookman,W,83,70,31,58,.534,9,22,.409,12,16,.750,8,41,16,5,0,20,20,,29,77,.377,5,26,.192,7,17,.412,15,36,7,8,5,9,17
6,6,2015-11-27,N,East Carolina,L,73,93,22,53,.415,8,26,.308,21,24,.875,7,20,12,9,1,14,11,,33,61,.541,10,21,.476,17,18,.944,13,38,19,8,1,14,19
7,7,2015-11-30,@,Florida International,W,81,75,28,58,.483,9,22,.409,16,22,.727,9,30,13,9,5,13,12,,34,67,.507,5,14,.357,2,8,.250,14,36,14,7,8,14,20
8,8,2015-12-02,,UCF,L,85,94,32,71,.451,9,25,.360,12,19,.632,11,26,22,7,0,5,19,,35,60,.583,7,21,.333,17,23,.739,14,42,17,2,5,12,15
9,9,2015-12-05,@,Tennessee State,L,54,74,16,47,.340,1,12,.083,21,26,.808,4,20,4,6,1,16,13,,31,65,.477,2,17,.118,10,11,.909,15,39,15,8,6,13,18
10,10,2015-12-14,,Tennessee State,L (2 OT),90,93,28,69,.406,13,32,.406,21,30,.700,13,36,18,6,2,11,22,,34,79,.430,9,19,.474,16,20,.800,21,46,8,8,7,13,24
11,11,2015-12-16,,Albany State (GA),W,95,69,35,76,.461,13,33,.394,12,16,.750,11,44,28,9,4,10,17,,25,68,.368,8,27,.296,11,18,.611,8,39,14,6,2,17,18
12,12,2015-12-19,@,IPFW,L,89,95,31,56,.554,16,23,.696,11,18,.611,4,20,12,3,1,11,16,,38,64,.594,7,17,.412,12,14,.857,9,33,19,4,3,10,15
13,13,2015-12-22,@,Georgia Southern,L,58,78,22,53,.415,5,20,.250,9,19,.474,9,33,5,3,1,18,17,,30,59,.508,8,25,.320,10,21,.476,6,34,17,11,2,8,21
14,14,2015-12-30,,Florida Tech,W,93,83,32,62,.516,10,22,.455,19,29,.655,8,32,21,9,4,8,15,,33,67,.493,8,21,.381,9,15,.600,11,32,19,6,7,12,20
15,15,2016-01-02,,Webber,W,103,53,36,69,.522,10,25,.400,21,29,.724,8,46,27,12,6,13,16,,21,67,.313,3,19,.158,8,16,.500,11,39,10,5,3,21,19
16,16,2016-01-06,,North Florida,L,79,97,31,68,.456,9,23,.391,8,9,.889,7,30,23,3,3,12,18,,38,73,.521,12,32,.375,9,16,.563,13,40,23,7,5,8,12
17,17,2016-01-09,@,Florida Gulf Coast,L,53,82,18,54,.333,4,20,.200,13,21,.619,7,28,7,4,2,14,14,,35,59,.593,6,16,.375,6,15,.400,5,36,19,10,9,9,18
18,18,2016-01-14,,South Carolina Upstate,W (1 OT),89,86,32,65,.492,11,29,.379,14,20,.700,5,30,26,8,1,10,16,,33,66,.500,9,21,.429,11,18,.611,10,37,21,6,5,11,21
19,19,2016-01-16,,NJIT,L,59,71,16,50,.320,8,26,.308,19,26,.731,9,30,9,7,4,15,17,,26,57,.456,12,30,.400,7,13,.538,7,33,18,8,0,12,19
20,20,2016-01-21,@,Lipscomb,L,87,92,30,69,.435,11,30,.367,16,27,.593,6,30,16,11,4,10,18,,31,61,.508,12,27,.444,18,21,.857,4,42,21,6,7,19,19
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-23,@,Kennesaw State,W,84,79,29,50,.580,6,16,.375,20,25,.800,4,30,12,6,4,15,17,,29,64,.453,8,15,.533,13,17,.765,9,28,9,7,3,11,22
22,22,2016-01-27,@,Marquette,L,60,74,22,61,.361,6,21,.286,10,13,.769,13,29,11,5,0,14,21,,26,55,.473,7,15,.467,15,21,.714,14,40,13,4,2,15,17
23,23,2016-01-30,@,Jacksonville,L,60,75,20,66,.303,5,27,.185,15,22,.682,6,41,7,6,0,12,20,,26,69,.377,11,28,.393,12,17,.706,10,50,13,6,4,12,19
24,24,2016-02-01,@,North Florida,W,86,82,35,64,.547,3,8,.375,13,18,.722,6,29,13,3,0,7,17,,30,63,.476,10,35,.286,12,18,.667,11,35,12,5,5,11,19
25,25,2016-02-06,,Jacksonville,L (1 OT),88,96,29,73,.397,11,32,.344,19,23,.826,5,27,17,6,4,5,27,,35,70,.500,7,17,.412,19,29,.655,10,46,14,0,8,10,16
26,26,2016-02-11,@,NJIT,L,70,74,23,45,.511,6,16,.375,18,25,.720,2,26,12,5,3,18,24,,26,56,.464,7,22,.318,15,23,.652,9,31,13,9,1,12,21
27,27,2016-02-13,@,South Carolina Upstate,L,83,85,28,68,.412,6,22,.273,21,30,.700,10,38,6,5,1,4,20,,32,72,.444,7,15,.467,14,25,.560,16,49,16,1,3,8,22
28,28,2016-02-18,,Kennesaw State,L,82,92,28,69,.406,7,21,.333,19,24,.792,10,33,13,4,2,5,21,,32,65,.492,7,18,.389,21,26,.808,9,43,14,2,3,7,19
29,29,2016-02-20,,Lipscomb,L,74,77,27,60,.450,10,21,.476,10,15,.667,8,30,15,3,3,13,16,,30,58,.517,5,17,.294,12,17,.706,8,33,16,8,4,13,15
30,30,2016-02-22,,Bethune-Cookman,L (1 OT),94,96,35,73,.479,9,24,.375,15,24,.625,11,40,19,7,4,13,22,,29,67,.433,11,23,.478,27,33,.818,10,38,15,5,10,12,19
31,31,2016-02-25,,Florida Gulf Coast,W,80,73,29,56,.518,11,20,.550,11,13,.846,3,25,19,5,6,10,11,,30,65,.462,4,9,.444,9,14,.643,13,36,12,5,3,10,15
32,32,2016-03-01,@,NJIT,W,82,67,30,56,.536,7,16,.438,15,23,.652,5,39,12,4,6,13,17,,25,69,.362,2,26,.077,15,23,.652,11,36,9,6,3,6,18
33,33,2016-03-03,@,Lipscomb,W,96,75,35,67,.522,13,28,.464,13,17,.765,10,44,19,4,4,11,19,,25,64,.391,9,24,.375,16,30,.533,8,31,12,5,3,10,18
34,34,2016-03-06,@,Florida Gulf Coast,L (1 OT),78,80,25,61,.410,6,18,.333,22,30,.733,8,27,13,6,1,10,24,,30,57,.526,1,9,.111,19,30,.633,9,38,14,6,5,13,26
