Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,,Marist,W,71,55,29,62,.468,6,17,.353,7,13,.538,11,41,16,9,1,12,16,,16,53,.302,6,27,.222,17,22,.773,7,30,10,6,4,15,16
2,2,2013-11-10,,Haverford,W,81,65,30,62,.484,7,18,.389,14,19,.737,14,44,16,5,4,15,13,,24,60,.400,11,30,.367,6,9,.667,1,19,18,9,4,11,19
3,3,2013-11-13,,Northeastern,W,73,66,27,60,.450,6,11,.545,13,20,.650,10,34,13,4,6,6,18,,25,60,.417,4,15,.267,12,21,.571,12,36,9,4,2,8,19
4,4,2013-11-17,@,Indiana,L,74,90,24,61,.393,3,15,.200,23,29,.793,9,28,4,9,1,14,32,,27,54,.500,6,17,.353,30,49,.612,13,42,9,7,9,17,23
5,5,2013-11-22,N,Toledo,L,99,103,35,59,.593,11,17,.647,18,25,.720,6,26,18,6,4,10,29,,31,59,.525,7,13,.538,34,42,.810,11,33,17,6,1,11,19
6,6,2013-11-23,N,Florida Atlantic,W,67,61,22,56,.393,1,5,.200,22,36,.611,13,44,7,6,5,9,19,,19,63,.302,10,36,.278,13,22,.591,14,41,11,4,4,10,26
7,7,2013-11-24,@,Detroit,W (1 OT),104,102,36,80,.450,9,26,.346,23,29,.793,15,41,18,6,0,13,28,,28,68,.412,9,34,.265,37,43,.860,11,39,13,6,5,10,23
8,8,2013-12-01,,St. Francis (NY),L,68,70,25,47,.532,3,6,.500,15,23,.652,4,26,10,6,2,13,14,,27,54,.500,7,18,.389,9,14,.643,4,25,15,8,3,12,21
9,9,2013-12-04,,Fairleigh Dickinson,W,77,62,22,50,.440,5,12,.417,28,36,.778,14,35,11,4,5,9,13,,25,54,.463,7,22,.318,5,7,.714,5,23,9,1,4,10,22
10,10,2013-12-07,N,La Salle,L,57,65,23,57,.404,4,16,.250,7,9,.778,8,32,15,6,8,15,22,,18,51,.353,4,17,.235,25,33,.758,6,28,12,11,6,8,10
11,11,2013-12-15,@,New Hampshire,W,67,48,25,54,.463,10,22,.455,7,15,.467,12,33,15,5,1,12,15,,20,47,.426,6,26,.231,2,8,.250,5,21,11,7,4,14,15
12,12,2013-12-19,@,Loyola (MD),W,76,69,23,45,.511,5,11,.455,25,32,.781,6,30,13,4,4,17,22,,19,48,.396,4,13,.308,27,35,.771,5,19,9,13,6,13,29
