Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,N,UNC,L,67,91,24,62,.387,9,25,.360,10,17,.588,7,27,13,5,4,8,19,,34,67,.507,7,12,.583,16,23,.696,14,48,17,6,7,9,16
2,2,2015-11-19,N,Minnesota,W,75,70,23,59,.390,10,23,.435,19,26,.731,10,32,18,3,1,10,25,,19,50,.380,6,18,.333,26,32,.813,7,29,8,4,5,10,21
3,3,2015-11-20,N,Butler,L,69,74,27,71,.380,7,22,.318,8,9,.889,16,36,10,1,6,7,18,,24,66,.364,5,21,.238,21,25,.840,17,41,13,3,5,4,15
4,4,2015-11-22,N,Utah,L,68,74,26,66,.394,10,29,.345,6,9,.667,7,28,13,5,0,6,27,,21,52,.404,6,23,.261,26,34,.765,8,36,11,4,4,9,13
5,5,2015-11-29,,Delaware,W,69,50,26,65,.400,9,29,.310,8,12,.667,12,39,13,4,5,5,12,,20,63,.317,3,18,.167,7,10,.700,13,40,9,2,4,10,12
6,6,2015-12-02,,Fairleigh Dickinson,W,79,70,25,53,.472,4,19,.211,25,28,.893,11,34,18,5,4,14,18,,25,56,.446,9,18,.500,11,16,.688,7,19,18,8,2,13,21
7,7,2015-12-05,@,Wisconsin,L,60,76,22,58,.379,7,20,.350,9,11,.818,6,28,11,3,4,7,16,,27,59,.458,6,11,.545,16,21,.762,9,34,13,5,2,6,13
8,8,2015-12-09,@,Penn,W,77,73,27,54,.500,7,18,.389,16,23,.696,8,31,15,6,0,13,16,,29,55,.527,10,30,.333,5,7,.714,3,23,16,2,0,13,21
9,9,2015-12-13,,St. Joseph's,L (1 OT),65,66,23,69,.333,5,22,.227,14,20,.700,7,43,10,3,1,6,16,,23,68,.338,6,23,.261,14,20,.700,10,50,9,4,5,10,18
10,10,2015-12-19,,Delaware State,W,78,63,22,62,.355,4,27,.148,30,38,.789,17,42,12,5,2,9,21,,21,54,.389,5,17,.294,16,23,.696,9,29,9,7,5,14,25
11,11,2015-12-29,@,Cincinnati,W,77,70,26,52,.500,10,22,.455,15,22,.682,10,27,12,5,4,7,11,,26,61,.426,7,19,.368,11,12,.917,11,25,13,2,2,8,15
12,12,2016-01-02,,Houston,L,50,77,20,58,.345,3,23,.130,7,9,.778,11,25,6,5,4,13,18,,31,57,.544,7,15,.467,8,15,.533,12,37,15,6,3,12,15
13,13,2016-01-05,@,UConn,W,55,53,21,54,.389,7,18,.389,6,14,.429,10,35,9,5,4,8,15,,18,57,.316,4,20,.200,13,14,.929,8,29,8,2,3,9,13
14,14,2016-01-09,,East Carolina,W,78,60,29,58,.500,13,33,.394,7,9,.778,9,31,18,5,2,8,9,,24,53,.453,8,16,.500,4,7,.571,5,19,12,3,1,7,11
15,15,2016-01-13,@,Memphis,L,65,67,27,72,.375,6,21,.286,5,9,.556,13,40,12,10,8,12,22,,20,56,.357,4,16,.250,23,30,.767,13,42,12,9,8,14,14
