,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2014-11-14,@,Marquette,L,63,79,22,48,.458,4,13,.308,15,26,.577,11,33,8,3,1,19,19,,27,56,.482,10,23,.435,15,23,.652,6,22,19,12,4,7,21
2,2,2014-11-17,@,Arkansas State,W,75,73,26,55,.473,8,20,.400,15,24,.625,9,26,11,11,0,12,18,,26,45,.578,6,11,.545,15,20,.750,4,26,6,6,1,16,18
3,3,2014-11-20,,Champion Baptist,W,115,29,43,71,.606,14,29,.483,15,22,.682,15,51,31,13,4,6,9,,12,52,.231,2,12,.167,3,4,.750,2,20,7,4,2,21,19
4,4,2014-11-25,@,Bethune-Cookman,W,74,56,22,52,.423,7,21,.333,23,26,.885,9,34,14,7,4,12,24,,15,43,.349,5,12,.417,21,29,.724,7,26,6,4,0,12,25
5,5,2014-11-28,@,Nebraska,L,64,75,23,52,.442,11,27,.407,7,7,1.000,5,23,11,10,2,17,18,,26,55,.473,10,23,.435,13,16,.813,8,29,13,3,3,16,12
6,6,2014-12-03,@,Northern Kentucky,W,71,56,27,51,.529,5,19,.263,12,17,.706,10,33,12,3,2,14,16,,21,50,.420,4,19,.211,10,14,.714,6,20,8,10,3,14,19
7,7,2014-12-06,@,Longwood,W,77,67,24,42,.571,5,12,.417,24,29,.828,5,25,8,5,3,12,18,,24,54,.444,10,24,.417,9,14,.643,11,25,8,5,1,12,22
8,8,2014-12-15,@,UIC,W (1 OT),81,78,27,60,.450,5,14,.357,22,28,.786,12,39,18,5,10,12,21,,27,71,.380,6,19,.316,18,20,.900,11,30,17,6,5,6,20
9,9,2014-12-17,@,Illinois State,L,54,64,21,52,.404,5,20,.250,7,14,.500,7,30,11,4,0,10,13,,22,55,.400,6,16,.375,14,18,.778,11,38,11,7,2,10,15
10,10,2014-12-20,,Presbyterian,W,77,60,29,50,.580,11,21,.524,8,14,.571,7,25,22,1,3,3,15,,24,49,.490,3,10,.300,9,13,.692,6,23,20,1,2,5,18
11,11,2014-12-22,@,Butler,L,37,64,16,48,.333,2,13,.154,3,8,.375,6,19,7,6,1,14,13,,25,51,.490,6,20,.300,8,12,.667,11,34,8,7,3,16,14
12,12,2014-12-30,,Maryland-Eastern Shore,L,60,63,22,57,.386,6,27,.222,10,12,.833,8,27,11,5,2,5,13,,24,47,.511,3,11,.273,12,16,.750,5,30,18,5,3,9,15
13,13,2015-01-01,,Crowley's Ridge,W,84,61,31,70,.443,4,17,.235,18,26,.692,15,37,21,12,3,10,12,,23,57,.404,4,18,.222,11,13,.846,10,37,12,5,3,21,20
14,14,2015-01-08,,Eastern Kentucky,L,58,66,20,49,.408,5,21,.238,13,19,.684,8,32,19,1,0,11,19,,20,47,.426,4,23,.174,22,27,.815,4,26,16,7,1,5,16
15,15,2015-01-10,,Morehead State,W (1 OT),75,72,28,60,.467,7,16,.438,12,14,.857,10,33,16,2,1,10,12,,27,62,.435,7,21,.333,11,12,.917,10,30,12,5,6,7,19
16,16,2015-01-15,@,Tennessee Tech,W,63,60,22,55,.400,10,23,.435,9,11,.818,6,26,12,3,1,9,10,,25,54,.463,6,22,.273,4,8,.500,7,32,14,4,2,9,12
17,17,2015-01-17,,Jacksonville State,W,55,52,22,46,.478,6,10,.600,5,13,.385,6,34,10,4,3,12,11,,19,54,.352,9,22,.409,5,10,.500,6,30,9,8,3,8,16
18,18,2015-01-22,@,Belmont,L,67,72,26,53,.491,7,22,.318,8,11,.727,6,28,7,6,3,18,19,,25,59,.424,8,28,.286,14,19,.737,8,27,12,8,1,10,16
19,19,2015-01-24,,Southeast Missouri State,W,70,53,24,49,.490,7,13,.538,15,23,.652,8,33,10,4,0,10,10,,23,54,.426,5,14,.357,2,9,.222,6,25,11,5,5,10,19
20,20,2015-01-29,,Eastern Illinois,W,81,51,28,46,.609,11,20,.550,14,17,.824,3,36,15,2,1,9,8,,18,53,.340,9,27,.333,6,11,.545,3,17,14,6,2,5,13
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2015-01-31,@,Murray State,L,62,65,23,55,.418,4,12,.333,12,16,.750,10,30,5,4,0,11,18,,23,56,.411,6,18,.333,13,18,.722,13,36,15,6,5,11,16
22,22,2015-02-05,@,Austin Peay,W,76,64,26,49,.531,8,17,.471,16,22,.727,9,33,16,9,1,10,17,,21,54,.389,8,24,.333,14,23,.609,10,25,9,4,7,11,17
23,23,2015-02-07,,Southern Illinois-Edwardsville,W,64,59,23,51,.451,6,12,.500,12,18,.667,9,34,12,6,4,13,18,,19,53,.358,9,25,.360,12,17,.706,9,28,10,3,1,13,18
24,24,2015-02-12,@,Southeast Missouri State,L,76,98,24,47,.511,13,24,.542,15,25,.600,6,26,11,4,0,17,15,,38,65,.585,12,25,.480,10,13,.769,8,29,15,9,5,6,19
25,25,2015-02-14,,Austin Peay,W,67,61,24,50,.480,8,20,.400,11,17,.647,6,32,10,4,3,7,15,,23,63,.365,7,21,.333,8,10,.800,11,33,10,4,1,5,16
26,26,2015-02-19,@,Eastern Illinois,W (1 OT),75,73,28,62,.452,9,20,.450,10,13,.769,18,43,11,4,1,13,15,,26,55,.473,10,23,.435,11,19,.579,4,19,17,5,10,4,15
