Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Oklahoma State,L,57,91,21,56,.375,4,20,.200,11,16,.688,5,29,5,3,0,10,24,,33,59,.559,7,21,.333,18,24,.750,7,38,12,7,5,5,15
2,2,2015-11-16,,Bethune-Cookman,L,79,86,26,59,.441,13,30,.433,14,25,.560,12,34,17,5,4,14,25,,27,56,.482,13,26,.500,19,27,.704,10,37,12,3,5,12,22
3,3,2015-11-20,N,Oral Roberts,L,66,70,23,57,.404,7,24,.292,13,16,.813,5,29,7,7,0,8,19,,23,54,.426,7,21,.333,17,22,.773,10,37,14,1,2,13,16
4,4,2015-11-21,N,Florida International,L,62,69,21,51,.412,9,26,.346,11,18,.611,13,30,7,2,1,20,21,,23,47,.489,9,19,.474,14,21,.667,8,25,12,7,6,17,21
5,5,2015-11-22,@,James Madison,W,78,75,30,55,.545,12,27,.444,6,7,.857,9,28,8,3,0,11,17,,28,57,.491,11,30,.367,8,11,.727,8,22,14,5,3,8,9
6,6,2015-11-25,,Harris-Stowe,W,83,57,31,65,.477,8,22,.364,13,25,.520,15,44,16,8,2,12,11,,23,55,.418,8,19,.421,3,5,.600,2,21,9,5,3,17,26
7,7,2015-11-28,@,Mississippi State,L,51,76,22,55,.400,5,17,.294,2,6,.333,9,25,9,6,4,12,15,,32,65,.492,4,18,.222,8,10,.800,15,38,17,9,4,10,14
8,8,2015-12-01,@,UMKC,L,70,74,22,56,.393,8,22,.364,18,22,.818,7,24,14,9,2,7,22,,26,51,.510,8,17,.471,14,18,.778,4,32,15,3,4,13,19
9,9,2015-12-09,@,Texas Tech,L,49,68,18,54,.333,7,24,.292,6,13,.462,9,32,6,4,4,17,14,,27,65,.415,7,27,.259,7,12,.583,11,40,17,8,2,10,18
10,10,2015-12-11,@,Texas-Rio Grande Valley,W,72,64,25,56,.446,5,16,.313,17,21,.810,10,40,8,3,1,12,17,,22,60,.367,6,25,.240,14,19,.737,8,28,12,4,3,7,19
