,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Loyola (MD),W,86,71,29,55,.527,5,15,.333,23,28,.821,7,34,14,5,4,16,28,,19,55,.345,6,19,.316,27,43,.628,11,32,9,8,4,13,27
2,2,2015-11-16,@,Ohio,L,67,75,21,52,.404,4,12,.333,21,28,.750,4,29,7,10,2,13,19,,23,56,.411,10,28,.357,19,20,.950,5,30,12,9,7,12,18
3,3,2015-11-18,,Fisk,W,72,50,21,54,.389,5,23,.217,25,36,.694,16,47,10,7,3,17,20,,18,54,.333,4,19,.211,10,19,.526,10,33,6,7,1,18,26
4,4,2015-11-21,,Middle Tennessee,L,66,69,18,45,.400,8,20,.400,22,31,.710,5,32,9,8,2,14,22,,22,53,.415,10,23,.435,15,27,.556,7,32,10,6,1,12,26
5,5,2015-11-24,,Reinhardt,W,77,61,31,69,.449,4,13,.308,11,19,.579,14,46,17,9,5,19,17,,21,62,.339,9,34,.265,10,18,.556,9,34,16,7,3,20,21
6,6,2015-11-28,@,Kennesaw State,W,56,49,21,50,.420,3,12,.250,11,16,.688,12,38,6,10,2,13,17,,19,53,.358,5,17,.294,6,14,.429,11,30,11,5,3,12,16
7,7,2015-12-05,,Stetson,W,74,54,31,65,.477,2,17,.118,10,11,.909,15,39,15,8,6,13,18,,16,47,.340,1,12,.083,21,26,.808,4,20,4,6,1,16,13
8,8,2015-12-12,N,Grambling,W,64,52,20,49,.408,10,22,.455,14,19,.737,8,39,14,4,1,20,16,,21,63,.333,3,22,.136,7,11,.636,9,28,11,8,0,10,17
9,9,2015-12-14,@,Stetson,W (2 OT),93,90,34,79,.430,9,19,.474,16,20,.800,21,46,8,8,7,13,24,,28,69,.406,13,32,.406,21,30,.700,13,36,18,6,2,11,22
10,10,2015-12-17,,Lipscomb,W,89,86,28,58,.483,6,19,.316,27,40,.675,16,36,8,6,7,15,23,,26,48,.542,10,18,.556,24,35,.686,5,27,17,7,2,16,27
11,11,2015-12-19,N,Alcorn State,W,81,76,29,55,.527,9,16,.563,14,19,.737,9,31,23,6,9,14,18,,28,63,.444,11,25,.440,9,14,.643,12,30,16,5,3,12,16
12,12,2015-12-22,@,Illinois State,L,55,66,23,61,.377,6,21,.286,3,8,.375,9,28,12,10,3,8,17,,22,47,.468,9,23,.391,13,16,.813,6,37,14,3,8,16,13
13,13,2015-12-29,@,Tennessee,L,69,74,27,57,.474,7,17,.412,8,13,.615,8,29,14,10,2,14,19,,26,57,.456,9,22,.409,13,20,.650,13,38,14,10,5,14,13
14,14,2016-01-02,@,Southeast Missouri State,W,72,66,25,55,.455,5,18,.278,17,23,.739,10,36,12,7,3,15,19,,24,59,.407,3,14,.214,15,25,.600,10,33,13,4,0,13,16
15,15,2016-01-06,@,Eastern Illinois,W,66,61,20,50,.400,8,20,.400,18,24,.750,8,32,11,8,3,9,21,,22,51,.431,7,23,.304,10,16,.625,9,36,14,3,0,11,20
16,16,2016-01-09,,Southern Illinois-Edwardsville,W,63,60,23,53,.434,4,15,.267,13,21,.619,8,33,9,4,5,14,27,,17,47,.362,9,22,.409,17,27,.630,8,33,10,3,2,14,22
17,17,2016-01-14,,Austin Peay,W,66,52,27,52,.519,4,16,.250,8,17,.471,8,38,8,4,1,16,16,,19,54,.352,4,18,.222,10,17,.588,7,28,5,8,1,15,17
18,18,2016-01-16,,Murray State,W,73,71,26,50,.520,6,15,.400,15,21,.714,9,32,10,6,5,14,23,,20,53,.377,9,25,.360,22,29,.759,7,24,12,2,5,9,19
19,19,2016-01-24,@,Belmont,L,95,103,32,64,.500,3,14,.214,28,46,.609,11,34,8,9,5,8,26,,36,62,.581,9,24,.375,22,29,.759,3,32,19,3,3,12,31
20,20,2016-01-28,@,Tennessee Tech,L,79,81,25,59,.424,7,16,.438,22,31,.710,9,35,6,6,3,11,25,,24,58,.414,10,23,.435,23,33,.697,8,33,14,4,5,12,23
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
