Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Piedmont,W,110,72,38,66,.576,14,31,.452,20,27,.741,12,30,21,8,6,11,27,,22,44,.500,3,11,.273,25,30,.833,5,20,9,3,1,23,26
2,2,2015-11-16,@,Air Force,L,70,80,21,65,.323,7,29,.241,21,31,.677,17,39,11,8,5,14,27,,29,49,.592,3,12,.250,19,32,.594,5,31,19,8,3,13,25
3,3,2015-11-18,@,New Mexico State,L,63,76,22,57,.386,7,23,.304,12,14,.857,3,26,7,3,2,12,18,,32,64,.500,6,12,.500,6,15,.400,14,46,18,4,1,15,12
4,4,2015-11-24,,Jackson State,W (1 OT),86,82,22,53,.415,5,19,.263,37,45,.822,7,36,12,7,8,13,18,,32,86,.372,12,30,.400,6,15,.400,23,49,15,7,5,12,32
5,5,2015-11-27,,Robert Morris,W,85,72,28,65,.431,7,21,.333,22,25,.880,15,42,19,6,6,12,12,,28,65,.431,8,24,.333,8,12,.667,9,30,16,5,7,16,18
6,6,2015-11-28,,Cincinnati-Clermont,W,91,66,34,54,.630,6,14,.429,17,27,.630,8,32,25,7,8,10,18,,23,58,.397,5,15,.333,15,17,.882,6,22,14,5,2,11,23
7,7,2015-11-29,,Mississippi Valley State,W,101,64,37,71,.521,10,26,.385,17,19,.895,10,46,25,6,3,10,21,,22,67,.328,4,14,.286,16,25,.640,9,32,11,3,2,9,20
8,8,2015-12-02,,ETSU,W,63,61,14,49,.286,4,20,.200,31,38,.816,13,39,6,2,9,20,17,,26,71,.366,4,15,.267,5,9,.556,11,30,11,11,5,11,29
9,9,2015-12-05,@,Lipscomb,W,81,78,27,71,.380,12,31,.387,15,18,.833,10,40,15,6,5,14,18,,28,63,.444,11,37,.297,11,16,.688,6,37,21,8,5,16,17
10,10,2015-12-12,@,Arkansas,L,57,83,20,59,.339,7,24,.292,10,20,.500,7,32,13,3,4,12,19,,31,62,.500,7,15,.467,14,21,.667,6,39,21,4,13,10,19
11,11,2015-12-15,@,Chattanooga,L,69,80,26,54,.481,10,21,.476,7,13,.538,7,25,16,9,4,12,14,,30,60,.500,12,20,.600,8,10,.800,12,37,13,8,3,14,14
12,12,2015-12-18,,Miami (OH),W,77,64,25,47,.532,8,21,.381,19,23,.826,8,22,12,6,3,11,17,,22,45,.489,5,13,.385,15,19,.789,7,23,15,6,1,14,21
13,13,2015-12-22,@,Iowa,L,63,85,22,57,.386,8,26,.308,11,16,.688,9,35,11,4,1,18,14,,32,70,.457,11,30,.367,10,13,.769,11,39,19,8,4,10,15
14,14,2015-12-31,,Eastern Illinois,W,94,84,32,51,.627,13,24,.542,17,26,.654,6,33,23,4,4,11,17,,30,63,.476,12,30,.400,12,21,.571,9,25,17,5,0,6,20
15,15,2016-01-02,,Southern Illinois-Edwardsville,W,86,63,31,54,.574,8,20,.400,16,20,.800,7,28,18,7,5,12,22,,20,51,.392,5,14,.357,18,25,.720,12,27,9,4,1,16,20
16,16,2016-01-07,@,Murray State,W,71,65,17,41,.415,3,10,.300,34,39,.872,5,32,7,3,2,17,22,,18,64,.281,6,28,.214,23,28,.821,17,35,15,10,2,8,27
17,17,2016-01-09,@,Austin Peay,W,72,66,26,48,.542,12,24,.500,8,15,.533,4,28,14,5,2,15,16,,26,55,.473,6,16,.375,8,18,.444,10,33,17,8,3,9,16
