Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,,Huston-Tillotson,W,79,45,27,53,.509,2,9,.222,23,38,.605,12,49,17,8,1,15,25,,15,62,.242,1,26,.038,14,22,.636,12,31,6,9,5,14,31
2,2,2013-11-12,@,Iowa State,L,50,80,18,63,.286,6,22,.273,8,12,.667,9,31,9,6,1,11,18,,28,53,.528,11,25,.440,13,21,.619,7,37,18,5,3,11,15
3,3,2013-11-15,,IPFW,W,72,71,26,52,.500,4,10,.400,16,20,.800,7,27,7,7,2,10,21,,24,51,.471,7,24,.292,16,24,.667,8,25,14,5,3,11,21
4,4,2013-11-16,,Tennessee Tech,L,60,62,18,46,.391,4,10,.400,20,27,.741,9,27,6,6,2,12,24,,20,46,.435,6,16,.375,16,28,.571,11,29,11,4,3,13,21
5,5,2013-11-17,,Texas-Rio Grande Valley,W,72,61,25,53,.472,7,15,.467,15,22,.682,10,34,19,5,3,9,20,,21,56,.375,5,18,.278,14,22,.636,12,30,10,5,1,9,20
6,6,2013-11-20,,Rice,L,61,63,21,52,.404,4,16,.250,15,20,.750,6,27,9,6,4,6,21,,20,48,.417,7,25,.280,16,25,.640,8,31,11,4,2,10,17
7,7,2013-11-23,@,UTSA,L,76,87,27,51,.529,8,17,.471,14,25,.560,5,16,10,14,3,10,28,,24,39,.615,9,18,.500,30,38,.789,8,30,14,7,3,20,20
8,8,2013-11-26,,Central Michigan,L,64,68,22,49,.449,8,22,.364,12,16,.750,10,29,17,0,3,12,21,,18,41,.439,10,25,.400,22,29,.759,5,21,13,6,2,7,16
9,9,2013-11-30,@,Houston,L,67,78,24,52,.462,4,11,.364,15,20,.750,10,27,11,5,2,15,23,,26,53,.491,3,11,.273,23,29,.793,10,28,16,13,8,7,19
10,10,2013-12-05,@,Oklahoma,L,56,78,21,55,.382,4,14,.286,10,16,.625,13,36,8,6,4,20,15,,29,64,.453,9,22,.409,11,16,.688,13,32,17,10,9,9,17
11,11,2013-12-08,,Texas-Permian Basin,L,77,82,25,59,.424,4,14,.286,23,34,.676,7,26,12,8,0,8,25,,23,51,.451,8,20,.400,28,35,.800,7,34,14,5,5,14,26
12,12,2013-12-20,,Cal State Northridge,L,66,67,24,53,.453,3,7,.429,15,20,.750,10,27,9,6,2,9,15,,23,44,.523,5,10,.500,16,20,.800,5,24,9,6,1,12,22
13,13,2013-12-28,@,Minnesota,L,44,65,17,48,.354,1,15,.067,9,16,.563,8,31,9,6,6,17,19,,22,59,.373,9,26,.346,12,22,.545,10,34,17,9,6,12,19
14,14,2014-01-02,@,Central Arkansas,W,81,66,28,55,.509,2,10,.200,23,33,.697,8,34,13,13,4,19,24,,23,59,.390,5,23,.217,15,26,.577,9,26,9,9,5,21,24
15,15,2014-01-04,@,Oral Roberts,W,71,64,25,52,.481,5,10,.500,16,28,.571,12,35,14,7,4,9,19,,23,54,.426,4,14,.286,14,23,.609,13,31,7,3,3,11,21
16,16,2014-01-09,,Northwestern State,W,101,87,35,58,.603,6,10,.600,25,36,.694,9,37,17,7,2,10,25,,30,63,.476,6,14,.429,21,28,.750,7,24,15,5,2,11,24
17,17,2014-01-11,,Stephen F. Austin,L,70,80,23,46,.500,5,12,.417,19,29,.655,5,20,12,5,2,10,22,,28,56,.500,5,15,.333,19,28,.679,16,31,15,4,4,7,21
18,18,2014-01-16,@,McNeese State,W,77,61,29,56,.518,6,15,.400,13,17,.765,14,35,13,5,1,9,18,,20,50,.400,5,24,.208,16,20,.800,10,24,12,4,2,7,19
19,19,2014-01-18,@,Nicholls State,W,70,67,23,53,.434,4,12,.333,20,25,.800,12,35,6,8,0,10,15,,24,53,.453,8,24,.333,11,14,.786,6,25,11,3,4,10,18
