Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Fordham,W,77,72,28,65,.431,9,25,.360,12,21,.571,16,39,14,7,3,15,14,,27,61,.443,12,26,.462,6,6,1.000,9,33,16,6,8,16,18
2,2,2015-11-17,@,Louisiana Tech,L,68,80,24,74,.324,8,29,.276,12,18,.667,16,40,14,12,2,15,23,,29,62,.468,6,22,.273,16,24,.667,9,35,11,10,4,18,17
3,3,2015-11-20,@,Ohio State,W,73,68,24,64,.375,6,23,.261,19,22,.864,17,45,9,6,2,12,24,,23,55,.418,9,23,.391,13,27,.481,12,35,12,1,8,13,21
4,4,2015-11-23,@,Memphis,W,68,64,26,78,.333,5,28,.179,11,19,.579,19,44,13,10,3,11,33,,16,54,.296,4,21,.190,28,44,.636,15,51,11,7,7,16,23
5,5,2015-11-25,,Grambling,W,73,40,25,68,.368,4,28,.143,19,25,.760,19,51,17,8,5,18,21,,13,49,.265,1,13,.077,13,21,.619,7,32,3,8,7,24,23
6,6,2015-11-29,@,Rice,W,92,74,32,56,.571,10,22,.455,18,26,.692,15,39,15,7,2,17,21,,24,57,.421,7,29,.241,19,27,.704,8,20,15,10,3,10,18
7,7,2015-12-01,@,Texas,L (1 OT),73,80,23,70,.329,5,29,.172,22,27,.815,19,42,14,8,2,15,25,,26,56,.464,11,31,.355,17,26,.654,10,31,15,3,8,15,22
8,8,2015-12-03,,North Texas,W,90,67,32,60,.533,9,18,.500,17,27,.630,13,45,25,10,3,20,22,,26,58,.448,6,17,.353,9,27,.333,9,28,15,12,4,17,19
9,9,2015-12-05,@,UTEP,W,76,62,26,58,.448,9,28,.321,15,20,.750,8,38,18,5,3,12,20,,24,56,.429,5,23,.217,9,17,.529,5,29,17,9,1,11,22
10,10,2015-12-08,,Bradley,W,97,61,33,69,.478,17,40,.425,14,22,.636,11,34,27,10,2,7,22,,19,47,.404,5,19,.263,18,23,.783,5,33,9,5,2,24,22
