,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Southeastern Louisiana,W,90,77,24,49,.490,6,12,.500,36,47,.766,9,38,11,6,10,19,21,,27,65,.415,10,28,.357,13,20,.650,7,23,16,11,3,17,37
2,2,2015-11-19,,Houston Baptist,W,90,63,30,61,.492,6,18,.333,24,30,.800,8,34,21,5,5,8,24,,21,47,.447,4,13,.308,17,27,.630,4,22,13,2,2,16,20
3,3,2015-11-21,,South Dakota State,L,67,76,22,66,.333,7,27,.259,16,24,.667,17,38,12,9,7,19,22,,23,55,.418,7,20,.350,23,28,.821,7,35,11,8,3,21,21
4,4,2015-11-24,N,Rhode Island,L,60,66,20,50,.400,3,11,.273,17,22,.773,8,27,7,7,2,12,26,,20,46,.435,5,16,.313,21,33,.636,8,30,9,6,4,11,22
5,5,2015-11-25,N,Illinois State,W,71,60,27,53,.509,6,17,.353,11,17,.647,7,31,13,5,4,17,22,,20,55,.364,3,18,.167,17,27,.630,12,30,5,9,2,14,19
6,6,2015-12-02,,SMU,L,70,75,26,59,.441,9,27,.333,9,13,.692,6,28,16,5,8,11,23,,28,64,.438,7,16,.438,12,21,.571,15,43,12,7,4,10,18
7,7,2015-12-05,,Colgate,W,76,49,30,59,.508,5,14,.357,11,18,.611,14,39,19,5,5,11,14,,18,49,.367,7,26,.269,6,10,.600,4,19,11,3,3,14,18
8,8,2015-12-08,@,Washington,L,67,92,27,63,.429,3,12,.250,10,22,.455,17,38,7,7,3,26,25,,31,64,.484,11,24,.458,19,28,.679,14,39,18,16,6,19,22
9,9,2015-12-11,,Prairie View,W,73,55,22,46,.478,4,15,.267,25,38,.658,9,35,16,7,6,23,25,,18,53,.340,0,10,.000,19,28,.679,8,30,10,9,0,20,33
10,10,2015-12-20,,Abilene Christian,W,80,69,28,58,.483,4,12,.333,20,26,.769,8,32,16,4,2,10,22,,24,53,.453,4,19,.211,17,26,.654,7,29,11,6,4,13,26
11,11,2015-12-23,@,Bradley,W,53,49,14,47,.298,4,17,.235,21,40,.525,11,33,6,10,1,14,19,,16,45,.356,5,21,.238,12,17,.706,7,35,6,4,1,21,37
12,12,2015-12-28,,Delaware State,W,75,47,25,60,.417,9,22,.409,16,23,.696,17,43,17,8,1,11,18,,15,48,.313,10,25,.400,7,15,.467,7,27,12,5,0,16,22
13,13,2016-01-02,@,Oklahoma State,L,48,69,15,50,.300,1,17,.059,17,25,.680,9,28,4,1,0,15,17,,23,56,.411,6,18,.333,17,18,.944,11,37,11,10,8,10,24
14,14,2016-01-04,,West Virginia,L,87,95,23,54,.426,6,13,.462,35,40,.875,6,26,12,10,3,18,27,,30,52,.577,9,17,.529,26,39,.667,9,32,17,10,5,22,33
15,15,2016-01-09,,Texas,W,58,57,20,47,.426,5,12,.417,13,24,.542,5,35,12,1,7,13,14,,23,62,.371,3,21,.143,8,11,.727,5,28,12,6,3,5,21
16,16,2016-01-13,@,Baylor,L,54,82,21,52,.404,7,17,.412,5,8,.625,6,18,17,6,2,10,19,,31,49,.633,5,12,.417,15,19,.789,5,33,27,8,4,10,13
17,17,2016-01-16,@,Kansas,L,63,70,24,65,.369,7,17,.412,8,11,.727,13,34,6,4,1,10,17,,26,60,.433,5,20,.250,13,19,.684,15,42,17,6,8,10,14
18,18,2016-01-18,,Texas Tech,L,69,76,23,62,.371,6,18,.333,17,28,.607,13,31,11,5,5,7,18,,26,47,.553,9,15,.600,15,21,.714,4,31,21,2,10,11,23
19,19,2016-01-23,,Iowa State,L,60,73,25,64,.391,4,17,.235,6,12,.500,8,30,16,11,2,17,15,,27,50,.540,8,15,.533,11,15,.733,2,29,17,5,6,23,17
20,20,2016-01-26,@,Texas,L,54,71,18,54,.333,3,13,.231,15,22,.682,9,29,5,5,2,18,29,,22,55,.400,3,15,.200,24,36,.667,12,40,13,7,5,15,27
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-30,,Tennessee,W,75,63,23,55,.418,5,12,.417,24,38,.632,11,36,18,6,2,12,16,,23,69,.333,8,31,.258,9,13,.692,16,39,15,10,7,13,25
22,22,2016-02-02,@,Oklahoma,L,72,95,26,63,.413,8,21,.381,12,19,.632,8,30,11,7,0,15,18,,33,65,.508,11,30,.367,18,22,.818,10,38,20,11,10,14,16
23,23,2016-02-06,,Kansas,L,56,75,14,49,.286,5,18,.278,23,33,.697,8,21,9,3,3,9,18,,29,58,.500,6,22,.273,11,13,.846,13,43,18,4,5,13,25
24,24,2016-02-08,,Oklahoma State,W,63,56,22,50,.440,7,17,.412,12,19,.632,5,24,12,12,4,11,15,,18,46,.391,8,24,.333,12,15,.800,8,32,10,8,4,22,20
25,25,2016-02-13,@,West Virginia,L,42,73,15,45,.333,3,8,.375,9,23,.391,5,35,10,6,5,26,25,,24,64,.375,4,16,.250,21,34,.618,15,48,14,15,2,11,20
26,26,2016-02-16,,Kansas State,L,49,63,16,49,.327,3,16,.188,14,24,.583,11,30,7,5,8,17,23,,19,49,.388,7,15,.467,18,29,.621,12,34,13,12,7,17,19
27,27,2016-02-20,@,Iowa State,L,83,92,28,68,.412,11,28,.393,16,23,.696,17,40,14,4,1,14,21,,32,59,.542,11,28,.393,17,20,.850,4,30,24,9,7,8,16
28,28,2016-02-23,@,Texas Tech,L,79,83,28,59,.475,9,20,.450,14,22,.636,8,21,7,2,5,6,24,,26,52,.500,5,14,.357,26,33,.788,10,30,14,6,8,5,17
29,29,2016-02-27,,Baylor,L,71,86,19,47,.404,8,15,.533,25,33,.758,2,18,10,10,4,10,23,,29,59,.492,7,15,.467,21,30,.700,15,43,20,3,6,15,26
30,30,2016-03-02,@,Kansas State,L,54,79,18,54,.333,2,14,.143,16,28,.571,10,28,11,9,2,12,18,,26,46,.565,10,19,.526,17,21,.810,2,32,23,6,5,15,21
31,31,2016-03-05,,Oklahoma,L,67,75,22,51,.431,6,21,.286,17,22,.773,5,25,8,10,3,16,21,,23,46,.500,11,22,.500,18,23,.783,3,26,15,7,2,16,19
32,32,2016-03-09,N,Texas Tech,W,67,62,20,47,.426,10,21,.476,17,23,.739,8,33,12,9,9,14,15,,25,63,.397,5,18,.278,7,11,.636,12,34,14,7,1,10,21
33,33,2016-03-10,N,West Virginia,L,66,86,19,54,.352,5,19,.263,23,29,.793,12,29,9,9,4,14,21,,30,54,.556,11,24,.458,15,25,.600,12,36,17,8,6,14,26
