Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Loyola (LA),W,96,49,30,63,.476,3,15,.200,33,47,.702,17,52,16,9,1,15,20,,17,56,.304,4,24,.167,11,17,.647,3,27,10,7,3,19,34
2,2,2015-11-21,,Texas State,W,77,62,26,48,.542,11,19,.579,14,22,.636,4,30,16,6,1,15,25,,19,53,.358,5,16,.313,19,26,.731,10,28,11,1,2,16,22
3,3,2015-11-22,,Alcorn State,W,88,66,30,61,.492,8,20,.400,20,25,.800,6,35,23,6,7,9,19,,22,62,.355,7,22,.318,15,22,.682,13,37,13,1,1,17,20
4,4,2015-11-24,,Florida A&M,W,72,54,27,54,.500,7,15,.467,11,17,.647,6,37,16,6,3,21,17,,20,58,.345,6,22,.273,8,13,.615,7,30,9,12,0,20,19
5,5,2015-11-27,N,Southern Illinois,W,71,66,22,51,.431,3,12,.250,24,38,.632,8,35,12,4,2,13,19,,26,64,.406,5,22,.227,9,9,1.000,6,32,8,3,4,12,28
6,6,2015-11-28,N,Colorado State,W (2 OT),99,90,37,86,.430,4,25,.160,21,29,.724,9,44,10,9,7,8,24,,29,90,.322,12,41,.293,20,30,.667,25,69,14,3,1,21,27
7,7,2015-12-02,@,New Mexico State,L,59,73,22,54,.407,8,24,.333,7,12,.583,1,24,12,3,5,13,21,,29,67,.433,6,22,.273,9,16,.563,16,48,16,7,7,12,12
8,8,2015-12-05,,Texas-Arlington,L,62,76,24,56,.429,5,23,.217,9,17,.529,5,29,17,9,1,11,22,,26,58,.448,9,28,.321,15,20,.750,8,38,18,5,3,12,20
9,9,2015-12-13,@,Washington State,L,68,84,23,63,.365,5,22,.227,17,26,.654,10,29,10,4,1,13,23,,26,47,.553,8,16,.500,24,36,.667,7,36,15,9,9,14,24
10,10,2015-12-19,,New Mexico State,L,53,73,19,55,.345,4,12,.333,11,16,.688,8,23,13,4,2,11,21,,24,49,.490,11,19,.579,14,19,.737,9,36,15,2,2,16,17
11,11,2015-12-21,,Norfolk State,L,76,85,26,61,.426,9,28,.321,15,24,.625,9,23,17,4,5,10,25,,24,52,.462,9,18,.500,28,30,.933,11,37,12,3,4,18,25
12,12,2015-12-22,,Sam Houston State,W,87,68,28,56,.500,12,26,.462,19,28,.679,11,41,20,5,4,10,19,,24,60,.400,11,35,.314,9,20,.450,11,33,14,5,2,10,24
13,13,2015-12-29,,Texas-Rio Grande Valley,W,85,64,33,71,.465,8,18,.444,11,25,.440,22,54,26,12,3,12,15,,25,65,.385,7,25,.280,7,15,.467,11,35,19,7,1,14,17
14,14,2016-01-01,,Rice,W,61,60,21,53,.396,6,17,.353,13,20,.650,7,29,8,6,5,10,20,,20,53,.377,5,20,.250,15,20,.750,10,39,13,2,3,14,18
15,15,2016-01-03,,North Texas,W,84,75,29,64,.453,4,18,.222,22,35,.629,7,41,15,4,3,9,25,,28,68,.412,3,15,.200,16,32,.500,12,48,13,5,0,12,28
16,16,2016-01-07,@,Middle Tennessee,L,72,78,23,57,.404,5,16,.313,21,26,.808,9,34,11,2,4,10,16,,29,69,.420,9,25,.360,11,19,.579,15,42,15,4,4,7,20
17,17,2016-01-09,@,Alabama-Birmingham,L,80,87,29,62,.468,8,17,.471,14,21,.667,7,39,16,3,7,12,23,,26,68,.382,8,27,.296,27,36,.750,14,44,18,7,8,8,21
18,18,2016-01-16,@,UTSA,L,67,71,25,56,.446,7,19,.368,10,19,.526,2,32,16,5,3,14,22,,24,63,.381,5,22,.227,18,26,.692,11,41,11,4,2,14,17
19,19,2016-01-21,,Florida Atlantic,W,71,56,25,50,.500,4,11,.364,17,22,.773,4,33,18,9,4,11,12,,21,56,.375,11,26,.423,3,6,.500,5,28,15,4,2,18,22
20,20,2016-01-23,,Florida International,L,69,79,25,61,.410,8,24,.333,11,14,.786,8,34,16,2,3,12,17,,31,58,.534,8,18,.444,9,15,.600,5,35,21,8,1,10,17
21,21,2016-01-28,@,Southern Miss,L,58,71,20,50,.400,8,22,.364,10,15,.667,5,33,13,9,5,16,24,,18,54,.333,12,33,.364,23,29,.793,9,32,13,6,3,13,16
22,22,2016-01-31,@,Louisiana Tech,L,70,78,27,53,.509,2,13,.154,14,22,.636,8,34,17,8,6,22,18,,25,60,.417,12,27,.444,16,23,.696,9,31,15,6,4,13,19
23,23,2016-02-04,,Marshall,W,112,108,37,66,.561,11,18,.611,27,37,.730,10,34,17,6,3,11,22,,38,71,.535,11,28,.393,21,25,.840,10,31,20,3,1,12,24
24,24,2016-02-06,,Western Kentucky,W (1 OT),93,89,33,77,.429,5,21,.238,22,32,.688,15,35,16,9,2,11,26,,30,62,.484,7,21,.333,22,37,.595,15,45,17,6,7,19,27
25,25,2016-02-11,@,Florida International,W,84,74,27,48,.563,11,19,.579,19,30,.633,5,24,19,4,1,12,24,,26,53,.491,7,18,.389,15,32,.469,14,32,15,5,1,14,21
26,26,2016-02-13,@,Florida Atlantic,W,89,82,32,62,.516,5,10,.500,20,27,.741,9,35,17,9,2,13,16,,28,60,.467,12,27,.444,14,17,.824,8,31,16,8,7,16,19
27,27,2016-02-18,,Southern Miss,W,78,73,28,54,.519,10,29,.345,12,18,.667,10,32,18,4,4,13,15,,28,59,.475,9,28,.321,8,9,.889,4,23,14,9,1,12,15
