Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,,Sam Houston State,L,73,77,26,64,.406,2,14,.143,19,29,.655,13,34,8,7,2,18,34,,21,46,.457,5,12,.417,30,50,.600,10,34,11,7,3,22,22
2,2,2013-11-11,,Houston,L,65,77,22,51,.431,4,17,.235,17,27,.630,8,27,10,3,1,13,24,,27,52,.519,3,13,.231,20,30,.667,11,34,17,9,2,15,18
3,3,2013-11-13,,Huston-Tillotson,W,94,62,33,70,.471,7,25,.280,21,31,.677,11,44,24,13,2,17,25,,19,54,.352,2,16,.125,22,36,.611,8,35,12,7,3,21,21
4,4,2013-11-15,N,Tennessee Tech,W,81,78,25,60,.417,7,15,.467,24,27,.889,12,31,7,6,2,12,18,,29,59,.492,7,21,.333,13,20,.650,12,36,13,7,4,15,22
5,5,2013-11-16,N,IPFW,L,60,66,21,56,.375,1,14,.071,17,23,.739,11,27,8,7,4,9,20,,23,63,.365,6,23,.261,14,18,.778,19,45,12,4,2,11,19
6,6,2013-11-17,@,Texas A&M-Corpus Christi,L,61,72,21,56,.375,5,18,.278,14,22,.636,12,30,10,5,1,9,20,,25,53,.472,7,15,.467,15,22,.682,10,34,19,5,3,9,20
7,7,2013-11-21,@,UTSA,W,70,55,26,56,.464,8,20,.400,10,13,.769,15,35,17,2,5,16,22,,17,44,.386,4,18,.222,17,26,.654,5,21,6,6,2,13,12
8,8,2013-11-27,@,Lamar,W,66,61,25,54,.463,1,5,.200,15,29,.517,12,37,9,10,3,17,19,,20,57,.351,7,19,.368,14,25,.560,14,35,13,8,9,17,19
9,9,2013-11-30,@,Bradley,L,54,74,20,59,.339,2,17,.118,12,20,.600,14,30,8,8,3,12,17,,28,51,.549,4,14,.286,14,21,.667,5,28,10,6,4,13,18
10,10,2013-12-02,@,Southern Illinois-Edwardsville,L,49,55,19,54,.352,3,9,.333,8,15,.533,9,36,8,10,3,15,23,,16,49,.327,6,22,.273,17,28,.607,11,36,11,5,6,15,19
