,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,New Mexico,L,57,86,17,49,.347,6,21,.286,17,26,.654,8,23,10,9,0,19,23,,32,54,.593,5,17,.294,17,25,.680,8,32,20,9,5,13,25
2,2,2015-11-14,@,Creighton,L,70,93,26,52,.500,7,17,.412,11,22,.500,7,29,10,5,1,19,19,,38,72,.528,10,28,.357,7,12,.583,14,39,22,8,2,10,22
3,3,2015-11-19,@,Clemson,L,56,76,21,59,.356,9,29,.310,5,7,.714,8,26,13,2,1,6,16,,30,60,.500,7,19,.368,9,14,.643,10,36,18,2,6,7,11
4,4,2015-11-23,N,Howard,L,81,87,23,58,.397,7,17,.412,28,39,.718,13,35,14,2,4,12,27,,25,57,.439,6,18,.333,31,37,.838,9,35,6,7,5,9,30
5,5,2015-11-25,N,UTSA,W,91,80,29,57,.509,7,17,.412,26,50,.520,8,39,12,4,3,11,14,,32,71,.451,11,29,.379,5,9,.556,6,37,13,6,4,14,34
6,6,2015-11-28,@,Washington State,L,65,77,25,57,.439,6,21,.286,9,15,.600,7,24,6,6,0,13,11,,32,58,.552,7,19,.368,6,7,.857,7,31,20,4,8,14,15
7,7,2015-12-02,@,Mississippi State,L,73,86,28,61,.459,6,17,.353,11,21,.524,13,31,15,3,2,12,8,,35,67,.522,9,27,.333,7,7,1.000,8,27,17,5,10,7,17
8,8,2015-12-05,@,Stephen F. Austin,L,62,66,24,49,.490,4,14,.286,10,17,.588,10,31,14,6,4,20,19,,23,58,.397,10,23,.435,10,11,.909,10,25,15,6,2,13,21
9,9,2015-12-12,@,Central Michigan,L,71,79,30,67,.448,8,30,.267,3,9,.333,16,35,19,4,3,14,17,,28,50,.560,14,25,.560,9,12,.750,3,24,15,7,2,18,19
10,10,2015-12-16,@,Iona,L,73,83,28,65,.431,5,17,.294,12,16,.750,13,32,10,6,0,17,13,,30,55,.545,9,21,.429,14,15,.933,5,29,18,7,4,16,19
11,11,2015-12-27,@,Syracuse,L,67,80,27,53,.509,8,19,.421,5,10,.500,8,28,22,3,1,15,15,,29,62,.468,8,26,.308,14,18,.778,12,32,15,14,6,5,11
12,12,2015-12-29,@,Baylor,L,59,72,23,59,.390,6,19,.316,7,11,.636,9,29,17,6,5,14,19,,26,57,.456,9,17,.529,11,17,.647,10,34,23,6,7,12,15
13,13,2016-01-02,,Southern,W,88,66,33,66,.500,13,27,.481,9,13,.692,17,44,23,4,6,12,15,,24,66,.364,3,14,.214,15,16,.938,11,27,8,5,5,5,14
14,14,2016-01-04,,Alcorn State,W,74,58,23,56,.411,10,25,.400,18,23,.783,13,42,15,4,6,11,16,,22,71,.310,3,17,.176,11,15,.733,14,33,10,3,2,7,18
15,15,2016-01-09,,Prairie View,W,64,38,25,56,.446,4,17,.235,10,17,.588,14,44,11,5,3,12,15,,16,55,.291,1,15,.067,5,9,.556,7,23,2,2,1,13,17
16,16,2016-01-16,@,Jackson State,W,71,65,24,53,.453,6,20,.300,17,25,.680,6,32,8,1,2,11,16,,27,56,.482,3,17,.176,8,15,.533,1,29,13,8,4,9,23
17,17,2016-01-18,@,Grambling,W,69,54,27,54,.500,6,24,.250,9,17,.529,11,35,15,4,4,10,10,,20,53,.377,4,14,.286,10,15,.667,9,28,11,6,1,11,19
18,18,2016-01-23,,Mississippi Valley State,W,75,60,29,59,.492,4,20,.200,13,22,.591,16,43,17,3,7,20,14,,25,68,.368,5,16,.313,5,6,.833,8,23,13,14,2,9,27
19,19,2016-01-25,,Arkansas-Pine Bluff,W,78,49,28,52,.538,7,18,.389,15,25,.600,12,34,20,6,3,14,18,,18,48,.375,3,15,.200,10,15,.667,8,24,11,6,1,15,23
20,20,2016-01-30,@,Alabama State,W,75,72,24,66,.364,4,21,.190,23,26,.885,16,44,14,6,4,11,10,,28,72,.389,9,22,.409,7,8,.875,13,36,18,6,7,9,19
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-01,@,Alabama A&M,W,71,68,26,53,.491,4,17,.235,15,25,.600,6,31,10,3,3,7,21,,22,57,.386,6,21,.286,18,25,.720,8,30,10,4,1,4,23
22,22,2016-02-06,@,Prairie View,L,55,59,16,56,.286,2,21,.095,21,35,.600,11,35,11,3,3,7,17,,20,54,.370,5,15,.333,14,17,.824,7,40,11,4,6,11,30
23,23,2016-02-13,,Jackson State,W,76,60,24,41,.585,5,14,.357,23,36,.639,5,32,14,5,4,17,13,,24,61,.393,2,13,.154,10,15,.667,8,23,11,8,1,11,27
24,24,2016-02-15,,Grambling,W,79,72,25,52,.481,9,22,.409,20,40,.500,10,37,17,6,3,9,11,,26,64,.406,8,22,.364,12,13,.923,8,29,12,3,3,11,31
25,25,2016-02-20,@,Mississippi Valley State,W,98,67,33,60,.550,9,28,.321,23,29,.793,8,34,11,8,2,8,12,,28,65,.431,6,21,.286,5,6,.833,6,25,13,2,0,14,20
26,26,2016-02-22,@,Arkansas-Pine Bluff,W,54,52,17,40,.425,1,10,.100,19,26,.731,11,32,8,4,1,17,10,,21,50,.420,4,16,.250,6,8,.750,6,18,11,9,3,13,20
27,27,2016-02-27,,Alabama A&M,W,77,54,32,63,.508,8,18,.444,5,9,.556,11,36,24,6,3,12,14,,19,50,.380,4,12,.333,12,15,.800,6,25,15,5,4,16,17
28,28,2016-02-29,,Alabama State,W,96,86,34,58,.586,10,18,.556,18,31,.581,10,38,19,3,4,14,13,,32,69,.464,11,22,.500,11,14,.786,10,29,11,6,2,11,25
