Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-16,,Texas-Tyler,W,84,49,30,63,.476,7,23,.304,17,30,.567,16,43,15,6,4,14,25,,14,44,.318,4,15,.267,17,25,.680,4,25,6,2,1,25,31
2,2,2015-11-21,@,UTEP,L,62,77,19,53,.358,5,16,.313,19,26,.731,10,28,11,1,2,16,22,,26,48,.542,11,19,.579,14,22,.636,4,30,16,6,1,15,25
3,3,2015-11-28,@,McNeese State,W,70,67,25,59,.424,2,10,.200,18,27,.667,14,45,11,5,3,17,16,,24,57,.421,9,22,.409,10,18,.556,5,24,10,8,10,11,23
4,4,2015-12-02,,UTSA,W,76,53,30,67,.448,3,8,.375,13,18,.722,14,32,16,13,5,7,14,,20,52,.385,3,15,.200,10,10,1.000,9,31,7,4,5,25,20
5,5,2015-12-05,@,Texas A&M-Corpus Christi,L,39,47,9,42,.214,3,11,.273,18,27,.667,11,34,4,9,2,14,22,,15,51,.294,5,21,.238,12,18,.667,13,37,8,8,8,15,24
6,6,2015-12-13,,Texas-Rio Grande Valley,W,68,59,28,54,.519,2,9,.222,10,19,.526,8,24,13,12,2,11,18,,21,42,.500,5,15,.333,12,13,.923,4,28,12,6,2,22,22
7,7,2015-12-16,@,Prairie View,W,62,44,25,61,.410,3,11,.273,9,12,.750,13,43,11,9,3,13,19,,16,59,.271,1,13,.077,11,19,.579,10,32,6,7,2,15,17
8,8,2015-12-18,@,Washington State,L (1 OT),73,78,27,61,.443,4,12,.333,15,20,.750,7,20,11,9,4,7,20,,29,54,.537,6,15,.400,14,19,.737,9,36,14,2,5,19,21
9,9,2015-12-21,,Howard Payne,W,92,43,30,53,.566,7,16,.438,25,34,.735,13,44,14,10,7,18,20,,12,53,.226,2,10,.200,17,27,.630,11,26,4,9,1,19,25
10,10,2015-12-30,,Georgia Southern,W,80,66,25,47,.532,6,13,.462,24,32,.750,10,35,12,5,4,13,22,,17,49,.347,4,18,.222,28,34,.824,9,21,8,4,2,11,28
11,11,2016-01-02,,Georgia State,L,46,58,16,51,.314,3,20,.150,11,20,.550,14,35,11,4,2,12,15,,23,44,.523,6,15,.400,6,9,.667,2,25,13,9,4,11,17
12,12,2016-01-09,@,Appalachian State,L,56,76,20,57,.351,3,8,.375,13,26,.500,8,26,7,4,3,9,19,,27,56,.482,9,27,.333,13,16,.813,9,39,15,5,5,15,26
13,13,2016-01-14,@,South Alabama,W,78,67,28,57,.491,9,21,.429,13,22,.591,14,35,15,5,4,15,21,,24,50,.480,4,14,.286,15,25,.600,8,25,12,10,3,13,22
14,14,2016-01-16,@,Troy,L,57,66,22,52,.423,6,15,.400,7,12,.583,4,22,8,5,2,10,19,,25,51,.490,6,17,.353,10,15,.667,5,31,9,2,2,14,13
15,15,2016-01-21,,Arkansas-Little Rock,L (1 OT),74,77,23,53,.434,8,19,.421,20,28,.714,8,31,12,5,3,14,25,,26,49,.531,10,15,.667,15,30,.500,6,27,13,8,5,15,24
16,16,2016-01-23,,Arkansas State,W,78,68,25,55,.455,9,15,.600,19,27,.704,12,37,13,5,2,6,17,,22,51,.431,7,15,.467,17,19,.895,4,23,7,5,1,8,20
17,17,2016-01-28,@,Louisiana-Lafayette,L,54,80,19,50,.380,3,13,.231,13,18,.722,2,18,12,8,3,9,24,,27,52,.519,7,19,.368,19,24,.792,11,42,13,6,4,14,17
18,18,2016-01-30,@,Louisiana-Monroe,L,59,72,25,60,.417,4,16,.250,5,6,.833,9,26,14,1,3,8,12,,29,57,.509,7,16,.438,7,12,.583,10,36,15,4,1,9,10
19,19,2016-02-04,@,Georgia State,L,56,59,20,46,.435,6,18,.333,10,16,.625,9,29,14,5,1,13,16,,21,46,.457,4,10,.400,13,18,.722,7,25,10,6,1,11,16
20,20,2016-02-06,@,Georgia Southern,L,62,66,23,57,.404,3,16,.188,13,18,.722,13,34,10,6,3,13,18,,23,46,.500,8,19,.421,12,16,.750,5,25,9,9,1,14,19
21,21,2016-02-09,,Texas-Arlington,L,53,65,16,56,.286,3,17,.176,18,24,.750,10,32,9,9,5,13,19,,23,55,.418,8,25,.320,11,19,.579,9,39,15,6,3,14,20
22,22,2016-02-11,,Appalachian State,W,69,68,26,59,.441,4,11,.364,13,16,.813,10,25,10,9,5,8,12,,26,55,.473,7,20,.350,9,10,.900,9,28,11,3,5,14,14
23,23,2016-02-18,,Louisiana-Monroe,L,57,76,18,49,.367,6,14,.429,15,19,.789,8,26,8,3,4,11,11,,31,60,.517,9,24,.375,5,7,.714,9,34,14,4,3,8,13
24,24,2016-02-20,,Louisiana-Lafayette,W,61,57,22,50,.440,3,14,.214,14,21,.667,8,35,11,3,8,11,21,,18,62,.290,4,13,.308,17,30,.567,18,41,9,6,1,7,18
25,25,2016-02-25,@,Arkansas State,W,71,60,28,64,.438,5,17,.294,10,12,.833,7,36,12,3,2,8,21,,19,60,.317,5,17,.294,17,23,.739,9,31,9,5,4,9,13
26,26,2016-02-27,@,Arkansas-Little Rock,L,68,73,23,54,.426,6,20,.300,16,21,.762,13,28,9,5,0,11,18,,24,46,.522,11,20,.550,14,16,.875,8,27,16,1,2,16,17
27,27,2016-03-01,@,Texas-Arlington,L,69,75,25,55,.455,6,21,.286,13,27,.481,6,32,12,3,5,10,23,,22,57,.386,6,25,.240,25,29,.862,10,35,16,6,3,9,22
28,28,2016-03-03,,Troy,W,78,57,30,54,.556,9,14,.643,9,14,.643,5,27,20,7,1,9,16,,20,51,.392,5,20,.250,12,21,.571,9,30,7,2,0,15,15
29,29,2016-03-05,,South Alabama,W,68,57,27,61,.443,2,9,.222,12,21,.571,11,44,14,4,2,9,16,,20,57,.351,5,19,.263,12,19,.632,4,28,10,7,5,11,19
30,30,2016-03-10,N,Georgia State,W,63,61,23,45,.511,7,17,.412,10,16,.625,6,28,19,9,0,14,13,,23,50,.460,7,15,.467,8,12,.667,6,22,12,10,1,12,13
31,31,2016-03-11,N,Texas-Arlington,L,63,72,20,47,.426,2,15,.133,21,29,.724,3,32,8,7,2,15,22,,24,63,.381,9,32,.281,15,21,.714,11,37,14,7,1,13,22
