,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,West Virginia Tech,W,96,65,31,61,.508,12,30,.400,22,31,.710,9,43,25,4,1,11,17,,23,64,.359,6,20,.300,13,16,.813,7,28,8,2,2,15,26
2,2,2015-11-18,@,Youngstown State,W,100,78,36,64,.563,10,24,.417,18,23,.783,4,35,19,3,4,10,17,,27,69,.391,9,25,.360,15,21,.714,9,32,13,5,2,12,21
3,3,2015-11-21,@,Loyola (IL),L,62,69,25,61,.410,6,21,.286,6,10,.600,7,28,11,9,2,11,23,,21,46,.457,8,16,.500,19,25,.760,5,34,8,5,1,17,13
4,4,2015-11-25,N,San Jose State,W,89,74,37,76,.487,10,23,.435,5,12,.417,9,41,25,3,3,6,16,,28,62,.452,8,21,.381,10,18,.556,4,34,21,4,6,9,13
5,5,2015-11-27,N,Loyola (IL),W,82,74,26,50,.520,7,19,.368,23,25,.920,6,27,17,8,2,10,15,,27,66,.409,12,29,.414,8,10,.800,12,29,18,5,3,12,23
6,6,2015-11-28,N,Middle Tennessee,L,70,78,26,56,.464,6,21,.286,12,19,.632,8,27,18,2,0,8,16,,28,53,.528,10,23,.435,12,18,.667,4,29,16,6,0,9,19
7,7,2015-12-02,,Cleveland State,W,76,65,22,46,.478,6,18,.333,26,36,.722,8,29,19,2,1,13,15,,23,54,.426,6,18,.333,13,18,.722,6,25,11,8,1,10,27
8,8,2015-12-06,@,Green Bay,W,71,69,27,58,.466,6,16,.375,11,13,.846,8,29,11,4,5,16,18,,24,55,.436,8,20,.400,13,16,.813,6,29,15,8,3,15,18
9,9,2015-12-09,@,Detroit,L,72,75,25,63,.397,7,21,.333,15,20,.750,9,32,8,5,1,9,17,,27,55,.491,13,27,.481,8,11,.727,4,29,14,4,8,12,20
10,10,2015-12-12,,Oakland,L,64,76,24,69,.348,8,30,.267,8,13,.615,9,35,20,4,0,8,17,,26,61,.426,7,17,.412,17,23,.739,10,45,12,6,2,11,15
11,11,2015-12-19,,Bethune-Cookman,W,102,68,40,73,.548,12,26,.462,10,13,.769,11,38,28,4,0,8,17,,25,71,.352,4,26,.154,14,19,.737,16,35,8,5,5,7,18
12,12,2015-12-21,,North Carolina A&T,W,95,62,31,65,.477,11,31,.355,22,33,.667,12,44,22,6,3,9,13,,23,66,.348,10,25,.400,6,12,.500,11,33,13,3,2,15,26
13,13,2015-12-30,,Northern Kentucky,W,90,73,30,63,.476,10,23,.435,20,20,1.000,13,40,20,7,1,11,17,,27,56,.482,5,18,.278,14,21,.667,7,25,9,9,4,12,21
14,14,2016-01-06,@,Ball State,L,69,87,23,57,.404,9,26,.346,14,19,.737,8,30,14,5,3,12,17,,30,62,.484,13,30,.433,14,20,.700,11,35,17,10,5,6,19
15,15,2016-01-09,@,Miami (OH),W,84,76,29,54,.537,13,26,.500,13,23,.565,8,31,17,4,1,15,18,,30,65,.462,8,20,.400,8,14,.571,9,31,12,9,2,11,25
16,16,2016-01-12,,Northern Illinois,L,66,71,20,49,.408,5,18,.278,21,27,.778,7,26,13,6,1,16,17,,27,60,.450,8,23,.348,9,11,.818,8,35,15,9,2,13,23
17,17,2016-01-15,,Akron,W,78,64,28,52,.538,6,17,.353,16,29,.552,6,35,12,7,1,7,16,,24,58,.414,7,29,.241,9,14,.643,6,27,13,2,4,11,23
18,18,2016-01-19,@,Bowling Green State,W,81,74,25,51,.490,8,15,.533,23,30,.767,6,34,10,6,3,13,23,,26,59,.441,5,14,.357,17,24,.708,7,32,9,6,2,9,23
19,19,2016-01-22,@,Northern Illinois,L,49,58,19,61,.311,5,30,.167,6,11,.545,9,38,6,3,4,18,19,,19,61,.311,8,24,.333,12,16,.750,8,40,7,11,5,13,17
20,20,2016-01-26,,Ohio,L,79,81,26,64,.406,10,25,.400,17,22,.773,7,31,18,4,2,7,15,,29,53,.547,14,27,.519,9,15,.600,2,32,19,3,3,13,19
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-30,,Buffalo,L,68,73,24,60,.400,6,25,.240,14,17,.824,9,34,13,8,0,18,17,,25,60,.417,9,24,.375,14,19,.737,11,38,10,11,3,17,22
22,22,2016-02-02,,Western Michigan,W,89,62,30,58,.517,10,24,.417,19,23,.826,10,42,21,3,3,11,17,,22,54,.407,9,15,.600,9,14,.643,3,19,13,3,3,11,19
23,23,2016-02-06,@,Kent State,W,82,67,27,46,.587,12,19,.632,16,18,.889,2,23,20,4,2,11,14,,28,57,.491,8,18,.444,3,4,.750,9,27,11,4,0,16,21
24,24,2016-02-09,@,Buffalo,W,71,69,23,62,.371,6,26,.231,19,23,.826,11,34,11,5,1,12,14,,26,54,.481,9,17,.529,8,9,.889,5,29,16,7,5,13,23
25,25,2016-02-13,,Miami (OH),W,93,49,31,55,.564,11,18,.611,20,22,.909,7,38,23,6,3,13,16,,17,56,.304,7,27,.259,8,10,.800,6,21,9,6,5,13,17
26,26,2016-02-16,@,Central Michigan,L,69,77,25,66,.379,4,31,.129,15,21,.714,10,37,11,9,3,10,24,,24,60,.400,12,27,.444,17,23,.739,8,39,11,7,2,12,21
27,27,2016-02-20,@,Eastern Michigan,L,85,91,31,61,.508,7,17,.412,16,19,.842,11,23,17,11,2,9,17,,34,50,.680,11,16,.688,12,16,.750,3,20,18,5,5,16,20
28,28,2016-02-23,,Ball State,W,77,67,25,54,.463,9,16,.563,18,22,.818,4,29,16,6,4,6,12,,26,59,.441,10,26,.385,5,6,.833,6,30,17,3,3,14,19
29,29,2016-02-27,,Central Michigan,L,74,76,27,65,.415,9,22,.409,11,12,.917,8,27,19,4,0,4,16,,25,53,.472,9,22,.409,17,20,.850,7,29,13,1,4,9,15
30,30,2016-03-01,@,Western Michigan,L,64,70,24,52,.462,5,21,.238,11,13,.846,7,30,9,4,1,23,25,,23,58,.397,4,15,.267,20,23,.870,8,29,10,8,2,11,17
31,31,2016-03-04,,Eastern Michigan,L,75,79,26,56,.464,10,20,.500,13,22,.591,6,29,19,4,3,13,22,,26,61,.426,5,15,.333,22,31,.710,12,40,13,11,3,11,23
