,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,@,La Salle,L,76,78,23,61,.377,7,19,.368,23,33,.697,15,40,16,4,4,11,22,,22,52,.423,9,26,.346,25,30,.833,3,25,11,4,2,8,24
2,2,2015-11-16,,Morgan State,W,69,61,21,54,.389,3,11,.273,24,38,.632,13,45,5,6,4,18,15,,23,64,.359,7,22,.318,8,10,.800,9,34,10,5,1,14,28
3,3,2015-11-19,N,Oklahoma State,L,52,69,16,64,.250,4,21,.190,16,23,.696,14,37,7,2,2,6,18,,25,53,.472,7,18,.389,12,16,.750,3,35,15,2,9,7,20
4,4,2015-11-20,N,Ole Miss,L,60,76,21,54,.389,9,23,.391,9,10,.900,7,19,12,6,3,7,13,,29,52,.558,9,19,.474,9,11,.818,7,32,13,5,4,12,11
5,5,2015-11-22,N,Bradley,W,62,60,21,54,.389,2,11,.182,18,24,.750,12,29,6,3,7,12,23,,20,51,.392,5,19,.263,15,17,.882,8,29,10,2,4,18,22
6,6,2015-11-25,,Gallaudet,W,88,45,33,60,.550,6,20,.300,16,26,.615,15,43,19,15,8,16,17,,18,49,.367,3,10,.300,6,15,.400,7,25,9,9,1,23,20
7,7,2015-11-28,@,Coppin State,W (1 OT),81,77,24,49,.490,2,8,.250,31,48,.646,16,40,11,8,5,23,31,,25,61,.410,7,26,.269,20,27,.741,7,24,6,6,7,15,29
8,8,2015-12-02,,George Mason,W,75,54,28,63,.444,7,17,.412,12,17,.706,11,33,8,2,4,5,16,,20,60,.333,3,13,.231,11,16,.688,16,39,10,4,2,12,16
9,9,2015-12-05,,Sacred Heart,W,83,61,34,72,.472,5,15,.333,10,18,.556,17,45,14,7,8,10,18,,21,59,.356,3,13,.231,16,23,.696,8,29,10,6,5,11,18
10,10,2015-12-08,@,Loyola (MD),W,65,54,19,50,.380,4,14,.286,23,34,.676,13,38,7,5,7,18,19,,21,60,.350,5,15,.333,7,9,.778,11,27,8,6,5,13,23
11,11,2015-12-18,@,Fairleigh Dickinson,L,68,69,25,51,.490,7,12,.583,11,20,.550,13,36,11,5,4,16,23,,23,64,.359,5,19,.263,18,23,.783,16,33,9,12,3,9,19
12,12,2015-12-20,,Rio Grande,W,88,47,32,70,.457,7,28,.250,17,22,.773,13,47,11,17,5,13,14,,19,63,.302,4,23,.174,5,9,.556,11,34,6,4,2,23,21
13,13,2015-12-23,,UMBC,W,91,65,34,59,.576,9,20,.450,14,24,.583,15,36,19,5,3,9,24,,18,43,.419,5,15,.333,24,34,.706,5,23,4,5,1,12,22
14,14,2015-12-31,@,William & Mary,W,76,69,26,61,.426,2,12,.167,22,27,.815,12,36,11,11,4,12,21,,25,56,.446,5,23,.217,14,15,.933,5,27,19,6,4,16,22
15,15,2016-01-02,,Hofstra,L,58,90,21,60,.350,2,14,.143,14,20,.700,11,33,12,5,3,9,24,,29,57,.509,12,24,.500,20,30,.667,10,39,18,7,4,8,16
16,16,2016-01-07,,North Carolina-Wilmington,W,76,60,21,43,.488,5,10,.500,29,36,.806,7,40,16,4,5,16,19,,20,61,.328,5,22,.227,15,19,.789,8,23,8,4,4,7,23
17,17,2016-01-09,@,James Madison,L,59,73,18,52,.346,2,20,.100,21,25,.840,11,32,6,4,2,11,23,,19,46,.413,7,17,.412,28,34,.824,7,29,12,6,1,9,20
18,18,2016-01-14,@,Delaware,W,79,77,23,63,.365,10,29,.345,23,34,.676,18,46,17,6,8,8,21,,28,61,.459,5,12,.417,16,27,.593,9,37,11,3,5,8,23
19,19,2016-01-16,,Drexel,W,69,50,24,47,.511,5,9,.556,16,25,.640,7,42,12,4,11,18,20,,16,60,.267,5,15,.333,13,20,.650,9,28,9,7,5,9,25
20,20,2016-01-21,,College of Charleston,L,37,40,11,46,.239,1,4,.250,14,25,.560,16,40,4,4,6,13,16,,16,48,.333,4,18,.222,4,9,.444,9,31,9,4,2,9,23
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-23,@,Northeastern,W,79,72,23,50,.460,6,21,.286,27,42,.643,12,32,11,12,3,11,26,,20,46,.435,7,16,.438,25,29,.862,3,23,10,2,1,16,26
22,22,2016-01-28,@,Drexel,W,77,70,22,44,.500,9,16,.563,24,32,.750,5,26,10,7,2,10,22,,25,45,.556,7,11,.636,13,16,.813,2,18,17,3,1,12,25
23,23,2016-01-30,,Delaware,W (1 OT),101,97,29,67,.433,14,27,.519,29,42,.690,19,39,20,7,4,8,31,,26,54,.481,9,14,.643,36,45,.800,10,35,10,3,9,10,28
24,24,2016-02-04,@,College of Charleston,L,47,65,17,47,.362,2,12,.167,11,19,.579,10,32,6,7,3,16,20,,20,47,.426,8,17,.471,17,22,.773,6,30,11,9,2,14,22
25,25,2016-02-06,@,Elon,W,81,77,30,59,.508,4,13,.308,17,23,.739,10,33,9,7,6,15,20,,25,53,.472,8,24,.333,19,25,.760,5,25,11,7,2,13,19
26,26,2016-02-11,,Northeastern,L,44,47,17,55,.309,2,23,.087,8,15,.533,17,37,11,4,5,12,14,,19,46,.413,4,16,.250,5,8,.625,4,21,9,8,4,10,14
27,27,2016-02-13,,William & Mary,W,99,82,35,63,.556,12,26,.462,17,23,.739,9,32,18,4,7,9,22,,24,56,.429,6,21,.286,28,33,.848,10,29,12,3,1,9,22
28,28,2016-02-18,@,Hofstra,L,82,84,34,65,.523,5,16,.313,9,12,.750,7,28,18,6,2,8,20,,33,58,.569,10,23,.435,8,15,.533,8,27,20,3,6,12,11
29,29,2016-02-20,,Elon,W,67,56,22,59,.373,5,16,.313,18,28,.643,14,45,10,4,5,8,18,,18,58,.310,6,26,.231,14,21,.667,12,35,7,2,6,11,22
30,30,2016-02-25,,James Madison,W,69,67,23,57,.404,8,24,.333,15,21,.714,14,33,10,7,5,12,18,,24,49,.490,7,17,.412,12,18,.667,6,27,9,6,0,13,21
31,31,2016-02-27,@,North Carolina-Wilmington,L,68,74,27,64,.422,5,16,.313,9,16,.563,18,36,6,6,4,14,20,,26,53,.491,7,18,.389,15,18,.833,7,25,12,7,3,16,18
32,32,2016-03-05,N,Northeastern,L,60,71,25,62,.403,7,26,.269,3,8,.375,17,33,8,5,1,10,23,,23,43,.535,8,17,.471,17,26,.654,8,25,13,6,3,10,12
