,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,@,Ole Miss,L,54,69,17,49,.347,4,17,.235,16,25,.640,8,31,9,3,1,14,21,,25,72,.347,6,28,.214,13,23,.565,21,47,11,8,5,12,23
2,2,2013-11-11,,LaGrange,W,102,69,39,71,.549,8,20,.400,16,25,.640,12,50,18,9,5,14,24,,24,77,.312,6,26,.231,15,31,.484,18,42,9,10,0,14,24
3,3,2013-11-14,@,Alabama-Birmingham,L,69,81,29,72,.403,7,23,.304,4,10,.400,7,22,15,11,2,7,14,,30,60,.500,5,13,.385,16,17,.941,14,48,18,3,4,20,15
4,4,2013-11-19,,Nicholls State,W,77,62,21,45,.467,4,14,.286,31,36,.861,10,29,11,8,3,13,13,,24,57,.421,3,14,.214,11,15,.733,13,28,11,7,3,14,27
5,5,2013-11-26,@,Central Arkansas,L,53,60,17,45,.378,5,17,.294,14,19,.737,5,28,10,4,3,17,13,,22,54,.407,8,19,.421,8,13,.615,7,31,14,8,5,12,18
6,6,2013-12-02,,Alcorn State,W (2 OT),73,70,22,65,.338,3,23,.130,26,32,.813,19,49,9,6,4,14,11,,29,72,.403,6,21,.286,6,12,.500,13,39,16,8,4,9,27
7,7,2013-12-07,,Alabama State,W,85,69,31,57,.544,5,17,.294,18,25,.720,9,33,14,9,1,14,16,,26,62,.419,3,18,.167,14,20,.700,12,27,10,3,3,12,19
8,8,2013-12-15,@,Kansas State,L,43,72,17,47,.362,3,19,.158,6,11,.545,5,26,8,6,3,16,11,,28,65,.431,8,24,.333,8,12,.667,16,41,24,6,2,9,16
9,9,2013-12-19,N,UCSB,L,54,57,15,48,.313,12,28,.429,12,22,.545,9,25,13,4,3,6,14,,22,48,.458,6,15,.400,7,11,.636,8,33,15,2,9,8,18
10,10,2013-12-20,N,Western Illinois,L,58,61,20,42,.476,7,16,.438,11,25,.440,5,28,14,6,5,14,19,,19,49,.388,3,12,.250,20,27,.741,9,31,11,6,1,10,22
11,11,2013-12-21,@,Utah State,L,50,71,14,48,.292,2,19,.105,20,24,.833,12,30,7,5,2,12,13,,27,49,.551,8,13,.615,9,12,.750,5,29,20,4,5,9,20
12,12,2013-12-28,,Belhaven (MS),W,74,62,23,49,.469,3,11,.273,25,36,.694,14,39,13,10,3,15,13,,24,56,.429,6,17,.353,8,14,.571,9,25,13,7,2,14,31
13,13,2014-01-02,@,Georgia State,L,72,81,22,47,.468,9,18,.500,19,24,.792,12,35,8,1,1,22,13,,30,58,.517,5,14,.357,16,18,.889,4,21,16,13,4,10,19
14,14,2014-01-04,,Western Kentucky,L,51,60,17,60,.283,6,17,.353,11,16,.688,16,40,11,6,3,11,16,,25,53,.472,2,13,.154,8,17,.471,8,38,12,4,2,11,16
15,15,2014-01-09,@,Arkansas State,W,98,84,32,58,.552,14,27,.519,20,26,.769,10,36,14,7,1,16,19,,28,57,.491,8,24,.333,20,23,.870,4,21,12,10,2,13,18
16,16,2014-01-11,@,Arkansas-Little Rock,W,75,62,20,53,.377,10,23,.435,25,33,.758,13,42,13,1,1,9,13,,25,63,.397,4,23,.174,8,13,.615,9,29,10,2,6,6,24
17,17,2014-01-16,,Louisiana-Monroe,L,64,75,22,47,.468,6,21,.286,14,22,.636,12,27,8,4,1,11,16,,26,50,.520,9,14,.643,14,17,.824,8,23,14,3,2,8,18
18,18,2014-01-18,,Louisiana-Lafayette,L,59,72,23,56,.411,5,17,.294,8,18,.444,14,31,11,10,3,14,14,,26,48,.542,6,15,.400,14,17,.824,4,30,15,8,4,16,18
19,19,2014-01-23,@,Texas-Arlington,L,56,59,18,53,.340,8,23,.348,12,20,.600,13,36,8,8,2,13,11,,23,61,.377,8,31,.258,5,8,.625,11,34,6,2,4,12,20
20,20,2014-01-25,@,Texas State,L,65,73,19,50,.380,9,21,.429,18,26,.692,7,24,11,6,1,12,17,,28,54,.519,5,16,.313,12,17,.706,8,28,17,7,0,14,21
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2014-02-01,,Arkansas State,L,73,83,27,58,.466,7,27,.259,12,21,.571,11,33,11,2,4,15,23,,24,55,.436,11,25,.440,24,29,.828,8,27,15,11,3,9,21
