Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,South Florida,W,82,77,32,78,.410,4,20,.200,14,27,.519,13,41,14,13,3,9,15,,26,71,.366,10,31,.323,15,17,.882,12,42,14,5,10,17,23
2,2,2015-11-15,,Reinhardt,W,97,82,38,68,.559,3,15,.200,18,27,.667,8,44,19,10,2,17,17,,29,72,.403,12,37,.324,12,15,.800,6,28,18,11,2,17,24
3,3,2015-11-19,,Alabama-Birmingham,L,63,79,25,71,.352,5,25,.200,8,14,.571,10,36,14,7,2,12,18,,29,59,.492,8,23,.348,13,18,.722,6,36,21,8,6,15,22
4,4,2015-11-23,N,Samford,L,79,83,25,48,.521,6,16,.375,23,35,.657,4,24,12,5,4,10,22,,27,61,.443,10,23,.435,19,27,.704,10,30,12,6,2,10,27
5,5,2015-11-24,N,Idaho,L,63,69,21,59,.356,6,28,.214,15,19,.789,9,32,7,9,2,16,24,,22,53,.415,7,27,.259,18,25,.720,10,36,13,5,4,20,20
6,6,2015-11-25,@,North Texas,W,86,74,30,69,.435,8,21,.381,18,23,.783,7,29,11,10,4,6,18,,24,56,.429,6,17,.353,20,26,.769,10,37,8,5,6,18,19
7,7,2015-12-01,,Southern Miss,W,69,59,23,59,.390,13,38,.342,10,18,.556,13,42,16,9,1,13,19,,21,58,.362,7,25,.280,10,13,.769,8,34,10,6,3,11,14
8,8,2015-12-05,,Austin Peay,L,71,80,23,60,.383,13,31,.419,12,17,.706,9,28,14,8,3,11,21,,26,57,.456,7,18,.389,21,27,.778,14,39,15,4,6,12,17
9,9,2015-12-10,@,Seton Hall,L,69,78,26,60,.433,9,17,.529,8,14,.571,6,30,14,5,2,11,25,,26,65,.400,6,18,.333,20,29,.690,16,47,15,9,2,8,17
10,10,2015-12-17,N,Paine,W,85,77,24,53,.453,6,22,.273,31,42,.738,10,41,15,7,3,20,22,,29,70,.414,2,16,.125,17,24,.708,8,31,13,8,1,14,30
11,11,2015-12-22,@,Ole Miss,L (1 OT),80,83,31,65,.477,6,20,.300,12,17,.706,10,37,16,12,5,19,22,,30,71,.423,8,29,.276,15,20,.750,11,35,17,9,4,16,17
12,12,2015-12-30,,Arkansas State,L,81,84,23,52,.442,9,21,.429,26,40,.650,8,32,14,6,1,14,22,,31,61,.508,6,19,.316,16,25,.640,10,36,20,7,1,13,25
13,13,2016-01-02,,Arkansas-Little Rock,L,61,67,19,55,.345,10,24,.417,13,22,.591,10,33,12,6,2,8,15,,23,52,.442,7,18,.389,14,20,.700,9,40,11,7,5,9,16
14,14,2016-01-07,@,Georgia State,L,68,72,21,54,.389,8,23,.348,18,27,.667,5,26,11,7,4,8,17,,24,56,.429,9,22,.409,15,17,.882,5,34,15,3,4,13,22
15,15,2016-01-09,@,Georgia Southern,L (1 OT),88,93,33,61,.541,5,22,.227,17,28,.607,8,34,12,4,1,14,19,,35,66,.530,9,28,.321,14,26,.538,7,29,11,9,2,6,22
16,16,2016-01-14,,Texas-Arlington,L,63,90,19,66,.288,10,32,.313,15,21,.714,18,37,12,5,4,12,14,,35,72,.486,14,35,.400,6,8,.750,13,42,20,7,3,10,15
17,17,2016-01-16,,Texas State,W,66,57,25,51,.490,6,17,.353,10,15,.667,5,31,9,2,2,14,13,,22,52,.423,6,15,.400,7,12,.583,4,22,8,5,2,10,19
18,18,2016-01-21,@,Louisiana-Monroe,L,74,85,25,48,.521,6,18,.333,18,25,.720,5,23,14,4,2,14,16,,33,56,.589,10,23,.435,9,13,.692,5,22,20,5,3,9,20
19,19,2016-01-23,@,Louisiana-Lafayette,L,65,88,25,60,.417,5,17,.294,10,17,.588,12,30,10,4,1,18,26,,32,56,.571,6,13,.462,18,25,.720,5,25,18,9,5,11,17
20,20,2016-01-26,,South Alabama,L,58,66,23,53,.434,7,19,.368,5,7,.714,4,26,12,4,3,13,13,,24,58,.414,8,21,.381,10,17,.588,12,34,14,11,1,11,16
21,21,2016-01-28,,Appalachian State,L,71,75,23,61,.377,5,11,.455,20,32,.625,11,30,11,10,3,10,21,,25,52,.481,8,14,.571,17,23,.739,7,37,12,2,3,22,26
22,22,2016-02-04,@,Arkansas-Little Rock,L,49,72,18,47,.383,6,20,.300,7,12,.583,5,26,6,2,1,12,13,,27,58,.466,9,18,.500,9,12,.750,12,34,17,6,2,7,15
23,23,2016-02-06,@,Arkansas State,W,71,70,25,62,.403,7,24,.292,14,24,.583,8,29,8,3,1,6,18,,22,51,.431,8,20,.400,18,23,.783,8,36,10,2,5,12,22
24,24,2016-02-11,,Georgia Southern,L,71,77,22,57,.386,8,27,.296,19,29,.655,10,37,12,6,2,9,17,,24,58,.414,9,28,.321,20,24,.833,10,37,10,4,2,12,25
25,25,2016-02-13,,Georgia State,W,54,53,17,45,.378,7,18,.389,13,18,.722,6,31,11,6,9,17,19,,19,55,.345,2,12,.167,13,22,.591,10,32,11,11,7,14,19
26,26,2016-02-16,@,South Alabama,W,61,54,20,47,.426,6,24,.250,15,23,.652,8,37,7,5,6,21,19,,19,72,.264,4,25,.160,12,16,.750,22,42,7,11,3,13,20
27,27,2016-02-20,@,Appalachian State,L,74,78,28,62,.452,6,20,.300,12,21,.571,6,28,5,5,2,4,21,,24,54,.444,12,22,.545,18,28,.643,10,39,12,3,4,11,21
28,28,2016-02-25,,Louisiana-Lafayette,L,63,73,23,69,.333,5,20,.250,12,26,.462,14,34,12,4,6,4,24,,24,57,.421,2,14,.143,23,34,.676,15,47,12,3,10,11,18
29,29,2016-02-27,,Louisiana-Monroe,L,51,66,16,55,.291,4,21,.190,15,24,.625,12,36,5,1,2,9,16,,26,58,.448,4,14,.286,10,17,.588,9,37,14,7,0,7,21
