Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Alabama A&M,L (1 OT),67,68,22,57,.386,7,27,.259,16,26,.615,16,41,11,6,7,18,21,,25,64,.391,8,29,.276,10,17,.588,9,31,10,12,1,14,25
2,2,2015-11-16,,Drake,W (1 OT),79,74,28,67,.418,6,17,.353,17,29,.586,14,40,8,10,7,16,18,,26,63,.413,8,23,.348,14,18,.778,8,32,7,7,1,21,25
3,3,2015-11-19,@,Southern,L,82,90,26,50,.520,9,26,.346,21,31,.677,11,32,17,5,1,15,25,,30,61,.492,6,16,.375,24,30,.800,9,24,9,10,1,10,21
4,4,2015-11-22,,Appalachian State,W,76,48,29,53,.547,6,14,.429,12,17,.706,7,46,15,5,2,18,21,,19,65,.292,4,24,.167,6,14,.429,9,22,7,9,0,12,18
5,5,2015-11-26,N,Mercer,L,61,71,21,57,.368,8,21,.381,11,12,.917,5,21,14,9,2,7,18,,25,48,.521,6,14,.429,15,20,.750,6,34,20,3,1,14,13
6,6,2015-11-27,N,Stephen F. Austin,W,60,59,20,51,.392,7,15,.467,13,20,.650,11,35,14,3,4,15,16,,21,53,.396,7,20,.350,10,12,.833,6,27,10,5,6,11,21
7,7,2015-11-29,N,Liberty,W,72,51,26,53,.491,8,18,.444,12,16,.750,10,28,20,13,1,11,18,,16,41,.390,8,19,.421,11,15,.733,7,23,14,7,1,19,14
8,8,2015-12-02,,New Orleans,W,64,62,22,60,.367,2,17,.118,18,29,.621,16,46,10,8,6,15,21,,21,64,.328,4,17,.235,16,28,.571,19,45,11,9,2,13,22
9,9,2015-12-05,,Georgia Tech,L,68,76,26,58,.448,7,21,.333,9,17,.529,8,32,10,1,3,16,17,,30,69,.435,6,17,.353,10,14,.714,13,35,6,9,3,10,19
10,10,2015-12-14,,Prairie View,W,63,49,23,52,.442,4,20,.200,13,20,.650,9,35,9,12,8,16,19,,16,56,.286,4,10,.400,13,20,.650,13,31,4,9,5,18,19
11,11,2015-12-16,@,UNC,L,72,96,30,63,.476,4,17,.235,8,14,.571,10,31,9,1,5,11,17,,36,72,.500,10,24,.417,14,21,.667,14,40,30,8,6,7,15
12,12,2015-12-19,@,Mississippi State,L,59,69,25,61,.410,4,24,.167,5,11,.455,8,36,11,6,3,9,21,,21,55,.382,7,18,.389,20,26,.769,7,37,13,5,1,8,12
13,13,2015-12-22,,Southern Miss,W,59,40,21,59,.356,9,27,.333,8,14,.571,13,41,11,3,0,13,13,,15,48,.313,5,24,.208,5,10,.500,5,22,9,2,7,9,16
14,14,2015-12-29,@,Memphis,L,65,77,24,68,.353,5,15,.333,12,17,.706,17,43,12,5,10,17,19,,27,68,.397,5,15,.333,18,22,.818,10,34,13,9,8,9,16
15,15,2016-01-02,,UConn,L,67,75,23,57,.404,5,15,.333,16,27,.593,8,34,13,4,12,11,23,,22,52,.423,11,21,.524,20,25,.800,5,32,12,7,7,13,25
16,16,2016-01-05,@,Houston,L,45,63,17,52,.327,5,23,.217,6,11,.545,9,30,7,3,5,11,17,,25,61,.410,2,14,.143,11,21,.524,17,45,9,6,3,7,15
17,17,2016-01-10,,Tulsa,L,67,81,25,65,.385,4,27,.148,13,21,.619,19,41,8,3,2,8,12,,31,53,.585,13,20,.650,6,14,.429,2,20,13,7,4,8,16
18,18,2016-01-12,@,South Florida,W,81,70,27,65,.415,9,23,.391,18,27,.667,19,38,15,8,5,6,17,,26,52,.500,5,9,.556,13,21,.619,8,29,11,4,3,12,18
19,19,2016-01-17,,SMU,L,45,60,14,48,.292,5,20,.250,12,18,.667,10,31,7,9,4,20,19,,21,52,.404,1,10,.100,17,21,.810,11,34,8,11,5,15,14
