,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Central Arkansas,W,98,81,38,65,.585,10,21,.476,12,17,.706,8,26,20,9,2,11,17,,29,57,.509,11,23,.478,12,17,.706,7,29,14,5,3,17,20
2,2,2015-11-17,,Wichita State,W,77,67,23,50,.460,10,22,.455,21,28,.750,3,31,15,6,5,13,21,,20,55,.364,8,26,.308,19,24,.792,6,31,10,9,2,9,25
3,3,2015-11-20,N,Ohio,W,90,88,26,57,.456,4,13,.308,34,46,.739,8,27,14,5,1,10,26,,24,47,.511,10,20,.500,30,40,.750,7,30,11,5,4,22,34
4,4,2015-11-22,N,Indiana State,W,67,59,22,59,.373,4,16,.250,19,36,.528,11,47,13,7,6,10,23,,20,56,.357,5,22,.227,14,27,.519,4,34,10,7,1,14,31
5,5,2015-11-23,N,South Carolina,L,75,83,24,54,.444,5,16,.313,22,31,.710,7,30,9,4,0,15,25,,27,54,.500,7,14,.500,22,28,.786,5,33,12,7,2,12,25
6,6,2015-11-28,,Arkansas-Little Rock,L,60,64,20,51,.392,9,31,.290,11,18,.611,11,27,10,9,3,10,14,,22,44,.500,8,15,.533,12,15,.800,5,28,12,5,1,16,22
7,7,2015-12-02,@,Oklahoma State,W,66,56,20,50,.400,6,20,.300,20,23,.870,8,32,8,8,2,10,23,,16,55,.291,2,19,.105,22,25,.880,12,33,8,5,3,12,22
8,8,2015-12-05,,Oral Roberts,L,68,70,22,58,.379,7,24,.292,17,21,.810,9,33,10,6,2,9,16,,26,58,.448,8,17,.471,10,11,.909,6,31,6,3,3,13,17
9,9,2015-12-08,,Iona,W,90,81,31,60,.517,10,20,.500,18,34,.529,7,34,15,9,4,12,20,,25,60,.417,8,20,.400,23,29,.793,10,35,13,7,2,16,27
10,10,2015-12-13,@,Missouri State,W,70,61,28,65,.431,6,24,.250,8,11,.727,4,35,15,5,1,11,18,,20,63,.317,3,17,.176,18,22,.818,12,39,9,5,6,11,17
11,11,2015-12-19,N,Oregon State,L,71,76,24,53,.453,5,17,.294,18,28,.643,10,32,14,6,3,13,23,,22,54,.407,7,18,.389,25,31,.806,11,36,12,6,3,12,21
12,12,2015-12-22,,Northern Arizona,W,90,55,35,62,.565,7,17,.412,13,20,.650,7,30,20,14,5,8,18,,16,51,.314,5,19,.263,18,20,.900,10,35,12,5,1,23,19
13,13,2015-12-29,,SMU,L,69,81,26,59,.441,6,20,.300,11,22,.500,14,27,13,6,1,7,14,,31,55,.564,10,15,.667,9,13,.692,10,29,15,4,5,11,19
14,14,2016-01-02,@,Cincinnati,L,57,76,18,54,.333,4,21,.190,17,25,.680,8,25,14,6,2,14,15,,27,59,.458,12,23,.522,10,15,.667,14,38,20,11,5,13,24
15,15,2016-01-05,,East Carolina,W,55,43,24,67,.358,6,28,.214,1,3,.333,16,40,16,9,5,16,14,,17,57,.298,2,16,.125,7,9,.778,13,39,6,8,1,21,13
16,16,2016-01-10,@,Tulane,W,81,67,31,53,.585,13,20,.650,6,14,.429,2,20,13,7,4,8,16,,25,65,.385,4,27,.148,13,21,.619,19,41,8,3,2,8,12
17,17,2016-01-14,,UConn,W,60,51,18,51,.353,6,25,.240,18,26,.692,4,35,10,6,2,6,10,,17,55,.309,8,29,.276,9,13,.692,6,37,11,3,1,11,17
