Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Monmouth,L (1 OT),81,84,26,69,.377,8,21,.381,21,33,.636,20,56,13,2,6,23,22,,27,72,.375,7,29,.241,23,29,.793,8,34,13,16,4,7,25
2,2,2015-11-15,,Cal Poly,W,88,83,32,64,.500,4,15,.267,20,30,.667,13,41,22,8,3,10,17,,28,63,.444,13,27,.481,14,23,.609,10,30,17,5,0,14,27
3,3,2015-11-19,,Pepperdine,W,81,67,30,60,.500,6,17,.353,15,19,.789,13,41,17,6,3,17,14,,27,71,.380,4,20,.200,9,14,.643,15,31,14,9,2,12,19
4,4,2015-11-23,N,UNLV,W,77,75,25,55,.455,4,10,.400,23,24,.958,9,31,12,8,4,19,20,,26,63,.413,9,29,.310,14,22,.636,13,31,12,12,5,16,23
5,5,2015-11-24,N,Kansas,L,73,92,27,59,.458,4,17,.235,15,21,.714,7,27,11,5,1,11,18,,32,59,.542,10,23,.435,18,21,.857,7,34,19,6,2,9,20
6,6,2015-11-25,N,Wake Forest,L,77,80,33,71,.465,3,11,.273,8,14,.571,13,42,11,4,4,11,28,,21,52,.404,8,21,.381,30,42,.714,9,37,13,8,4,10,22
7,7,2015-11-29,,Cal State Northridge,W,77,45,29,68,.426,9,24,.375,10,18,.556,15,45,21,7,4,7,12,,17,58,.293,1,11,.091,10,13,.769,8,35,9,4,1,15,14
8,8,2015-12-03,,Kentucky,W,87,77,28,53,.528,5,11,.455,26,34,.765,9,36,16,5,3,10,18,,25,66,.379,8,25,.320,19,25,.760,14,35,12,6,2,8,27
9,9,2015-12-06,,Long Beach State,W,83,76,33,67,.493,7,20,.350,10,13,.769,11,36,22,7,1,10,15,,26,58,.448,11,30,.367,13,16,.813,9,31,16,5,1,13,14
10,10,2015-12-12,@,Gonzaga,W,71,66,28,60,.467,5,16,.313,10,18,.556,10,34,12,5,1,6,15,,25,61,.410,6,26,.231,10,13,.769,9,33,11,4,2,12,18
11,11,2015-12-15,,Louisiana-Lafayette,W,89,80,31,56,.554,9,17,.529,18,29,.621,11,35,17,7,2,15,18,,29,68,.426,13,33,.394,9,12,.750,13,32,15,8,1,13,20
12,12,2015-12-19,N,UNC,L,76,89,29,63,.460,8,17,.471,10,18,.556,12,34,11,4,1,17,16,,36,69,.522,4,19,.211,13,19,.684,12,35,19,7,4,7,19
13,13,2015-12-22,,McNeese State,W,67,53,28,65,.431,2,9,.222,9,19,.474,16,48,17,7,6,10,9,,20,66,.303,8,25,.320,5,9,.556,8,31,13,7,4,8,19
14,14,2016-01-01,@,Washington,L (2 OT),93,96,26,69,.377,3,11,.273,38,50,.760,18,53,11,10,4,24,31,,29,80,.363,11,34,.324,27,40,.675,21,45,17,11,4,16,33
15,15,2016-01-03,@,Washington State,L,78,85,30,73,.411,5,16,.313,13,17,.765,14,34,13,3,1,9,19,,31,56,.554,9,20,.450,14,21,.667,4,26,20,7,6,8,16
16,16,2016-01-07,,Arizona,W,87,84,33,64,.516,11,22,.500,10,13,.769,8,31,21,4,4,9,19,,30,67,.448,6,17,.353,18,22,.818,16,40,11,4,4,8,16
17,17,2016-01-09,,Arizona State,W,81,74,31,63,.492,9,18,.500,10,15,.667,7,34,19,6,7,12,16,,28,63,.444,8,25,.320,10,15,.667,6,33,11,5,3,11,21
18,18,2016-01-13,,USC,L,75,89,31,70,.443,4,19,.211,9,15,.600,12,36,19,2,1,9,22,,31,68,.456,9,20,.450,18,23,.783,14,42,14,4,3,8,17
19,19,2016-01-20,@,Oregon State,W,82,73,29,56,.518,6,18,.333,18,22,.818,9,40,13,5,4,15,22,,27,65,.415,7,23,.304,12,24,.500,13,30,15,6,2,10,23
20,20,2016-01-23,@,Oregon,L,72,86,27,62,.435,7,14,.500,11,15,.733,11,30,16,0,2,9,16,,34,70,.486,10,28,.357,8,13,.615,16,40,17,3,7,7,18
21,21,2016-01-28,,Washington,L,84,86,27,62,.435,5,16,.313,25,35,.714,10,35,14,5,5,15,25,,27,62,.435,10,21,.476,22,29,.759,10,35,13,10,3,19,29
22,22,2016-01-30,,Washington State,W,83,50,27,59,.458,5,16,.313,24,28,.857,7,37,18,9,1,11,11,,18,54,.333,5,24,.208,9,12,.750,4,30,12,4,2,18,20
23,23,2016-02-04,@,USC,L,61,80,24,69,.348,7,26,.269,6,10,.600,16,39,14,8,3,14,17,,29,64,.453,10,25,.400,12,13,.923,8,32,17,8,3,11,12
24,24,2016-02-12,@,Arizona,L,75,81,29,63,.460,5,16,.313,12,16,.750,8,34,15,4,3,12,31,,23,56,.411,6,20,.300,29,45,.644,9,38,11,6,3,9,19
25,25,2016-02-14,@,Arizona State,W,78,65,30,61,.492,7,18,.389,11,17,.647,7,35,18,8,6,10,14,,22,57,.386,12,27,.444,9,19,.474,7,32,14,6,1,15,16
26,26,2016-02-18,,Utah,L,73,75,29,61,.475,11,23,.478,4,5,.800,7,28,15,2,3,10,11,,31,62,.500,9,22,.409,4,8,.500,9,34,18,6,2,7,11
27,27,2016-02-20,,Colorado,W,77,53,30,60,.500,11,20,.550,6,12,.500,5,34,21,7,4,7,12,,19,61,.311,9,25,.360,6,12,.500,9,33,16,6,2,11,12
28,28,2016-02-25,@,University of California,L,63,75,26,64,.406,2,9,.222,9,19,.474,11,41,13,5,6,8,19,,27,60,.450,8,22,.364,13,25,.520,11,40,13,2,4,8,19
29,29,2016-02-27,@,Stanford,L,70,79,24,55,.436,10,23,.435,12,21,.571,10,27,15,5,0,11,22,,30,49,.612,7,15,.467,12,24,.500,8,28,14,6,3,9,18
30,30,2016-03-02,,Oregon,L,68,76,29,59,.492,5,16,.313,5,9,.556,6,27,17,3,5,13,18,,27,59,.458,7,24,.292,15,18,.833,10,36,15,8,5,14,16
31,31,2016-03-05,,Oregon State,L,82,86,28,68,.412,7,26,.269,19,25,.760,13,41,14,7,4,15,23,,28,59,.475,12,24,.500,18,26,.692,6,32,14,8,3,12,20
