Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Weber State,W,73,70,28,61,.459,8,20,.400,9,15,.600,11,34,13,4,0,11,20,,22,48,.458,8,19,.421,18,23,.783,4,30,11,3,2,11,18
2,2,2015-11-17,,Adams State,W,83,68,31,60,.517,7,26,.269,14,23,.609,12,38,17,8,7,15,20,,28,59,.475,6,23,.261,6,14,.429,5,24,17,5,1,15,20
3,3,2015-11-20,,Union (TN),W,73,49,28,62,.452,6,26,.231,11,18,.611,12,45,20,5,4,12,11,,20,68,.294,6,27,.222,3,5,.600,15,39,8,9,0,13,18
4,4,2015-11-24,,Utah Valley,W,81,55,30,55,.545,6,15,.400,15,19,.789,11,45,19,5,3,18,20,,19,56,.339,5,20,.250,12,21,.571,7,23,12,11,4,12,19
5,5,2015-11-29,@,Duke,L,52,85,19,57,.333,3,12,.250,11,15,.733,9,23,6,8,1,13,20,,30,54,.556,8,15,.533,17,23,.739,9,35,13,9,8,15,19
6,6,2015-12-01,@,Missouri State,W,69,68,25,58,.431,10,23,.435,9,13,.692,7,29,13,7,3,13,17,,25,52,.481,7,17,.412,11,18,.611,6,31,18,8,6,16,20
7,7,2015-12-09,@,BYU,L,68,80,23,65,.354,9,20,.450,13,18,.722,7,34,15,5,2,13,17,,30,70,.429,8,20,.400,12,15,.800,9,41,17,5,8,10,17
8,8,2015-12-12,,UC-Irvine,L,63,73,23,65,.354,10,28,.357,7,10,.700,13,33,17,7,0,8,14,,28,58,.483,7,18,.389,10,13,.769,11,42,16,5,5,10,15
9,9,2015-12-21,,Texas-Rio Grande Valley,W,94,69,36,64,.563,11,26,.423,11,18,.611,9,34,22,8,3,5,13,,25,58,.431,11,24,.458,8,10,.800,5,28,18,2,3,13,15
10,10,2015-12-22,,Idaho State,W,69,58,21,53,.396,8,28,.286,19,26,.731,13,40,12,4,2,12,14,,23,57,.404,4,18,.222,8,13,.615,6,28,11,4,0,9,22
11,11,2015-12-23,,North Dakota State,W,76,62,26,48,.542,6,14,.429,18,24,.750,5,34,15,2,3,14,12,,24,61,.393,7,22,.318,7,10,.700,6,24,14,6,2,7,17
12,12,2015-12-30,@,San Jose State,W,80,71,26,55,.473,11,20,.550,17,25,.680,7,29,20,6,5,8,21,,24,57,.421,9,23,.391,14,23,.609,11,35,18,2,4,11,19
13,13,2016-01-02,,San Diego State,L,67,70,19,47,.404,5,20,.250,24,29,.828,5,29,7,5,5,10,19,,27,62,.435,6,17,.353,10,20,.500,15,37,13,8,3,12,23
14,14,2016-01-05,,Boise State,L,61,76,25,57,.439,6,22,.273,5,13,.385,11,27,14,6,2,16,15,,28,47,.596,7,17,.412,13,17,.765,5,32,13,7,1,16,18
15,15,2016-01-09,@,New Mexico,L,59,77,23,67,.343,6,29,.207,7,13,.538,16,34,10,10,2,13,21,,29,58,.500,5,16,.313,14,19,.737,9,36,16,10,4,15,15
16,16,2016-01-12,,Air Force,W,79,60,26,56,.464,7,26,.269,20,24,.833,5,35,15,3,5,9,15,,21,57,.368,8,20,.400,10,17,.588,6,31,14,6,1,9,19
17,17,2016-01-16,@,Colorado State,W,96,92,32,64,.500,13,27,.481,19,25,.760,12,39,12,4,1,6,19,,32,70,.457,15,36,.417,13,18,.722,11,32,15,3,2,5,21
18,18,2016-01-19,,UNLV,L,68,80,25,64,.391,6,19,.316,12,18,.667,10,30,10,10,1,16,19,,31,58,.534,4,13,.308,14,21,.667,10,37,16,8,8,16,20
19,19,2016-01-23,@,San Diego State,L,55,70,22,60,.367,7,24,.292,4,7,.571,11,30,10,8,4,12,20,,24,53,.453,5,16,.313,17,22,.773,12,35,13,7,6,13,12
20,20,2016-01-30,,Nevada,L,84,89,32,60,.533,11,21,.524,9,18,.500,10,34,18,3,2,14,17,,28,57,.491,10,22,.455,23,28,.821,10,30,15,10,1,11,17
21,21,2016-02-02,@,Boise State,L,67,70,25,50,.500,12,22,.545,5,7,.714,3,21,14,4,1,17,16,,27,62,.435,5,23,.217,11,15,.733,16,37,7,8,0,16,17
22,22,2016-02-06,@,Wyoming,L,65,84,25,52,.481,7,15,.467,8,15,.533,5,23,9,4,2,9,16,,28,56,.500,20,38,.526,8,10,.800,8,33,18,4,3,7,13
23,23,2016-02-09,,New Mexico,W,80,72,25,51,.490,9,25,.360,21,28,.750,9,30,15,7,6,11,16,,27,59,.458,7,19,.368,11,16,.688,8,26,15,4,2,11,22
24,24,2016-02-17,,Colorado State,W,72,59,27,56,.482,9,23,.391,9,16,.563,5,33,18,4,2,4,15,,20,61,.328,8,31,.258,11,17,.647,9,36,8,2,1,9,15
25,25,2016-02-20,@,Fresno State,L,68,75,21,49,.429,6,25,.240,20,26,.769,6,30,12,3,3,14,19,,25,61,.410,7,21,.333,18,20,.900,7,31,18,7,2,6,22
