Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,,IUPUI,W,74,66,23,55,.418,3,14,.214,25,28,.893,9,34,10,6,2,13,25,,22,54,.407,3,16,.188,19,27,.704,9,29,10,5,3,14,21
2,2,2013-11-11,,North Carolina A&T,W,78,71,23,50,.460,5,14,.357,27,40,.675,8,31,15,7,7,8,21,,26,55,.473,6,18,.333,13,23,.565,10,28,10,5,6,13,30
3,3,2013-11-12,@,Oklahoma State,L,40,93,14,48,.292,5,24,.208,7,9,.778,5,28,11,3,2,22,20,,31,66,.470,14,33,.424,17,22,.773,15,42,19,18,6,7,13
4,4,2013-11-19,@,Oregon,L,54,69,22,58,.379,5,20,.250,5,8,.625,4,24,13,3,2,14,16,,26,63,.413,6,21,.286,11,15,.733,14,38,12,8,8,12,17
5,5,2013-11-23,@,Pepperdine,L,53,58,19,60,.317,6,22,.273,9,14,.643,6,29,13,9,3,6,20,,18,43,.419,5,16,.313,17,26,.654,4,37,9,4,4,15,12
6,6,2013-11-30,@,Tennessee Tech,L,71,74,24,46,.522,7,17,.412,16,22,.727,6,22,14,8,3,15,20,,25,47,.532,8,14,.571,16,22,.727,7,24,9,9,4,14,18
7,7,2013-12-02,@,South Dakota,L,67,71,27,56,.482,7,17,.412,6,8,.750,3,29,18,4,3,14,23,,26,54,.481,3,13,.231,16,28,.571,9,29,13,2,4,9,15
8,8,2013-12-07,,St. Katherine,W,89,37,29,56,.518,11,23,.478,20,28,.714,11,47,21,7,7,13,11,,14,63,.222,4,23,.174,5,10,.500,11,27,7,8,5,16,22
9,9,2013-12-11,,Weber State,W,62,59,23,62,.371,5,14,.357,11,15,.733,15,38,12,7,2,11,16,,19,50,.380,7,20,.350,14,18,.778,8,29,12,5,4,12,15
10,10,2013-12-14,@,Utah State,L,60,71,17,42,.405,4,14,.286,22,30,.733,3,20,12,6,2,8,15,,27,55,.491,8,22,.364,9,14,.643,13,39,23,2,5,10,22
11,11,2013-12-20,,Haskell Indian Nations Institute,W,103,64,37,67,.552,10,19,.526,19,21,.905,17,38,22,9,3,12,21,,23,50,.460,3,11,.273,15,25,.600,9,22,7,7,2,17,17
12,12,2013-12-23,,North Dakota State,L,70,74,21,47,.447,11,24,.458,17,20,.850,8,22,15,2,1,11,13,,27,51,.529,5,12,.417,15,18,.833,7,24,14,9,5,8,15
13,13,2013-12-28,,Tennessee Tech,W,75,66,22,41,.537,6,14,.429,25,31,.806,5,28,12,10,3,20,19,,27,58,.466,4,15,.267,8,20,.400,11,28,8,12,2,14,24
14,14,2014-01-04,@,Cal State Bakersfield,W,82,74,27,50,.540,7,14,.500,21,24,.875,7,29,21,7,4,9,10,,30,58,.517,8,20,.400,6,10,.600,5,21,18,4,4,9,19
15,15,2014-01-11,,Grand Canyon,W,65,58,23,57,.404,8,20,.400,11,23,.478,7,32,14,5,2,3,15,,17,51,.333,5,23,.217,19,22,.864,9,39,7,1,6,11,21
16,16,2014-01-16,@,Idaho,W,71,66,23,50,.460,8,17,.471,17,23,.739,9,33,16,1,7,14,20,,22,58,.379,2,16,.125,20,29,.690,10,28,10,7,0,6,22
17,17,2014-01-19,@,Seattle,W,52,51,16,55,.291,9,25,.360,11,14,.786,15,35,9,3,1,11,12,,21,59,.356,5,23,.217,4,9,.444,14,35,15,6,5,11,17
18,18,2014-01-23,,UMKC,W,66,48,25,63,.397,7,25,.280,9,9,1.000,14,47,17,4,5,9,15,,16,57,.281,4,14,.286,12,21,.571,10,30,9,4,3,8,11
19,19,2014-01-25,,Chicago State,W,62,55,19,41,.463,5,18,.278,19,34,.559,8,41,11,4,2,11,16,,21,58,.362,5,22,.227,8,18,.444,12,33,8,9,2,9,24
20,20,2014-01-30,@,Texas-Rio Grande Valley,W,67,53,23,48,.479,9,19,.474,12,14,.857,5,32,13,6,4,16,16,,22,57,.386,3,14,.214,6,17,.353,13,32,14,10,1,14,11
21,21,2014-02-01,@,New Mexico State,L,49,72,19,46,.413,7,17,.412,4,6,.667,4,17,10,1,2,11,21,,25,44,.568,3,10,.300,19,23,.826,7,31,7,2,2,8,14
22,22,2014-02-06,@,Grand Canyon,W,79,68,22,44,.500,8,16,.500,27,29,.931,4,28,13,4,0,8,20,,22,50,.440,6,19,.316,18,22,.818,4,22,11,3,0,9,21
23,23,2014-02-13,,Seattle,L,57,71,19,53,.358,5,20,.250,14,18,.778,5,21,12,6,4,5,12,,26,55,.473,10,19,.526,9,13,.692,10,41,13,3,1,9,19
24,24,2014-02-15,,Idaho,W,89,88,32,53,.604,8,17,.471,17,24,.708,6,30,18,1,2,9,16,,33,59,.559,8,21,.381,14,21,.667,7,24,16,4,0,7,21
25,25,2014-02-20,@,Chicago State,W,79,70,27,53,.509,8,25,.320,17,21,.810,8,34,17,3,1,9,13,,27,62,.435,8,22,.364,8,9,.889,7,26,10,6,2,6,16
26,26,2014-02-22,@,UMKC,L,56,74,21,59,.356,6,25,.240,8,12,.667,8,35,11,2,0,10,19,,24,48,.500,9,20,.450,17,25,.680,3,30,11,9,5,8,14
27,27,2014-02-27,,New Mexico State,W (1 OT),66,61,21,56,.375,0,12,.000,24,30,.800,11,36,11,6,2,10,21,,21,56,.375,4,15,.267,15,30,.500,14,39,12,4,7,13,25
28,28,2014-03-01,,Texas-Rio Grande Valley,W,45,42,14,53,.264,3,21,.143,14,19,.737,14,40,9,7,5,9,9,,18,49,.367,3,18,.167,3,7,.429,6,25,9,6,4,11,21
29,29,2014-03-07,,Cal State Bakersfield,W,64,55,17,49,.347,5,21,.238,25,32,.781,9,31,13,7,3,7,14,,22,55,.400,4,9,.444,7,13,.538,11,34,7,4,5,12,25
30,30,2014-03-13,N,Texas-Rio Grande Valley,W,83,63,31,44,.705,10,15,.667,11,11,1.000,4,34,22,3,3,15,19,,23,51,.451,6,19,.316,11,22,.500,5,13,11,8,2,5,16
