,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,IPFW,W,78,64,24,50,.480,5,16,.313,25,38,.658,9,33,13,10,4,12,15,,23,52,.442,9,22,.409,9,15,.600,2,21,13,6,2,18,27
2,2,2015-11-15,,Iona,W,83,58,23,54,.426,9,22,.409,28,36,.778,6,39,15,8,9,15,20,,18,62,.290,6,23,.261,16,18,.889,7,34,12,9,3,16,26
3,3,2015-11-17,@,Rhode Island,W,58,55,22,54,.407,3,11,.273,11,13,.846,6,37,6,8,4,16,19,,18,51,.353,6,14,.429,13,24,.542,5,27,7,8,9,14,13
4,4,2015-11-18,,Indiana-Kokomo,W,78,40,28,55,.509,7,21,.333,15,23,.652,7,36,17,10,1,7,15,,13,49,.265,3,23,.130,11,15,.733,5,26,7,2,2,14,18
5,5,2015-11-19,,Trinity Christian,W,89,42,34,62,.548,4,21,.190,17,23,.739,13,48,18,9,2,9,16,,16,58,.276,7,25,.280,3,12,.250,10,26,14,5,3,15,22
6,6,2015-11-22,@,Oregon,L,67,73,26,60,.433,10,32,.313,5,6,.833,9,29,12,6,5,16,21,,26,58,.448,4,15,.267,17,24,.708,11,34,9,9,3,13,11
7,7,2015-11-24,@,Oregon State,W,63,57,21,51,.412,4,16,.250,17,23,.739,7,35,8,8,3,13,20,,21,56,.375,4,13,.308,11,17,.647,8,27,7,7,6,12,19
8,8,2015-11-28,@,Ball State,L,66,69,23,57,.404,7,20,.350,13,21,.619,8,31,14,5,1,7,22,,23,50,.460,7,19,.368,16,23,.696,6,35,13,4,7,8,23
9,9,2015-12-03,,Belmont,W,61,57,23,65,.354,6,25,.240,9,12,.750,12,36,8,6,2,10,20,,20,47,.426,7,25,.280,10,14,.714,4,31,11,4,4,19,18
