,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Austin Peay,W,80,41,32,72,.444,8,19,.421,8,15,.533,15,47,17,6,8,9,19,,14,64,.219,1,16,.063,12,19,.632,12,38,1,4,0,13,14
2,2,2015-11-16,,Gardner-Webb,W,98,62,32,55,.582,11,23,.478,23,32,.719,8,32,19,9,5,10,19,,21,50,.420,7,20,.350,13,18,.722,6,24,6,2,1,18,27
3,3,2015-11-19,,Stony Brook,W (1 OT),79,72,29,65,.446,5,18,.278,16,23,.696,4,29,8,3,5,6,15,,30,66,.455,4,17,.235,8,12,.667,9,41,11,2,5,13,21
4,4,2015-11-23,N,St. John's (NY),W,92,55,33,62,.532,12,25,.480,14,21,.667,12,48,21,3,6,9,20,,18,60,.300,2,16,.125,17,22,.773,7,21,6,8,3,7,17
5,5,2015-11-24,N,Wake Forest,W,86,64,31,63,.492,7,17,.412,17,22,.773,13,42,14,6,4,8,25,,19,58,.328,3,18,.167,23,32,.719,11,32,7,7,2,12,22
6,6,2015-11-25,N,Kansas,L,63,70,23,56,.411,6,27,.222,11,15,.733,6,29,11,5,8,11,21,,25,55,.455,8,16,.500,12,22,.545,9,38,8,6,1,12,11
7,7,2015-12-02,,Detroit,W,102,52,35,61,.574,12,26,.462,20,30,.667,9,49,18,7,11,12,14,,16,70,.229,11,27,.407,9,12,.750,10,31,4,6,1,13,22
8,8,2015-12-06,@,Baylor,L,67,69,22,47,.468,10,21,.476,13,17,.765,8,29,17,6,6,17,17,,26,65,.400,5,11,.455,12,20,.600,18,36,18,7,3,7,17
9,9,2015-12-09,,Dayton,L,67,72,21,51,.412,6,17,.353,19,25,.760,6,30,6,3,6,13,21,,27,60,.450,5,15,.333,13,22,.591,13,37,9,7,1,11,21
10,10,2015-12-19,,Wofford,W,80,56,25,50,.500,10,17,.588,20,27,.741,6,40,14,1,5,11,15,,21,61,.344,8,21,.381,6,9,.667,5,29,9,6,2,6,23
11,11,2015-12-22,@,Purdue,L,55,68,22,63,.349,5,16,.313,6,11,.545,8,30,12,8,1,11,27,,21,58,.362,2,19,.105,24,31,.774,13,42,14,5,8,11,14
