,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Fairleigh Dickinson,W,91,54,32,69,.464,10,36,.278,17,25,.680,14,50,20,6,4,12,19,,17,63,.270,7,26,.269,13,18,.722,7,31,12,10,0,12,25
2,2,2015-11-17,,Nebraska,W,87,63,31,63,.492,9,30,.300,16,20,.800,9,30,20,10,5,8,17,,23,61,.377,7,23,.304,10,13,.769,11,32,9,7,2,22,21
3,3,2015-11-20,,ETSU,W,86,51,32,63,.508,14,34,.412,8,12,.667,15,43,19,8,5,14,14,,19,59,.322,4,22,.182,9,13,.692,13,26,12,9,3,13,12
4,4,2015-11-22,,Akron,W,75,56,27,67,.403,9,28,.321,12,16,.750,13,41,19,9,3,6,16,,21,59,.356,11,33,.333,3,10,.300,10,34,12,5,2,15,16
5,5,2015-11-26,N,Stanford,W,59,45,19,62,.306,7,34,.206,14,20,.700,11,32,10,12,7,6,22,,13,50,.260,2,9,.222,17,28,.607,17,49,4,5,2,23,22
6,6,2015-11-27,N,Georgia Tech,W,69,52,27,51,.529,8,27,.296,7,11,.636,5,26,9,5,3,9,18,,20,56,.357,2,14,.143,10,15,.667,9,31,7,2,1,13,16
7,7,2015-12-01,@,St. Joseph's,W,86,72,31,62,.500,11,31,.355,13,15,.867,7,31,19,5,1,8,13,,29,64,.453,6,18,.333,8,14,.571,11,29,18,4,0,7,15
8,8,2015-12-07,N,Oklahoma,L,55,78,20,63,.317,4,32,.125,11,16,.688,9,32,8,7,3,9,14,,28,60,.467,14,26,.538,8,11,.727,6,36,18,4,0,14,16
9,9,2015-12-13,,La Salle,W,76,47,28,51,.549,13,28,.464,7,7,1.000,6,31,24,7,6,12,12,,17,52,.327,7,19,.368,6,13,.462,8,20,9,11,3,11,9
10,10,2015-12-19,@,Virginia,L,75,86,26,53,.491,10,26,.385,13,17,.765,10,19,17,6,1,10,24,,26,46,.565,8,12,.667,26,30,.867,10,28,12,4,2,12,19
