,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,@,Penn State,L,50,62,18,49,.367,7,22,.318,7,12,.583,7,30,7,3,0,14,21,,23,54,.426,5,19,.263,11,18,.611,13,37,4,6,5,9,16
2,2,2015-11-17,,Tusculum,W,88,76,31,54,.574,10,23,.435,16,21,.762,6,30,19,3,7,16,23,,24,59,.407,7,18,.389,21,26,.808,7,24,10,7,0,11,19
3,3,2015-11-21,@,Virginia Tech,L,52,76,19,74,.257,9,33,.273,5,6,.833,13,32,7,7,5,8,21,,23,49,.469,6,12,.500,24,33,.727,12,46,13,3,7,16,12
4,4,2015-11-24,,Presbyterian,W,76,61,29,67,.433,7,24,.292,11,12,.917,10,32,13,9,4,13,16,,23,54,.426,2,14,.143,13,17,.765,8,34,10,5,2,20,15
5,5,2015-11-30,@,Campbell,L,65,66,25,60,.417,7,20,.350,8,13,.615,9,39,13,5,4,9,19,,20,58,.345,5,18,.278,21,31,.677,12,38,11,6,5,5,16
6,6,2015-12-02,,Central Pennsylvania College,W,107,72,35,66,.530,14,30,.467,23,24,.958,9,46,19,8,6,18,20,,27,73,.370,1,12,.083,17,23,.739,8,29,13,12,2,15,23
7,7,2015-12-05,@,Ohio State,L,62,89,20,57,.351,12,31,.387,10,12,.833,6,25,11,3,3,14,17,,33,69,.478,8,26,.308,15,19,.789,14,44,14,7,5,9,12
8,8,2015-12-07,@,Butler,L,66,93,23,62,.371,9,27,.333,11,16,.688,9,24,8,6,1,12,17,,36,66,.545,10,21,.476,11,16,.688,10,42,19,8,3,14,19
9,9,2015-12-12,,Navy,L,62,68,24,56,.429,5,23,.217,9,13,.692,7,25,6,6,2,9,19,,21,47,.447,4,18,.222,22,27,.815,7,32,12,7,2,11,15
10,10,2015-12-21,@,Gardner-Webb,W,76,75,28,64,.438,8,27,.296,12,17,.706,6,36,15,8,5,11,25,,24,60,.400,8,20,.400,19,35,.543,14,44,11,7,3,14,16
11,11,2015-12-30,,Bridgewater (VA),W,72,37,25,49,.510,8,20,.400,14,21,.667,4,37,9,9,9,13,15,,13,54,.241,4,18,.222,7,11,.636,4,23,8,5,1,14,17
12,12,2016-01-02,@,Furman,L,57,85,19,49,.388,3,20,.150,16,22,.727,9,28,3,3,3,19,20,,27,56,.482,9,24,.375,22,29,.759,12,34,11,11,2,9,20
13,13,2016-01-05,,Wofford,L,61,65,20,49,.408,8,18,.444,13,18,.722,5,24,13,8,5,14,15,,20,48,.417,6,20,.300,19,21,.905,6,30,8,6,0,13,17
14,14,2016-01-09,@,Western Carolina,L,52,73,20,59,.339,4,16,.250,8,14,.571,12,32,6,6,3,13,20,,25,53,.472,8,26,.308,15,22,.682,8,37,9,9,7,13,17
15,15,2016-01-11,@,ETSU,L,51,88,20,58,.345,9,27,.333,2,2,1.000,4,25,12,4,4,12,21,,30,61,.492,15,31,.484,13,19,.684,12,44,18,5,4,9,13
16,16,2016-01-17,@,North Carolina-Greensboro,L,68,85,23,66,.348,11,32,.344,11,17,.647,10,24,10,6,1,6,20,,29,50,.580,10,22,.455,17,19,.895,6,36,18,3,5,13,14
17,17,2016-01-21,,Samford,W,83,76,28,59,.475,13,30,.433,14,20,.700,13,36,7,6,8,15,23,,23,52,.442,9,16,.563,21,32,.656,11,32,12,9,2,15,19
18,18,2016-01-25,,Furman,L,56,68,20,51,.392,6,23,.261,10,15,.667,8,24,6,7,1,13,21,,22,42,.524,8,15,.533,16,23,.696,6,31,11,6,5,15,16
19,19,2016-01-28,@,Mercer,L,58,73,21,55,.382,14,37,.378,2,4,.500,6,26,16,3,2,15,26,,25,48,.521,4,15,.267,19,32,.594,10,34,10,8,3,10,11
20,20,2016-01-30,@,Citadel,L,75,78,30,74,.405,9,29,.310,6,11,.545,15,44,13,4,4,20,19,,25,69,.362,9,38,.237,19,24,.792,13,35,11,12,3,11,15
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-04,,ETSU,L,60,71,21,57,.368,11,34,.324,7,13,.538,7,30,10,8,4,13,19,,25,57,.439,9,23,.391,12,15,.800,9,40,11,4,2,15,12
22,22,2016-02-06,,Western Carolina,L,60,69,20,57,.351,8,29,.276,12,17,.706,11,28,8,7,3,12,20,,26,53,.491,4,12,.333,13,18,.722,12,40,11,7,3,14,17
23,23,2016-02-08,@,Wofford,L,60,92,22,53,.415,7,25,.280,9,13,.692,6,22,10,8,3,15,13,,32,52,.615,17,21,.810,11,13,.846,4,28,27,9,2,13,12
24,24,2016-02-11,,North Carolina-Greensboro,W,86,72,29,64,.453,12,32,.375,16,18,.889,9,36,17,6,4,7,16,,27,62,.435,8,29,.276,10,13,.769,9,36,15,5,2,14,20
25,25,2016-02-18,@,Chattanooga,L,59,85,19,55,.345,5,19,.263,16,23,.696,5,22,11,6,1,12,15,,33,59,.559,9,23,.391,10,15,.667,9,41,21,8,4,10,21
26,26,2016-02-20,@,Samford,L,67,73,25,59,.424,7,24,.292,10,14,.714,6,22,8,11,5,17,17,,28,52,.538,4,11,.364,13,18,.722,9,34,14,5,1,21,17
27,27,2016-02-25,,Mercer,W,91,82,24,57,.421,12,34,.353,31,34,.912,8,31,9,6,5,8,20,,24,61,.393,10,27,.370,24,28,.857,13,36,15,3,1,9,22
28,28,2016-02-27,,Citadel,W,111,95,40,72,.556,11,27,.407,20,26,.769,10,36,22,8,6,8,22,,33,75,.440,13,35,.371,16,24,.667,16,39,11,5,3,12,25
