Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Alabama State,L,82,85,27,57,.474,3,12,.250,25,40,.625,14,40,13,4,6,11,19,,30,71,.423,9,28,.321,16,21,.762,12,32,12,4,4,8,29
2,2,2015-11-18,,Jacksonville State,W,71,62,26,59,.441,4,16,.250,15,30,.500,18,51,12,3,2,17,15,,24,64,.375,8,29,.276,6,8,.750,5,25,10,8,2,9,23
3,3,2015-11-21,,Virginia Military Institute,W,76,52,23,49,.469,6,12,.500,24,33,.727,12,46,13,3,7,16,12,,19,74,.257,9,33,.273,5,6,.833,13,32,7,7,5,8,21
4,4,2015-11-24,,North Carolina A&T,W,90,60,27,54,.500,2,13,.154,34,50,.680,10,37,17,6,6,15,17,,24,66,.364,6,21,.286,6,10,.600,12,32,12,7,3,20,34
5,5,2015-11-27,N,Iowa State,L,77,99,31,67,.463,3,15,.200,12,25,.480,13,33,10,3,3,11,18,,37,64,.578,13,21,.619,12,17,.706,6,33,20,6,9,10,22
6,6,2015-11-28,N,Alabama-Birmingham,W (1 OT),82,77,26,59,.441,6,16,.375,24,32,.750,15,41,12,5,3,17,21,,29,64,.453,9,25,.360,10,18,.556,9,28,16,5,7,12,22
7,7,2015-12-01,,Northwestern,L (1 OT),79,81,27,66,.409,7,17,.412,18,23,.783,13,40,10,4,2,12,15,,32,67,.478,10,26,.385,7,11,.636,8,32,15,5,5,12,21
8,8,2015-12-05,,Arkansas-Pine Bluff,W,80,45,21,52,.404,7,14,.500,31,40,.775,15,39,13,11,3,17,17,,15,52,.288,4,19,.211,11,17,.647,11,24,10,9,3,21,29
9,9,2015-12-09,@,Radford,W,74,65,28,56,.500,3,8,.375,15,28,.536,6,29,17,9,3,8,16,,25,60,.417,3,20,.150,12,17,.706,13,35,10,4,2,13,20
10,10,2015-12-13,,Lamar,W,88,53,33,68,.485,9,24,.375,13,23,.565,15,43,18,5,4,13,17,,18,54,.333,7,20,.350,10,15,.667,6,31,12,3,5,19,27
11,11,2015-12-19,,Grambling,W,87,52,33,72,.458,10,26,.385,11,16,.688,14,34,15,8,3,10,11,,21,51,.412,6,19,.316,4,7,.571,6,28,8,2,5,23,23
12,12,2015-12-22,N,St. Joseph's,L,62,79,25,62,.403,4,17,.235,8,11,.727,7,30,8,6,8,15,24,,26,66,.394,8,21,.381,19,25,.760,13,40,15,9,4,12,17
13,13,2015-12-30,,West Virginia,L,63,88,18,38,.474,2,7,.286,25,39,.641,4,22,8,5,2,21,30,,31,61,.508,4,16,.250,22,35,.629,18,41,16,10,4,16,30
14,14,2016-01-02,,North Carolina State,W (1 OT),73,68,27,69,.391,5,18,.278,14,22,.636,14,39,3,2,7,4,24,,21,65,.323,5,23,.217,21,33,.636,15,42,7,1,8,8,19
15,15,2016-01-04,,Virginia,W,70,68,24,51,.471,9,17,.529,13,22,.591,4,21,17,9,2,8,18,,24,49,.490,9,20,.450,11,14,.786,10,33,15,5,6,16,22
16,16,2016-01-09,@,Duke,L,58,82,21,56,.375,1,12,.083,15,22,.682,5,30,11,2,2,14,24,,27,57,.474,9,24,.375,19,27,.704,8,37,16,4,8,13,18
17,17,2016-01-13,,Wake Forest,W,93,91,28,56,.500,8,18,.444,29,35,.829,6,21,14,8,1,6,18,,33,56,.589,13,24,.542,12,18,.667,8,31,17,4,4,15,25
18,18,2016-01-16,@,Georgia Tech,W,78,77,23,51,.451,4,12,.333,28,36,.778,5,28,12,5,5,13,19,,32,66,.485,4,15,.267,9,16,.563,9,36,16,3,10,13,25
19,19,2016-01-20,@,Notre Dame,L,81,83,27,54,.500,7,18,.389,20,27,.741,4,23,14,4,2,10,24,,29,57,.509,5,17,.294,20,28,.714,10,32,10,5,3,9,20
20,20,2016-01-24,,UNC,L,70,75,20,50,.400,8,20,.400,22,32,.688,2,24,11,4,5,14,20,,28,74,.378,3,23,.130,16,25,.640,19,46,13,11,6,7,24
21,21,2016-01-27,,Louisville,L,83,91,23,51,.451,4,15,.267,33,38,.868,6,24,7,3,2,10,28,,27,52,.519,12,18,.667,25,34,.735,7,29,19,2,7,15,26
22,22,2016-01-31,@,Pitt,L,71,90,23,51,.451,11,21,.524,14,20,.700,9,29,13,5,3,19,20,,36,68,.529,8,25,.320,10,15,.667,11,30,30,8,4,9,17
23,23,2016-02-02,@,Syracuse,L (1 OT),60,68,23,58,.397,7,24,.292,7,13,.538,7,31,16,7,2,14,24,,20,52,.385,8,24,.333,20,32,.625,13,37,11,4,5,13,16
24,24,2016-02-06,,Clemson,W,60,57,21,56,.375,4,16,.250,14,16,.875,8,32,10,2,6,8,16,,20,57,.351,7,25,.280,10,16,.625,10,36,10,3,10,10,17
25,25,2016-02-09,@,Virginia,L,49,67,16,45,.356,4,14,.286,13,17,.765,3,22,7,6,0,14,18,,24,49,.490,2,10,.200,17,20,.850,6,26,18,4,8,10,15
26,26,2016-02-17,@,Miami (FL),L,49,65,16,54,.296,6,20,.300,11,14,.786,11,28,8,8,2,15,15,,24,48,.500,5,14,.357,12,15,.800,7,30,8,9,7,12,16
27,27,2016-02-20,,Florida State,W,83,73,28,53,.528,11,19,.579,16,27,.593,7,27,11,7,2,10,20,,25,57,.439,7,23,.304,16,21,.762,11,33,9,4,4,11,21
28,28,2016-02-23,@,Boston College,W,71,56,26,53,.491,4,12,.333,15,22,.682,7,36,15,11,5,15,15,,22,62,.355,5,28,.179,7,13,.538,14,37,9,8,7,15,18
29,29,2016-02-28,@,Wake Forest,W,81,74,25,52,.481,7,19,.368,24,33,.727,8,29,11,10,2,14,22,,26,53,.491,4,19,.211,18,25,.720,8,33,10,7,4,19,25
30,30,2016-03-02,,Pitt,W,65,61,20,45,.444,6,19,.316,19,35,.543,6,29,11,2,3,8,17,,21,54,.389,3,21,.143,16,23,.696,8,35,12,1,2,8,22
31,31,2016-03-05,,Miami (FL),W,77,62,27,51,.529,9,17,.529,14,17,.824,3,21,15,6,4,11,13,,25,59,.424,4,24,.167,8,13,.615,13,32,10,6,6,11,17
